Student_ID,Submission_Type,Academic_Level,Primary_Language,Word_Count,Average_Sentence_Length,Grammar_Errors,Vocabulary_Richness,Passive_Voice_Ratio,Reading_Level,Editing_Time,Revision_Count,Typing_Speed,Plagiarism_Score,Citation_Count,Punctuation_Density,Sentence_Complexity,Font_Family,Submission_Hour,Is_AI_Assisted
16959e76,Lab_Report,Postgraduate,Native,1552,16.9,8,0.62,0.11,11.85,129.05,16,24.7,3.02,0,0.08,2.01,Arial,18,0
0a304e7f,Research_Paper,Undergraduate,Native,950,16.71,5,0.47,0.31,10.34,236.6,23,38.84,1.71,15,0.07,1.72,Helvetica,15,0
6e629f9f,Essay,Undergraduate,Non_Native,1103,22.1,1,0.76,0.38,14.35,4.72,4,0.0,0.41,0,0.08,2.35,Arial,17,1
16334d32,Essay,Postgraduate,Native,1189,20.0,7,0.61,0.26,10.93,,24,41.92,3.06,5,0.05,1.68,Times New Roman,5,0
54d8e254,Essay,Undergraduate,Native,1035,22.67,2,0.8,0.33,15.3,16.82,2,0.0,2.78,1,0.09,2.9,Helvetica,8,1
3ecaccd8,Lab_Report,Undergraduate,Non_Native,1454,15.71,6,0.63,0.33,11.12,256.26,26,33.4,22.68,,0.06,1.0,Helvetica,2,0
e24728f4,Lab_Report,Undergraduate,Native,694,5.0,4,0.49,0.15,9.0,,22,31.33,2.43,2,0.05,2.02,Helvetica,22,0
9822ed2a,Research_Paper,High_School,Non_Native,1980,15.23,14,0.43,0.25,9.49,,21,64.29,3.02,,0.08,2.36,Times New Roman,2,0
3630df82,Lab_Report,Postgraduate,Native,1312,20.41,10,0.63,0.09,14.21,189.32,21,56.66,17.57,5,0.09,1.63,Calibri,11,0
2a57b9cb,Essay,High_School,Native,300,20.35,4,0.6,0.19,10.85,97.6,,45.56,1.98,2,0.04,1.89,Helvetica,3,0
3261374d,Essay,Undergraduate,Native,757,24.12,6,0.53,0.19,7.72,277.62,22,59.14,12.54,6,0.01,1.91,Helvetica,4,0
012006c1,Essay,Postgraduate,Native,938,19.42,1,0.75,0.33,13.14,,1,1200.0,2.88,0,0.06,2.56,Arial,3,1
f76c5609,Essay,Undergraduate,Native,738,23.86,9,0.61,0.25,5.97,179.36,21,,12.78,1,0.07,1.0,Calibri,3,0
511433d5,Essay,Undergraduate,Native,1041,15.67,8,0.63,0.07,10.94,110.86,,30.03,0.24,3,0.05,1.61,Arial,21,0
4c61c1df,Lab_Report,Undergraduate,Native,1092,10.72,7,0.5,0.12,8.1,186.72,28,30.58,1.3,7,0.08,1.99,Helvetica,15,0
b212a2ed,Essay,Postgraduate,Native,831,16.96,7,0.68,0.21,11.57,187.55,23,57.45,1.26,1,0.06,1.87,Arial,2,0
1a15e01f,Lab_Report,High_School,Native,1705,16.7,62,0.51,0.2,9.85,1391.88,38,44.41,19.44,4,0.0,1.54,Times New Roman,12,0
efdd8db4,Lab_Report,High_School,Native,1870,19.63,10,0.58,0.18,9.62,141.69,22,61.86,10.52,0,0.06,2.01,Helvetica,14,0
ed7a1070,Literature_Review,Undergraduate,Non_Native,1196,22.96,9,0.69,0.2,12.27,96.84,27,58.16,14.13,,0.02,1.28,Arial,18,0
1a0c1118,Research_Paper,Undergraduate,Native,1364,16.66,9,0.65,0.03,12.08,249.61,22,27.84,6.25,16,0.06,1.95,Helvetica,1,0
1261de6b,Lab_Report,Postgraduate,Native,1605,22.06,11,0.73,0.23,5.0,68.66,,38.39,3.29,1,0.05,1.0,Arial,20,0
f4443f26,Essay,Undergraduate,Native,1463,23.76,8,0.63,0.08,12.39,134.8,25,33.62,17.06,7,0.05,3.57,Times New Roman,18,0
3990b024,Research_Paper,Undergraduate,Native,1294,12.21,2,0.67,0.09,9.07,181.77,19,29.75,17.7,16,0.04,2.38,Arial,12,0
0bfe61ba,Essay,Postgraduate,Native,1016,20.33,0,0.84,0.34,15.05,11.77,4,1200.0,2.12,2,0.09,2.47,Arial,3,1
1cb61034,Lab_Report,Postgraduate,Native,1580,14.63,8,0.55,0.09,12.29,134.3,33,18.0,3.92,3,0.04,2.09,Arial,6,0
45c1e6ba,Research_Paper,Postgraduate,Native,735,11.78,6,0.61,0.16,10.65,206.29,,26.4,0.13,18,0.01,1.48,Times New Roman,23,0
0a2b55f8,Essay,High_School,Native,1308,19.3,5,0.46,0.08,8.56,183.43,,,9.26,,0.07,1.57,Helvetica,12,0
6857b7a4,Lab_Report,Undergraduate,Native,1125,20.99,0,0.79,0.34,14.79,3.53,1,1200.0,1.23,0,0.06,2.24,Times New Roman,9,1
b200f79e,Essay,Postgraduate,Native,1067,22.38,12,0.53,0.16,10.27,250.42,,45.84,3.13,1,0.03,1.82,Times New Roman,23,0
1254732d,Essay,Undergraduate,Native,1760,17.0,10,0.63,0.17,12.33,129.32,26,34.11,30.03,2,0.05,1.23,Times New Roman,17,0
b6dd6905,Research_Paper,Postgraduate,Native,638,14.59,10,0.61,0.26,12.09,133.29,29,54.25,9.33,19,0.06,1.0,Helvetica,5,0
cb5d332f,Research_Paper,Undergraduate,Non_Native,1703,22.41,2,0.77,0.32,14.01,16.77,,1200.0,4.88,5,0.07,2.77,Arial,4,1
8b637af9,Research_Paper,Postgraduate,Non_Native,602,16.27,3,0.56,0.19,11.07,1.41,26,12.7,6.13,,0.04,1.69,Times New Roman,23,0
4bd2769f,Research_Paper,Undergraduate,Non_Native,922,12.32,6,0.37,0.0,10.97,,21,48.11,8.58,17,0.06,2.69,Helvetica,5,0
da0b57ec,Research_Paper,Undergraduate,Native,1317,22.05,1,0.78,0.33,14.61,1.2,2,1200.0,7.32,5,0.06,2.18,Helvetica,3,1
6afdfa2f,Research_Paper,Undergraduate,Native,920,18.87,7,0.67,0.25,14.73,102.85,35,49.84,2.14,,0.07,2.41,Arial,2,0
9d5b0345,Essay,Undergraduate,Non_Native,1084,16.09,2,0.62,0.26,13.52,137.19,32,53.99,0.13,3,0.04,1.53,Helvetica,19,0
ec4e7133,Literature_Review,Undergraduate,Native,695,21.17,2,0.71,0.35,14.02,18.72,2,0.0,2.53,14,0.08,3.02,Arial,11,1
341abc70,Essay,Undergraduate,Native,521,18.12,5,0.59,0.26,9.24,96.26,24,78.32,5.66,4,0.05,1.27,Calibri,8,0
be1bf620,Essay,Undergraduate,Native,1274,23.34,6,0.53,0.06,10.79,209.33,26,70.82,4.12,5,0.07,2.5,Calibri,5,0
2dfc21d3,Lab_Report,Postgraduate,Native,1512,17.6,9,0.48,0.15,14.87,,21,45.17,4.17,0,0.04,1.77,Calibri,7,0
0d9c2e5d,Literature_Review,Undergraduate,Native,1498,26.77,10,0.43,0.21,10.66,143.89,29,,3.53,31,0.04,2.6,Arial,17,0
34831045,Essay,Undergraduate,Native,1007,22.86,2,0.72,0.37,12.92,20.43,2,1200.0,4.68,3,0.09,2.33,Arial,22,1
144a1787,Essay,High_School,Native,1304,19.15,4,0.61,0.18,7.64,195.05,25,68.65,1.12,,0.05,1.71,Arial,23,0
4cfb58f0,Essay,Postgraduate,Non_Native,1248,17.34,11,0.61,0.23,10.48,261.66,29,39.56,0.65,4,0.02,2.77,Times New Roman,15,0
eb097348,Essay,Undergraduate,Native,1404,21.29,1,0.73,0.39,12.75,13.12,2,1200.0,0.76,2,0.06,2.01,Helvetica,9,1
747a6326,Lab_Report,Undergraduate,Non_Native,620,14.25,9,0.6,0.06,9.02,106.2,16,72.47,9.11,6,0.06,2.15,Helvetica,20,0
a1504c37,Lab_Report,High_School,Non_Native,916,11.27,3,0.71,0.16,13.2,190.2,23,67.01,0.18,4,0.04,1.69,Calibri,5,0
2d7924f8,Essay,Undergraduate,Native,1206,21.92,11,0.46,0.1,15.03,168.93,27,48.57,1.36,4,0.02,1.08,Helvetica,21,0
e92adf5f,Literature_Review,Undergraduate,Native,1470,24.5,13,0.64,0.15,10.57,150.88,30,15.99,3.15,28,0.05,1.0,Arial,22,0
c85cb390,Lab_Report,High_School,Native,1204,15.81,8,0.6,0.21,11.77,186.07,,59.29,5.91,4,0.05,2.48,Calibri,18,0
5186bc73,Research_Paper,Postgraduate,Native,1742,21.05,3,0.85,0.31,13.32,4.51,3,1200.0,0.75,7,0.07,2.64,Calibri,7,1
7fadbed9,Essay,Undergraduate,Native,952,18.7,3,0.76,0.33,10.57,,,,,0,0.08,1.46,Calibri,5,0
c6b61b9f,Research_Paper,Postgraduate,Native,1459,15.19,5,0.6,0.16,11.6,128.72,20,58.88,6.99,20,0.07,1.62,Arial,11,0
af11a382,Essay,Undergraduate,Native,1835,21.63,13,0.58,0.08,12.48,183.29,29,,0.71,3,0.02,1.0,Arial,13,0
680c4a88,Research_Paper,Undergraduate,Non_Native,770,17.34,6,0.68,0.11,11.42,,31,37.24,6.49,16,0.07,1.89,Calibri,15,0
7992ab04,Essay,High_School,Non_Native,830,15.55,13,0.62,0.23,6.7,138.47,,54.06,1.13,3,0.05,2.15,Helvetica,20,0
dbd00b8a,Literature_Review,Undergraduate,Native,577,20.07,11,0.47,0.11,12.03,216.35,22,35.41,0.38,30,0.04,1.38,Times New Roman,20,0
f427d49a,Literature_Review,Undergraduate,Non_Native,962,21.24,8,0.7,0.07,10.57,187.43,25,25.9,8.75,29,0.06,2.44,Calibri,5,0
b890b604,Research_Paper,Postgraduate,Non_Native,2094,16.78,11,0.66,0.11,14.02,218.61,29,63.63,10.11,20,0.04,2.17,Arial,21,0
057c1e52,Research_Paper,Undergraduate,Native,1146,22.82,0,0.78,0.36,15.42,5.2,2,1200.0,2.96,,0.08,2.32,Helvetica,20,1
659bf464,Essay,Undergraduate,Native,1127,10.15,7,0.61,0.19,12.29,99.35,21,48.24,13.75,4,0.06,2.38,Calibri,2,0
74dc8513,Research_Paper,High_School,Native,1262,20.31,9,0.62,0.24,7.43,185.57,25,33.89,9.15,18,0.04,3.02,Arial,5,0
2eb99fe9,Essay,Undergraduate,Native,1622,10.25,5,0.55,0.23,7.85,305.21,36,42.01,7.05,,0.04,1.36,Times New Roman,5,0
c02823a1,Literature_Review,Undergraduate,Native,1343,21.9,1,0.77,0.4,13.88,8.86,3,1200.0,2.22,11,0.09,2.53,Helvetica,13,1
55f701eb,Research_Paper,Undergraduate,Native,1430,12.94,8,0.52,0.3,10.06,221.06,15,49.72,1.05,19,0.06,2.09,Helvetica,3,0
c462cf78,Literature_Review,Undergraduate,Non_Native,1308,21.26,0,0.73,0.35,12.53,5.06,2,1200.0,1.65,13,0.09,2.56,Calibri,10,1
d2ff1193,Research_Paper,Undergraduate,Native,1899,12.37,12,0.72,0.23,13.2,284.44,33,61.47,1.4,14,0.07,1.92,Helvetica,20,0
83c8a1f7,Essay,Undergraduate,Native,670,18.05,9,0.54,0.1,9.73,156.98,23,40.45,1.98,1,0.04,1.89,Arial,10,0
1c60dbef,Research_Paper,Undergraduate,Native,1268,18.42,8,0.61,0.38,12.41,291.85,,42.79,18.39,18,0.03,1.42,Times New Roman,8,0
a92542d9,Research_Paper,Undergraduate,Native,1161,16.91,6,0.69,0.4,10.19,70.33,,60.56,6.72,20,0.08,3.02,Arial,1,0
a81cd1ec,Essay,Undergraduate,Native,656,20.09,10,0.43,0.21,11.68,208.6,22,22.21,4.91,,0.03,1.84,Calibri,1,0
99fa4ea0,Research_Paper,Undergraduate,Non_Native,2094,14.86,10,0.54,0.38,10.88,209.54,25,33.69,4.5,12,0.04,1.81,Arial,0,0
9107fbf1,Essay,Postgraduate,Non_Native,1466,20.52,8,0.51,0.17,11.07,205.23,21,30.2,,6,0.05,2.53,Helvetica,4,0
91b8b95e,Research_Paper,Undergraduate,Native,1606,21.34,10,0.49,0.2,11.74,60.38,,21.63,0.04,19,0.05,2.16,Times New Roman,16,0
