user_id,session_id,customer_tier,account_age_days,past_purchases_count,total_lifetime_value,average_order_value,days_since_last_purchase,days_since_last_discount,device_type,browser,traffic_source,user_location_region,day_of_week,hour_of_day,is_weekend,is_holiday,session_duration_seconds,pages_viewed,distinct_categories_viewed,pdp_views_count,images_viewed_count,reviews_read_count,scroll_depth_average_pct,add_to_cart_count,remove_from_cart_count,wishlist_add_count,cart_value_abandoned,shipping_cost_displayed,exit_intent_triggered,did_convert_organically,should_receive_discount
CUST_00001,SESS_000001,Standard,853,1,45.98,45.98,12,25,Mobile,Chrome,Paid Ad,Europe,4,3,0,0,1839,24,2,8,19,4,0.24,0,0,0,0.0,0.0,0,0,0
CUST_00002,SESS_000002,Prime Student,257,10,1416.37,141.64,175,0,Mobile,App,Social,North America,0,16,0,0,2284,21,1,9,18,3,0.12,1,0,0,81.9,9.99,0,0,0
CUST_00003,SESS_000003,Prime,1411,3,448.1,149.37,183,29,Mobile,Chrome,Social,North America,5,1,1,0,2031,21,1,9,35,1,0.75,0,0,0,0.0,0.0,1,0,0
CUST_00004,SESS_000004,Standard,44,8,714.27,89.28,343,46,Mobile,Safari,Organic Search,Oceania,6,21,1,0,734,9,1,4,14,4,0.18,0,0,0,0.0,0.0,0,0,0
CUST_00005,SESS_000005,Guest,268,17,2344.24,137.9,235,59,Mobile,Chrome,Organic Search,Oceania,0,17,0,0,606,15,1,8,31,5,0.6,0,0,3,0.0,0.0,0,0,0
CUST_00006,SESS_000006,Guest,1334,14,1547.96,110.57,61,59,Mobile,Chrome,Organic Search,Asia,6,1,1,0,1122,26,1,15,50,15,0.69,1,1,0,0.0,0.0,0,0,0
CUST_00007,SESS_000007,Guest,671,1,143.94,143.94,199,82,Desktop,Chrome,Paid Ad,North America,5,2,1,0,254,9,1,5,14,5,0.82,0,0,0,0.0,0.0,0,0,0
CUST_00008,SESS_000008,Prime,1018,3,217.88,72.63,338,67,Mobile,Safari,Paid Ad,Asia,3,15,0,0,1376,12,3,3,13,1,0.98,0,0,0,0.0,0.0,0,0,0
CUST_00009,SESS_000009,Standard,1301,2,198.77,99.38,217,27,Mobile,Chrome,Direct,Europe,2,17,0,0,2154,23,1,13,50,15,0.33,0,0,0,0.0,0.0,0,0,0
CUST_00010,SESS_000010,Prime,856,0,0.0,0.0,-1,-1,Tablet,Chrome,Organic Search,North America,3,11,0,0,67,2,2,1,1,0,0.54,0,0,0,0.0,0.0,0,0,0
CUST_00011,SESS_000011,Guest,1498,3,126.92,42.31,78,71,Mobile,Chrome,Social,North America,3,3,0,0,1064,11,1,8,39,6,0.96,1,0,3,135.92,4.99,1,0,1
CUST_00012,SESS_000012,Prime Student,1590,2,80.56,40.28,140,9,Desktop,Chrome,Organic Search,North America,2,6,0,0,1173,25,3,17,23,2,0.58,1,1,0,0.0,0.0,0,1,0
CUST_00013,SESS_000013,Prime,144,14,1038.84,74.2,2,3,Mobile,Chrome,Direct,Europe,4,20,0,0,2261,29,2,10,47,12,0.62,2,0,3,273.88,0.0,0,1,0
CUST_00014,SESS_000014,Guest,234,21,777.48,37.02,167,19,Desktop,Chrome,Social,North America,3,5,0,1,147,3,1,2,4,0,0.42,1,0,0,49.39,4.99,1,0,1
CUST_00015,SESS_000015,Guest,690,5,262.65,52.53,160,37,Mobile,App,Direct,North America,3,21,0,0,1106,10,2,6,24,10,0.77,1,2,0,0.0,0.0,0,0,0
CUST_00016,SESS_000016,Guest,719,2,213.81,106.9,149,27,Mobile,App,Paid Ad,Europe,5,18,1,0,1052,20,2,13,50,4,0.16,4,0,0,162.31,0.0,0,0,0
CUST_00017,SESS_000017,Standard,1159,20,836.68,41.83,359,80,Mobile,Edge,Paid Ad,Oceania,3,17,0,0,2320,20,1,13,29,15,0.95,4,0,0,225.16,9.99,0,0,0
CUST_00018,SESS_000018,Standard,1468,3,323.53,107.84,27,73,Desktop,Safari,Email,Oceania,3,9,0,0,538,22,2,6,25,7,0.16,0,0,0,0.0,0.0,0,0,1
CUST_00019,SESS_000019,Standard,352,2,147.79,73.9,245,72,Desktop,Chrome,Social,North America,4,19,0,0,323,3,1,1,3,1,0.63,0,0,0,0.0,0.0,0,0,0
CUST_00020,SESS_000020,Guest,1417,2,297.56,148.78,39,44,Mobile,App,Direct,North America,6,8,1,0,203,6,1,3,13,4,0.45,0,0,0,0.0,0.0,0,0,0
CUST_00021,SESS_000021,Standard,993,1,130.16,130.16,299,38,Desktop,Chrome,Organic Search,North America,5,5,1,0,1247,13,3,5,22,2,0.57,0,0,0,0.0,0.0,0,0,0
CUST_00022,SESS_000022,Guest,274,2,246.77,123.38,85,19,Mobile,Edge,Social,Europe,2,2,0,0,826,28,2,14,34,12,0.37,1,0,0,240.38,0.0,0,1,0
CUST_00023,SESS_000023,Guest,1407,15,878.77,58.58,144,36,Mobile,App,Paid Ad,Asia,0,9,0,0,1737,19,1,9,19,2,0.68,2,0,3,170.1,4.99,0,1,0
CUST_00024,SESS_000024,Standard,909,8,982.61,122.83,239,34,Mobile,App,Social,North America,2,0,0,0,1080,27,1,18,31,15,0.57,0,0,0,0.0,0.0,0,0,0
CUST_00025,SESS_000025,Standard,1346,2,143.92,71.96,7,64,Desktop,Safari,Organic Search,Europe,4,7,0,0,309,16,2,5,24,3,0.17,0,0,0,0.0,0.0,0,0,0
CUST_00026,SESS_000026,Prime,1206,20,1888.33,94.42,217,11,Desktop,Chrome,Social,Europe,0,12,0,0,316,10,2,3,11,3,0.86,0,0,0,0.0,0.0,0,0,0
CUST_00027,SESS_000027,Guest,1596,7,560.71,80.1,11,27,Mobile,App,Direct,Europe,0,6,0,0,100,1,2,1,2,1,0.22,3,0,0,268.91,4.99,1,0,1
CUST_00028,SESS_000028,Standard,439,32,3847.62,120.24,75,83,Mobile,Chrome,Organic Search,Asia,6,7,1,0,2747,29,1,16,50,9,0.73,3,0,0,178.35,4.99,0,0,0
CUST_00029,SESS_000029,Standard,1086,0,0.0,0.0,-1,-1,Desktop,Edge,Direct,Europe,4,18,0,1,226,3,3,1,2,1,0.35,2,1,0,205.6,0.0,0,1,0
CUST_00030,SESS_000030,Guest,1750,1,101.51,101.51,235,65,Desktop,Chrome,Organic Search,North America,1,8,0,0,1566,22,1,9,40,15,0.81,0,0,0,0.0,0.0,0,0,0
CUST_00031,SESS_000031,Standard,871,1,92.61,92.61,231,14,Desktop,Chrome,Email,Oceania,4,0,0,1,19,1,1,1,3,0,0.96,0,0,0,0.0,0.0,0,0,0
CUST_00032,SESS_000032,Guest,650,23,3139.22,136.49,100,84,Mobile,Chrome,Social,North America,5,18,1,0,364,7,1,2,6,1,0.86,3,2,0,154.66,0.0,0,0,0
CUST_00033,SESS_000033,Guest,942,2,286.12,143.06,169,9,Mobile,Safari,Direct,Oceania,4,0,0,0,2086,19,1,6,21,11,0.3,1,2,0,0.0,0.0,0,0,0
CUST_00034,SESS_000034,Prime,1669,1,75.88,75.88,99,80,Mobile,App,Organic Search,Europe,6,0,1,1,815,14,2,9,44,2,0.87,0,0,0,0.0,0.0,0,0,1
CUST_00035,SESS_000035,Prime Student,33,28,2406.98,85.96,201,10,Mobile,Chrome,Email,Europe,0,5,0,1,1175,14,2,8,9,15,0.74,2,0,0,295.49,4.99,0,1,1
CUST_00036,SESS_000036,Prime,704,2,85.0,42.5,99,36,Mobile,App,Email,Europe,6,0,1,0,1378,19,4,8,14,11,0.58,0,0,0,0.0,0.0,0,0,0
CUST_00037,SESS_000037,Standard,866,5,302.42,60.48,18,34,Mobile,Safari,Direct,Europe,0,9,0,0,553,5,1,2,7,0,0.85,1,0,0,132.6,9.99,0,0,0
CUST_00038,SESS_000038,Guest,984,0,0.0,0.0,-1,-1,Desktop,Safari,Social,Europe,3,23,0,0,23,1,2,1,2,0,0.59,0,0,0,0.0,0.0,0,0,0
CUST_00039,SESS_000039,Standard,831,9,933.51,103.72,14,72,Desktop,Edge,Organic Search,Europe,0,18,0,1,932,15,1,7,28,8,0.37,0,0,0,0.0,0.0,0,0,0
CUST_00040,SESS_000040,Standard,1500,4,395.97,98.99,260,21,Mobile,Chrome,Direct,Asia,3,12,0,0,107,3,1,1,3,0,0.14,1,0,0,21.44,4.99,0,0,0
CUST_00041,SESS_000041,Guest,1110,7,561.53,80.22,285,12,Mobile,Safari,Direct,Asia,6,16,1,0,1925,25,2,12,46,15,0.27,0,0,0,0.0,0.0,0,0,0
CUST_00042,SESS_000042,Standard,1233,0,0.0,0.0,-1,-1,Mobile,Chrome,Social,North America,4,13,0,0,1283,23,2,14,50,15,0.73,0,0,1,0.0,0.0,0,0,0
CUST_00043,SESS_000043,Guest,461,19,957.02,50.37,92,59,Desktop,Safari,Organic Search,North America,4,6,0,0,160,2,1,1,4,1,0.11,1,0,0,286.2,9.99,0,1,0
CUST_00044,SESS_000044,Prime,80,13,1802.9,138.68,209,20,Tablet,Chrome,Organic Search,North America,5,2,1,0,562,25,1,10,17,1,0.73,2,0,3,159.02,9.99,1,0,1
CUST_00045,SESS_000045,Guest,321,0,0.0,0.0,-1,-1,Desktop,App,Social,Europe,4,9,0,0,131,8,3,2,2,3,0.57,0,0,0,0.0,0.0,0,0,1
