Division,District,Market,Crop,Variety,Group,Arrivals (Tonnes),Min Price (BDT/Quintal),Max Price (BDT/Quintal),Price (BDT/Quintal),Reported Date,Quality_Grade,Market_Demand,Stock_Availability,Market_Type,Season
Barishal,Patuakhali,Patuakhali Sadar Market,Barley,BARI Barley-7,Barley Flour,1,2340,2536,2438,8/25/2022,Grade A,Medium,Medium,Retail,Winter
Khulna,Satkhira,Satkhira Market,Barley,BARI Barley-7,Barley Flour,13.5,4172,4520,4346,3/23/2024,Grade A,Low,Medium,Retail,Winter
Khulna,Khulna,Khulna New Market,Barley,BARI Barley-7,Barley Flour,2,9715,10525,10120,9/20/2023,Grade C,High,High,Wholesale,Winter
Khulna,Satkhira,Satkhira Market,Barley,BARI Barley-7,Barley Flour,3,6207,6725,6466,1/10/2022,Grade A,Medium,Low,Retail,Winter
Rajshahi,Naogaon,Naogaon Sadar Market,Barley,BARI Barley-7,Barley Flour,400,4437,4807,4622,3/21/2024,Grade A,Low,Medium,Retail,Winter
Dhaka,Dhaka,Karwan Bazar,Barley,BARI Barley-7,Barley Flour,11,3356,3636,3496,12/31/2020,Grade C,Medium,High,Retail,Winter
Barishal,Barishal,Nathullabad Market,Barley,BARI Barley-7,Barley Flour,51,7530,8158,7844,5/6/2021,Grade A,High,Low,Retail,Winter
Chattogram,Noakhali,Maijdee Bazar,Barley,BARI Barley-7,Barley Flour,3,1413,1531,1472,2/1/2021,Grade C,Medium,Medium,Wholesale,Winter
Chattogram,Chattogram,Agrabad Market,Barley,BARI Barley-7,Barley Flour,0.6,1915,2075,1995,11/18/2024,Grade B,Medium,High,Wholesale,Winter
Barishal,Bhola,Bhola Bazar,Barley,BARI Barley-7,Barley Flour,1,3941,4269,4105,11/23/2020,Grade B,Medium,High,Retail,Winter
Dhaka,Narayanganj,Chashara Market,Barley,BARI Barley-7,Barley Flour,9,2076,2248,2162,9/5/2023,Grade C,Medium,Low,Wholesale,Winter
Barishal,Patuakhali,Patuakhali Sadar Market,Barley,BARI Barley-7,Barley Flour,1,2361,2557,2459,11/4/2022,Grade A,Low,Medium,Wholesale,Winter
Khulna,Jashore,Jashore Bazar,Barley,BARI Barley-7,Barley Flour,6,3974,4306,4140,12/25/2023,Grade C,Medium,High,Retail,Winter
Chattogram,Chattogram,Agrabad Market,Barley,BARI Barley-7,Barley Flour,15,2640,2860,2750,9/16/2021,Grade B,Low,Medium,Wholesale,Winter
Chattogram,Feni,Feni Sadar Market,Barley,BARI Barley-7,Barley Flour,5,2395,2595,2495,11/19/2024,Grade B,Medium,Medium,Retail,Winter
Dhaka,Gazipur,Joydebpur Market,Barley,BARI Barley-7,Barley Flour,14,5201,5635,5418,3/21/2020,Grade A,Medium,Medium,Wholesale,Winter
Dhaka,Manikganj,Manikganj Bazar,Barley,BARI Barley-7,Barley Flour,3.9,2340,2536,2438,7/11/2024,Grade C,High,Medium,Wholesale,Winter
Barishal,Barishal,Nathullabad Market,Barley,BARI Barley-7,Barley Flour,36,5064,5486,5275,6/16/2020,Grade B,High,Medium,Retail,Winter
Dhaka,Manikganj,Manikganj Bazar,Barley,BARI Barley-7,Barley Flour,7.3,2568,2782,2675,4/22/2024,Grade B,Medium,Low,Retail,Winter
Chattogram,Chattogram,Agrabad Market,Barley,BARI Barley-7,Barley Flour,693,4032,4368,4200,12/25/2020,Grade B,High,Low,Retail,Winter
Dhaka,Tangail,Tangail Sadar Market,Barley,BARI Barley-7,Barley Flour,96,5544,6006,5775,11/22/2021,Grade B,Medium,High,Retail,Winter
Khulna,Jashore,Jashore Bazar,Barley,BARI Barley-7,Barley Flour,100.3,6720,7280,7000,5/4/2024,Grade B,High,High,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Barley,BARI Barley-7,Barley Flour,4,7920,8580,8250,5/12/2023,Grade B,Low,Medium,Wholesale,Winter
Chattogram,Noakhali,Maijdee Bazar,Barley,BARI Barley-7,Barley Flour,25,2115,2291,2203,7/31/2024,Grade C,Medium,High,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Barley,BARI Barley-7,Barley Flour,6,5856,6344,6100,7/22/2021,Grade B,Medium,High,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Barley,BARI Barley-7,Barley Flour,188,4813,5215,5014,6/2/2020,Grade C,High,High,Wholesale,Winter
Chattogram,Cox's Bazar,Cox's Bazar Market,Barley,BARI Barley-7,Barley Flour,42,6920,7496,7208,11/24/2022,Grade A,High,Medium,Retail,Winter
