year_month,ortsteil,bezirk,kiez_premium,secondary_price_per_m2_eur,new_construction_price_per_m2_eur,kaltmiete_per_m2_monthly_eur,secondary_price_per_m2_usd,n_listings_secondary,n_listings_new_construction,n_listings_rental,ecb_main_rate_pct,avg_mortgage_rate_pct
2020-01,Mitte (Ort),Mitte,high,7389,9312,20.53,7980,22,48,69,0.0,1.1
2020-02,Mitte (Ort),Mitte,high,7585,9571,21.07,8192,64,20,150,0.0,1.1
2020-03,Mitte (Ort),Mitte,high,7489,9737,19.24,8088,118,44,153,0.0,1.1
2020-04,Mitte (Ort),Mitte,high,7400,9376,19.24,7992,158,22,145,0.0,1.1
2020-05,Mitte (Ort),Mitte,high,7386,9112,19.21,7977,73,29,59,0.0,1.1
2020-06,Mitte (Ort),Mitte,high,7555,9754,19.65,8159,42,48,194,0.0,1.1
2020-07,Mitte (Ort),Mitte,high,7763,9601,20.19,8384,151,34,178,0.0,1.1
2020-08,Mitte (Ort),Mitte,high,7272,9306,18.91,7854,168,5,132,0.0,1.1
2020-09,Mitte (Ort),Mitte,high,7352,9368,19.12,7941,129,34,197,0.0,1.1
2020-10,Mitte (Ort),Mitte,high,7972,10176,18.7,8609,19,43,139,0.0,1.1
2020-11,Mitte (Ort),Mitte,high,7893,9955,18.52,8524,107,47,113,0.0,1.1
2020-12,Mitte (Ort),Mitte,high,8589,10851,20.15,9277,157,16,107,0.0,1.1
2021-01,Mitte (Ort),Mitte,high,8230,10272,19.31,8888,37,37,116,0.0,1.1
2021-02,Mitte (Ort),Mitte,high,8449,10920,19.82,9125,167,32,109,0.0,1.1
2021-03,Mitte (Ort),Mitte,high,8308,10822,19.49,8973,138,39,25,0.0,1.1
2021-04,Mitte (Ort),Mitte,high,8678,11169,20.36,9373,73,40,174,0.0,1.1
2021-05,Mitte (Ort),Mitte,high,7777,9648,20.46,8399,148,8,47,0.0,1.1
2021-06,Mitte (Ort),Mitte,high,7759,9846,20.42,8379,19,37,146,0.0,1.1
2021-07,Mitte (Ort),Mitte,high,8183,9702,21.53,8838,153,11,32,0.0,1.1
2021-08,Mitte (Ort),Mitte,high,8496,10409,22.36,9176,27,30,124,0.0,1.1
2021-09,Mitte (Ort),Mitte,high,8574,10321,22.56,9260,164,12,60,0.0,1.1
2021-10,Mitte (Ort),Mitte,high,8397,10154,22.1,9069,133,10,167,0.0,1.1
2021-11,Mitte (Ort),Mitte,high,8240,10219,21.68,8899,162,26,151,0.0,1.1
2021-12,Mitte (Ort),Mitte,high,7941,10209,20.9,8577,61,34,83,0.0,1.1
2022-01,Mitte (Ort),Mitte,high,9600,12529,22.67,10368,164,9,154,0.0,1.8
2022-02,Mitte (Ort),Mitte,high,9583,11883,22.63,10350,117,43,80,0.0,1.8
2022-03,Mitte (Ort),Mitte,high,9640,12009,23.83,10411,152,45,57,0.0,1.8
2022-04,Mitte (Ort),Mitte,high,9906,12806,24.49,10699,56,31,120,0.0,1.8
2022-05,Mitte (Ort),Mitte,high,9533,12347,23.57,10295,105,32,106,0.0,1.8
2022-06,Mitte (Ort),Mitte,high,9252,11819,22.87,9993,35,42,108,0.0,1.8
