candidate_id,job_role,job_role_display,gender,age_group,edu_level,edu_level_name,years_experience,edu_relevance,P_mcq,P_desc,P_code,S_edu,S_exp,S_skill,S_cv,S_int,CSS,passed_hard_filter,relevance_label,w_edu,w_exp,w_skill,w_mcq,w_desc,w_code,W_CV,W_INT
SE00001,Software_Engineer,Software Engineer,M,40+,3,MSc,1.2,0.7246,0.7925,0.5197,0.5872,0.7699,0.4,0.6515,0.5997,0.608,0.6047,0,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00002,Software_Engineer,Software Engineer,M,26-30,2,BSc,0.0,0.5713,0.6344,0.3932,0.3661,0.5885,0.0,0.4365,0.3359,0.4279,0.3911,0,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00003,Software_Engineer,Software Engineer,M,31-35,2,BSc,10.4,0.7052,0.6523,0.7043,0.9604,0.6421,1.0,0.7727,0.8148,0.822,0.8191,1,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00004,Software_Engineer,Software Engineer,M,31-35,2,BSc,4.0,0.5019,0.5709,0.7013,0.481,0.5608,1.0,0.7367,0.7805,0.5651,0.6513,1,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00005,Software_Engineer,Software Engineer,M,22-25,4,PhD,4.5,0.8334,0.5413,0.7418,0.6529,0.9334,1.0,0.5989,0.7861,0.6573,0.7088,1,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00006,Software_Engineer,Software Engineer,M,26-30,2,BSc,4.8,0.5961,0.705,0.7721,0.8224,0.5984,1.0,0.5728,0.7061,0.7838,0.7527,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00007,Software_Engineer,Software Engineer,F,22-25,2,BSc,0.2,0.804,0.5932,0.6775,0.4707,0.6816,0.0667,0.5407,0.4267,0.5572,0.505,0,0,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00008,Software_Engineer,Software Engineer,F,36-40,2,BSc,4.9,0.5597,0.8356,0.6818,0.9475,0.5839,1.0,0.6994,0.7665,0.8454,0.8138,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00009,Software_Engineer,Software Engineer,M,26-30,1,Diploma,0.5,0.7659,0.642,0.5064,0.4218,0.5464,0.1667,0.6404,0.4795,0.4913,0.4866,0,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00010,Software_Engineer,Software Engineer,F,22-25,2,BSc,2.0,0.5798,0.7172,0.5596,0.7482,0.5919,0.6667,0.7078,0.6723,0.6855,0.6802,1,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00011,Software_Engineer,Software Engineer,F,26-30,3,MSc,3.2,0.7742,0.6474,0.7805,0.6548,0.7897,1.0,0.6272,0.7715,0.691,0.7232,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00012,Software_Engineer,Software Engineer,F,22-25,2,BSc,0.5,0.5911,0.5498,0.5194,0.6424,0.5964,0.1667,0.5269,0.4327,0.587,0.5253,0,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00013,Software_Engineer,Software Engineer,M,31-35,2,BSc,4.0,0.4157,0.5255,0.6249,0.6067,0.5263,1.0,0.5093,0.6599,0.5959,0.6215,1,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00014,Software_Engineer,Software Engineer,M,22-25,2,BSc,3.5,0.6922,0.5423,0.7706,0.7861,0.6369,1.0,0.6238,0.7393,0.7327,0.7353,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00015,Software_Engineer,Software Engineer,M,31-35,2,BSc,7.5,0.8449,0.6604,0.6582,0.8915,0.698,1.0,0.6023,0.7408,0.7753,0.7615,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00016,Software_Engineer,Software Engineer,M,22-25,2,BSc,0.1,0.6596,0.6491,0.393,0.7521,0.6238,0.0333,0.4325,0.351,0.6238,0.5147,0,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00017,Software_Engineer,Software Engineer,F,22-25,2,BSc,3.1,0.7279,0.7482,0.8221,1.0,0.6511,1.0,0.7453,0.8029,0.8963,0.8589,1,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00018,Software_Engineer,Software Engineer,M,22-25,3,MSc,4.6,0.7895,0.5252,0.6967,0.7341,0.7958,1.0,0.5376,0.7279,0.6811,0.6998,1,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00019,Software_Engineer,Software Engineer,F,31-35,3,MSc,4.6,0.7986,0.5864,0.8074,0.922,0.7995,1.0,0.707,0.8134,0.8205,0.8177,1,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00020,Software_Engineer,Software Engineer,M,31-35,2,BSc,6.9,0.5351,0.7568,0.8611,1.0,0.574,1.0,0.8116,0.8206,0.9097,0.8741,1,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
