player_id,cognitive_ability,starting_age,age_now,years_playing,total_study_hours,deliberate_share,deliberate_hours,tactics_training_hours,analyzes_own_games,opening_study_hours,games_played,has_coach,studies_endgames,peak_rating,plateaued,reached_expert
CHS000000,3.95,14,20,6,4640,0.213,990,440,7.5,1760,470,0,1,866,0,0
CHS000001,4.64,31,47,16,510,0.386,200,100,7.61,200,760,1,1,747,0,0
CHS000002,2.13,15,20,5,990,0.212,210,50,7.4,450,9200,0,1,1484,1,0
CHS000003,6.27,14,26,12,1810,0.625,1130,450,9.2,450,2240,0,1,2280,0,1
CHS000004,7.7,8,19,11,3590,0.286,1030,490,5.69,1710,3200,0,1,2484,0,1
CHS000005,7.48,25,29,4,440,0.4,180,80,4.55,120,1390,0,0,1217,0,0
CHS000006,3.0,46,80,34,740,0.083,60,20,1.58,210,1370,1,0,400,1,0
CHS000007,4.99,22,33,11,840,0.211,180,50,0.87,340,4070,0,0,1039,1,0
CHS000008,4.4,17,34,17,290,0.684,200,120,6.06,60,800,0,0,1358,0,0
CHS000009,4.25,14,28,14,790,0.829,650,150,8.31,90,1060,0,0,1583,0,0
CHS000010,5.52,19,20,1,520,0.345,180,50,10.0,230,880,0,0,949,1,0
CHS000011,3.12,8,34,26,2270,0.615,1400,820,6.05,270,1540,0,0,1390,0,0
CHS000012,2.38,10,23,13,990,0.406,400,80,4.73,210,1100,0,0,1218,0,0
CHS000013,3.59,9,18,9,4330,0.374,1620,910,4.04,1500,1270,0,1,1470,0,0
CHS000014,3.08,10,25,15,630,0.279,180,60,5.31,240,1330,0,0,1140,0,0
CHS000015,6.54,12,21,9,640,0.317,200,90,6.89,150,2960,0,0,1637,1,0
CHS000016,4.88,48,57,9,430,0.205,90,30,7.49,160,4820,0,0,884,0,0
CHS000017,6.69,15,25,10,2170,0.317,690,200,2.93,950,1090,0,1,1923,0,0
CHS000018,5.97,40,48,8,780,0.051,40,20,2.53,480,2590,0,1,457,1,0
CHS000019,4.11,20,31,11,1280,0.218,280,160,4.39,580,1000,0,0,523,1,0
CHS000020,2.62,17,33,16,120,0.241,30,10,4.9,50,4440,1,1,910,0,0
CHS000021,3.87,26,38,12,2520,0.463,1170,270,2.32,440,2300,0,0,1155,0,0
CHS000022,6.78,27,44,17,4140,0.742,3070,1320,7.17,430,6090,0,0,2629,0,1
CHS000023,6.29,18,31,13,650,0.856,560,300,7.98,30,3100,0,1,2396,0,1
CHS000024,4.65,21,40,19,220,0.484,110,30,8.99,50,3380,1,0,1626,1,0
CHS000025,6.15,24,31,7,340,0.364,120,40,4.58,80,3390,0,0,1538,0,0
CHS000026,4.62,20,24,4,210,0.296,60,30,4.43,70,1720,0,0,987,0,0
CHS000027,2.54,30,34,4,290,0.737,210,70,4.61,30,3460,0,1,1102,0,0
CHS000028,8.64,15,36,21,1990,0.132,260,140,4.47,740,6420,0,0,2379,1,1
