date,region,avg_temperature_c,precipitation_mm,co2_ppm,temperature_anomaly_c,humidity_percent
2010-01-01,West,3.37,47.39,388.64,-0.24,53.69
2010-01-02,Central,13.5,22.0,391.97,0.05,81.52
2010-01-03,East,10.85,83.16,387.47,-0.33,59.11
2010-01-04,Central,8.48,50.35,391.2,-0.53,51.05
2010-01-05,Central,10.05,64.55,388.14,0.02,70.34
2010-01-06,South,15.44,34.1,392.87,0.38,72.93
2010-01-07,East,20.32,70.9,387.74,0.28,73.01
2010-01-08,East,16.26,40.95,391.79,-0.02,61.74
2010-01-09,East,12.58,56.46,389.95,0.53,68.05
2010-01-10,Central,16.83,81.95,389.53,-0.17,57.2
2010-01-11,West,13.17,79.77,390.37,-0.57,85.1
2010-01-12,East,12.23,59.45,391.05,-0.65,78.73
2010-01-13,Central,10.39,15.8,388.75,-0.35,78.0
2010-01-14,South,8.0,134.82,388.89,0.25,74.53
2010-01-15,West,13.45,103.65,391.1,-0.18,71.24
2010-01-16,South,15.64,78.07,387.57,0.15,50.07
2010-01-17,West,14.62,41.17,389.27,0.5,72.6
2010-01-18,Central,13.34,57.16,394.71,-0.32,66.37
2010-01-19,North,11.23,46.41,388.71,0.15,80.16
2010-01-20,West,17.44,91.6,391.89,0.17,74.69
2010-01-21,South,9.74,66.56,389.3,-0.25,71.6
2010-01-22,Central,18.11,40.4,390.95,0.42,44.79
2010-01-23,West,11.0,48.23,391.18,-0.08,63.93
2010-01-24,North,12.0,88.03,391.9,-0.1,58.31
2010-01-25,North,9.14,100.0,389.92,0.65,68.03
2010-01-26,East,13.01,98.21,393.21,0.17,60.01
2010-01-27,East,18.91,78.93,389.35,0.29,61.69
2010-01-28,South,17.08,53.68,390.59,0.42,70.51
2010-01-29,West,18.93,21.04,390.62,-0.18,59.81
2010-01-30,West,17.1,67.43,388.58,0.39,66.46
2010-01-31,East,10.6,59.95,389.84,-0.14,46.77
2010-02-01,West,13.69,63.5,390.52,-0.15,55.01
2010-02-02,West,11.9,61.35,389.64,-0.07,72.87
2010-02-03,North,20.34,26.84,393.96,-0.17,50.24
2010-02-04,East,10.23,73.94,389.05,0.26,79.95
2010-02-05,Central,18.59,75.81,392.08,0.1,76.69
2010-02-06,East,18.59,77.06,391.61,-0.13,61.78
2010-02-07,Central,22.34,83.66,390.31,0.22,100.0
2010-02-08,North,13.38,75.1,389.04,-0.06,79.92
2010-02-09,South,17.87,49.75,389.2,-0.08,53.61
2010-02-10,West,24.15,58.23,389.58,0.03,73.95
2010-02-11,North,12.55,62.28,387.69,0.16,65.79
2010-02-12,West,8.88,62.69,388.87,0.14,55.68
2010-02-13,South,7.5,84.96,388.16,-0.09,52.16
2010-02-14,South,17.87,76.09,392.41,0.28,76.94
2010-02-15,North,7.49,111.93,391.33,-0.04,57.82
2010-02-16,South,13.53,115.16,391.59,-0.17,63.78
2010-02-17,Central,16.77,61.99,391.31,-0.42,53.95
2010-02-18,South,15.76,35.92,390.68,0.32,56.02
2010-02-19,West,16.73,90.92,392.63,0.03,63.48
2010-02-20,West,15.91,46.49,389.53,0.09,69.66
2010-02-21,West,20.14,39.96,390.62,0.34,33.94
2010-02-22,West,11.22,50.04,391.59,-0.12,65.2
2010-02-23,Central,12.32,48.83,388.5,-0.39,56.05
2010-02-24,East,11.94,75.31,395.13,0.05,81.83
2010-02-25,North,18.35,21.01,390.54,0.12,100.0
2010-02-26,West,18.63,33.06,390.72,-0.05,60.69
2010-02-27,South,16.83,68.58,392.4,0.47,44.33
2010-02-28,West,19.76,75.57,391.89,-0.72,66.4
2010-03-01,South,10.32,76.04,390.59,0.37,62.53
2010-03-02,South,21.7,40.32,390.74,0.27,88.66
2010-03-03,West,21.12,35.54,388.29,0.17,85.0
2010-03-04,Central,17.97,47.33,389.72,-0.97,75.38
2010-03-05,South,22.16,66.0,391.34,0.42,57.96
2010-03-06,South,8.41,97.14,391.24,-0.28,73.13
2010-03-07,West,12.93,8.81,392.42,-0.12,68.18
2010-03-08,South,12.09,54.48,390.41,-0.02,67.9
2010-03-09,South,17.92,26.68,388.52,0.16,46.3
2010-03-10,West,10.83,18.69,392.2,0.23,77.74
2010-03-11,West,18.06,84.17,392.78,0.3,66.29
2010-03-12,North,20.52,73.62,391.98,0.28,63.79
2010-03-13,Central,17.82,71.24,390.39,0.11,57.8
2010-03-14,Central,16.17,83.03,392.21,0.16,55.48
2010-03-15,South,11.09,48.01,395.8,-0.29,68.81
2010-03-16,Central,11.65,49.18,390.84,-0.19,44.01
2010-03-17,South,20.04,114.64,388.71,0.31,74.47
2010-03-18,North,18.16,53.84,389.8,0.29,52.35
2010-03-19,West,14.88,78.38,391.63,0.26,40.3
2010-03-20,West,13.37,60.16,388.29,-0.12,86.86
2010-03-21,West,6.94,13.79,390.97,0.31,54.7
2010-03-22,Central,10.76,8.88,391.29,-0.31,56.33
2010-03-23,North,22.69,45.53,393.03,0.36,78.61
2010-03-24,Central,9.92,86.4,392.7,-0.04,87.25
2010-03-25,Central,15.8,79.71,392.04,0.55,46.6
2010-03-26,North,19.07,82.85,387.51,-0.41,53.53
2010-03-27,North,10.02,35.32,392.15,0.57,54.41
2010-03-28,North,15.78,100.4,391.83,-0.07,76.22
2010-03-29,North,18.8,35.88,391.17,-0.07,84.67
2010-03-30,West,15.09,65.32,388.2,0.1,52.04
2010-03-31,East,26.52,59.74,389.64,-0.16,81.98
2010-04-01,East,8.37,55.65,389.06,0.02,56.49
2010-04-02,North,19.28,93.46,387.8,-0.18,69.03
2010-04-03,East,14.35,42.37,390.82,-0.16,49.74
2010-04-04,East,18.13,26.26,389.64,0.19,63.54
2010-04-05,North,16.81,60.5,394.78,-0.22,63.67
2010-04-06,East,12.11,50.0,390.6,-0.18,61.22
2010-04-07,Central,15.96,144.43,392.8,-0.36,69.62
2010-04-08,South,7.62,76.91,388.52,-0.1,52.92
2010-04-09,South,17.46,49.77,390.09,0.44,54.4
2010-04-10,North,16.24,33.6,391.04,-0.2,70.25
2010-04-11,West,17.6,12.99,389.54,-0.17,81.1
2010-04-12,North,19.28,34.37,390.28,0.11,64.73
2010-04-13,West,16.52,62.87,390.59,-0.06,71.04
2010-04-14,South,15.64,95.68,390.58,0.72,74.1
2010-04-15,North,11.53,88.04,393.72,0.0,74.97
2010-04-16,Central,12.2,65.73,391.51,0.15,53.56
2010-04-17,East,19.8,51.92,391.67,0.34,55.68
2010-04-18,West,20.8,66.72,391.77,0.33,56.72
2010-04-19,East,14.1,47.03,391.89,0.12,88.14
2010-04-20,East,15.24,102.96,390.86,0.01,71.1
2010-04-21,North,11.44,55.27,390.51,0.66,70.56
2010-04-22,East,19.75,57.84,391.25,0.03,69.39
2010-04-23,Central,17.72,4.6,392.74,-0.08,49.15
2010-04-24,East,22.82,55.11,392.71,-0.14,88.26
2010-04-25,North,11.54,80.91,390.67,-0.46,70.75
2010-04-26,Central,13.55,33.31,392.19,0.3,73.68
2010-04-27,South,15.98,41.23,390.75,-0.65,43.81
2010-04-28,East,17.64,79.82,391.1,0.06,74.36
2010-04-29,North,14.2,23.08,390.35,-0.0,60.73
2010-04-30,South,11.57,86.45,390.8,0.73,49.13
2010-05-01,South,18.59,46.7,393.09,-0.49,53.55
2010-05-02,West,17.95,50.29,391.23,-0.21,49.82
2010-05-03,Central,11.4,31.9,391.3,0.02,49.62
2010-05-04,East,20.48,69.45,388.94,0.0,65.73
2010-05-05,North,19.74,121.5,390.65,-0.1,60.36
2010-05-06,West,15.6,79.54,390.76,0.04,69.01
2010-05-07,Central,15.38,38.39,389.89,-0.31,85.11
2010-05-08,West,17.28,88.39,391.18,0.17,63.45
2010-05-09,Central,11.62,52.08,390.51,-0.63,38.06
2010-05-10,Central,15.18,94.36,391.28,0.06,62.1
2010-05-11,East,6.46,80.17,391.35,-0.12,79.32
2010-05-12,Central,18.57,13.58,389.75,0.37,63.97
2010-05-13,West,8.82,34.9,390.59,0.59,83.35
2010-05-14,Central,21.08,83.61,391.31,-0.03,70.44
2010-05-15,East,13.75,63.79,392.98,0.48,42.94
2010-05-16,East,14.22,34.41,391.6,-0.03,66.31
2010-05-17,West,12.56,44.16,390.23,-0.22,68.56
2010-05-18,South,13.92,12.34,391.83,0.59,77.96
2010-05-19,South,20.74,57.79,393.8,0.23,86.84
2010-05-20,Central,5.12,115.27,392.63,0.07,75.89
2010-05-21,North,20.18,80.12,392.08,0.28,70.29
2010-05-22,Central,16.42,114.76,392.36,0.15,73.11
2010-05-23,West,10.24,82.06,393.44,0.05,62.98
2010-05-24,West,10.77,85.69,392.9,-0.33,47.45
2010-05-25,West,21.78,109.35,392.15,-0.01,65.5
2010-05-26,West,11.29,69.43,392.91,0.26,69.38
2010-05-27,West,10.46,55.32,389.69,0.04,50.56
2010-05-28,East,19.62,85.82,389.07,0.34,80.92
2010-05-29,South,16.43,96.35,391.57,0.19,77.06
