trial_id,therapeutic_area,uses_biomarker,phase2_effect_size,phase2_pvalue_strength,endpoint_type,enrollment,statistical_power,sponsor_type,novel_mechanism,prior_approvals_target,randomized,double_blind,active_comparator,years_in_development,orphan_designation,trial_success
TRL000000,oncology,0,4.5,8.57,clinical,884,0.804,academic,1,1,1,0,1,5.5,0,1
TRL000001,cns,1,3.13,8.05,hard_survival,2004,0.821,mid_pharma,1,1,1,1,1,7.9,0,0
TRL000002,cardiovascular,0,4.08,4.69,hard_survival,379,0.844,small_biotech,0,0,1,1,0,8.2,0,0
TRL000003,vaccine,0,4.69,7.2,surrogate,1019,0.914,academic,0,2,0,0,1,8.7,1,0
TRL000004,oncology,0,3.88,10.0,hard_survival,268,0.685,small_biotech,1,1,0,1,1,7.8,0,0
TRL000005,cns,0,6.49,6.23,surrogate,211,0.665,mid_pharma,0,2,0,0,1,11.4,0,0
TRL000006,cns,1,5.49,9.05,clinical,1453,0.99,mid_pharma,0,2,1,1,0,4.2,0,0
TRL000007,immunology,0,5.19,6.55,clinical,1009,0.886,large_pharma,0,1,1,0,1,3.6,1,0
TRL000008,metabolic,1,4.52,4.69,surrogate,1263,0.867,large_pharma,1,3,0,1,0,6.0,0,1
TRL000009,infectious_disease,1,4.82,6.75,clinical,175,0.653,mid_pharma,1,2,1,1,1,8.3,0,1
TRL000010,rare_disease,1,2.52,9.25,clinical,397,0.89,mid_pharma,0,2,1,0,0,5.4,0,1
TRL000011,respiratory,1,5.9,3.57,surrogate,440,0.819,small_biotech,0,1,1,1,0,1.0,0,1
TRL000012,cns,0,6.56,7.62,clinical,63,0.784,large_pharma,0,0,1,1,0,11.7,0,0
TRL000013,metabolic,1,1.55,9.21,clinical,253,0.903,large_pharma,0,1,1,0,1,11.0,0,1
TRL000014,infectious_disease,0,3.38,3.12,surrogate,685,0.827,large_pharma,0,4,1,1,1,6.6,0,1
TRL000015,vaccine,1,5.57,8.02,surrogate,258,0.685,large_pharma,1,0,1,1,0,8.2,0,1
TRL000016,rare_disease,0,4.32,8.6,surrogate,103,0.839,small_biotech,1,1,0,1,1,6.5,0,1
TRL000017,vaccine,0,3.71,6.17,surrogate,815,0.846,small_biotech,0,1,1,1,0,6.9,0,1
TRL000018,cns,0,3.41,6.6,surrogate,349,0.787,large_pharma,1,2,1,0,0,5.6,0,0
TRL000019,infectious_disease,0,4.89,3.36,surrogate,1401,0.99,mid_pharma,0,3,0,0,0,5.6,0,1
TRL000020,respiratory,0,4.86,6.98,hard_survival,658,0.869,large_pharma,1,2,0,0,1,6.0,0,0
TRL000021,immunology,1,1.85,2.14,clinical,2235,0.809,small_biotech,1,2,1,0,0,8.0,0,0
TRL000022,cardiovascular,1,3.13,4.31,surrogate,1017,0.779,large_pharma,0,0,0,1,1,5.3,0,0
