grad_id,major,major_category,institution_tier,institution_selectivity_pctile,gpa,had_internship,completed_on_time,region,net_cost_usd,debt_usd,hs_baseline_10yr_usd,added_earnings_10yr_usd,earnings_10yr_usd,net_roi_usd,roi_pct,positive_roi,high_roi
G000000,biology,STEM,mid_tier,52,2.58,0,0,south,144400,0,411700,101000,512700,-43400,-30.0,0,0
G000001,marketing,business,mid_tier,61,2.58,0,1,northeast,57400,0,356900,330600,687500,273200,476.1,1,0
G000002,electrical_engineering,STEM,top_public,78,3.14,1,1,northeast,65100,39600,339600,655100,994700,590000,906.4,1,1
G000003,marketing,business,top_public,77,3.04,0,1,midwest,105800,81300,399600,197500,597100,91700,86.8,1,0
G000004,marketing,business,ivy_elite,100,3.81,0,0,south,219200,93500,335700,222900,558600,3800,1.7,1,0
G000005,business,business,regional,37,3.91,1,0,northeast,79000,0,413800,466800,880600,387900,491.2,1,0
G000006,economics,business,regional,44,2.32,1,1,midwest,39500,0,388800,405200,794100,365800,926.3,1,0
G000007,social_work,social_science,mid_tier,59,4.0,1,1,midwest,59300,43500,350300,162400,512600,103100,174.0,1,0
G000008,mechanical_engineering,STEM,regional,45,3.61,0,1,northeast,62200,0,314300,344500,658800,282300,454.2,1,0
G000009,finance,business,top_public,79,2.46,1,0,south,109000,107500,307200,438000,745200,329000,301.8,1,0
G000010,business,business,mid_tier,52,2.41,1,1,south,70500,0,408600,445400,854000,374900,531.6,1,0
G000011,social_work,social_science,regional,36,2.76,0,0,midwest,66700,42300,362500,36700,399300,-30000,-44.9,0,0
G000012,computer_engineering,STEM,mid_tier,59,3.13,0,1,south,73100,35500,370000,289600,659600,216500,296.3,1,0
G000013,economics,business,regional,47,3.61,1,0,south,89600,66600,355800,587700,943500,498100,555.8,1,1
G000014,education,education,mid_tier,60,2.61,0,1,northeast,60000,58500,328100,116100,444200,56000,93.4,1,0
G000015,social_work,social_science,mid_tier,56,3.13,1,0,south,120600,56500,346900,87600,434500,-33000,-27.4,0,0
G000016,electrical_engineering,STEM,regional,43,3.49,1,1,northeast,63100,0,406300,613400,1019600,550300,872.8,1,1
G000017,biology,STEM,mid_tier,63,3.14,0,1,west,75200,0,433400,141300,574700,66000,87.8,1,0
G000018,chemical_engineering,STEM,mid_tier,60,3.23,1,0,south,87600,0,316600,600100,916700,512500,585.0,1,1
G000019,chemical_engineering,STEM,mid_tier,58,3.09,1,0,south,101600,49100,347700,523100,870800,421400,414.7,1,0
G000020,business,business,mid_tier,61,3.6,1,1,south,72300,33100,321100,323300,644300,251000,347.3,1,0
G000021,marketing,business,regional,41,3.97,0,1,northeast,65600,0,412200,211000,623200,145400,221.7,1,0
G000022,communications,social_science,top_public,78,2.96,1,1,northeast,78000,0,391000,107500,498500,29600,37.9,1,0
G000023,communications,social_science,ivy_elite,93,3.85,0,1,northeast,126600,58700,344300,514700,859000,388100,306.5,1,0
G000024,mechanical_engineering,STEM,mid_tier,61,3.31,1,1,south,78000,0,429600,456100,885700,378100,484.5,1,0
G000025,finance,business,mid_tier,61,3.85,0,0,south,81200,0,416600,245100,661700,163900,201.8,1,0
G000026,computer_science,STEM,mid_tier,54,2.65,1,1,midwest,66400,0,348500,631900,980400,565500,851.9,1,1
G000027,computer_science,STEM,top_public,70,2.72,1,1,south,78400,43800,373600,1051800,1425400,973300,1241.3,1,1
G000028,marketing,business,regional,38,2.89,0,1,midwest,52700,0,366000,213400,579400,160700,305.1,1,0
G000029,nursing,health,mid_tier,52,3.49,0,0,south,123800,55700,377300,373400,750700,249600,201.7,1,0
G000030,mechanical_engineering,STEM,regional,40,3.5,1,1,west,68700,38300,333100,536800,869900,468100,681.6,1,1
G000031,criminal_justice,social_science,mid_tier,62,3.39,0,0,midwest,102500,61000,401300,130200,531500,27700,27.1,1,0
G000032,social_work,social_science,mid_tier,53,3.65,0,1,west,72600,62800,365800,72600,438400,0,-0.0,0,0
G000033,chemical_engineering,STEM,mid_tier,52,3.68,0,1,south,59700,25500,345400,767700,1113100,708100,1187.0,1,1
G000034,business,business,mid_tier,64,3.34,1,1,northeast,75700,53200,335100,304700,639800,229000,302.6,1,0
G000035,nursing,health,mid_tier,62,3.21,0,1,midwest,92000,46800,364700,256100,620800,164100,178.4,1,0
G000036,fine_arts,arts,mid_tier,54,3.13,0,1,west,80600,0,374200,50200,424500,-30300,-37.7,0,0
G000037,fine_arts,arts,mid_tier,56,2.6,0,1,west,75000,0,315300,46400,361700,-28600,-38.1,0,0
G000038,computer_science,STEM,top_public,76,3.15,0,1,midwest,70800,0,374600,841400,1216000,770600,1088.4,1,1
G000039,social_work,social_science,mid_tier,56,2.35,0,1,south,90100,51000,407600,119500,527000,29300,32.5,1,0
G000040,fine_arts,arts,for_profit,21,3.8,0,0,midwest,123200,0,323700,32300,356000,-90900,-73.8,0,0
G000041,education,education,regional,44,2.76,0,0,northeast,106200,51000,360000,85600,445600,-20600,-19.4,0,0
G000042,computer_science,STEM,mid_tier,55,3.12,0,0,northeast,97100,0,403700,216900,620600,119800,123.3,1,0
G000043,humanities,humanities,mid_tier,54,2.25,0,1,west,75000,0,401900,69200,471100,-5800,-7.7,0,0
G000044,psychology,social_science,top_public,77,2.24,0,0,south,138400,108900,399800,84500,484300,-53900,-38.9,0,0
G000045,education,education,regional,47,2.16,1,1,south,55300,0,364900,129400,494200,74000,133.9,1,0
G000046,humanities,humanities,top_public,72,3.31,0,1,west,92700,40400,349700,60100,409800,-32600,-35.2,0,0
G000047,chemical_engineering,STEM,ivy_elite,96,3.64,1,0,south,224000,97700,346500,909200,1255800,685300,306.0,1,1
G000048,business,business,ivy_elite,94,3.66,1,1,west,159500,0,290800,423800,714500,264300,165.7,1,0
G000049,finance,business,top_public,78,2.78,0,0,west,113200,96800,425200,158600,583900,45400,40.1,1,0
G000050,mechanical_engineering,STEM,mid_tier,58,3.22,1,0,midwest,101000,99600,383000,1449700,1832700,1348700,1335.2,1,1
G000051,social_work,social_science,top_public,78,4.0,0,0,northeast,88800,43200,451400,74000,525400,-14800,-16.7,0,0
G000052,business,business,mid_tier,58,2.93,0,1,midwest,70700,0,375300,320500,695800,249800,353.2,1,0
G000053,finance,business,regional,40,3.35,0,0,south,82600,0,415800,275400,691300,192800,233.3,1,0
G000054,economics,business,mid_tier,61,3.36,0,1,south,53200,35900,439100,383200,822300,330100,620.5,1,0
G000055,humanities,humanities,mid_tier,56,2.89,0,0,south,120300,0,272200,59300,331500,-61000,-50.7,0,0
G000056,criminal_justice,social_science,regional,40,3.01,0,1,south,57600,0,336900,49100,386000,-8600,-14.9,0,0
G000057,psychology,social_science,ivy_elite,94,2.38,0,0,south,161900,98000,352600,80500,433100,-81400,-50.3,0,0
G000058,computer_engineering,STEM,regional,38,2.75,1,0,south,102500,101500,401600,635300,1037000,532900,520.0,1,1
G000059,humanities,humanities,mid_tier,63,3.67,0,1,midwest,64200,0,332500,80800,413300,16600,25.9,1,0
G000060,humanities,humanities,top_public,80,2.83,0,1,northeast,98000,75800,352300,89700,441900,-8300,-8.4,0,0
G000061,computer_science,STEM,top_public,74,2.8,0,1,south,101600,48900,427600,413000,840600,311400,306.4,1,0
G000062,fine_arts,arts,regional,47,4.0,0,1,south,54900,0,370100,40600,410700,-14300,-26.0,0,0
G000063,electrical_engineering,STEM,regional,40,3.34,1,1,midwest,59400,44900,325000,606400,931400,547000,921.0,1,1
G000064,education,education,regional,38,3.29,0,1,south,53600,0,332300,63800,396100,10200,19.1,1,0
