position_id,asset,position_side,leverage,margin_mode,notional_usd,initial_margin,init_margin_rate,maint_margin_rate,liq_distance_pct,vol_regime,hourly_volatility,funding_rate_8h,adds_margin,uses_stop_loss,intended_hold_hours,time_to_liquidation_hours,pnl_pct,got_liquidated,survived
POS000000,ARB,long,18,isolated,3333.0,185.17,0.0556,0.0278,2.778,calm,0.0108,-0.00028,0,1,14,12.0,-100.0,1,0
POS000001,BTC,long,23,isolated,5868.0,255.13,0.0435,0.0217,2.174,calm,0.0048,0.00034,0,1,16,,35.3,0,1
POS000002,BTC,long,59,cross,1828.0,30.98,0.0169,0.0085,0.847,normal,0.008,0.00077,0,1,52,17.0,-100.0,1,0
POS000003,ETH,long,12,cross,1946.0,162.17,0.0833,0.0417,4.167,normal,0.01,0.00021,0,1,36,,-27.3,0,1
POS000004,DOGE,short,50,isolated,6411.0,128.22,0.02,0.01,1.0,normal,0.022,0.00014,0,0,25,1.0,-100.0,1,0
POS000005,BTC,short,30,isolated,7586.0,252.87,0.0333,0.0167,1.667,volatile,0.0144,0.00013,1,0,2,,44.6,0,1
POS000006,ETH,short,33,isolated,3416.0,103.52,0.0303,0.0152,1.515,calm,0.006,0.00029,0,0,26,,157.0,0,1
POS000007,ETH,long,44,isolated,3483.0,79.16,0.0227,0.0114,1.136,volatile,0.018,-0.00015,1,0,3,1.0,-100.0,1,0
POS000008,ETH,long,36,cross,726.0,20.17,0.0278,0.0139,1.389,volatile,0.018,0.00078,0,1,2,1.0,-100.0,1,0
POS000009,SOL,short,102,isolated,3282.0,32.18,0.0098,0.0049,0.49,calm,0.009,0.00033,1,1,12,,486.1,0,1
POS000010,ETH,long,4,isolated,7321.0,1830.25,0.25,0.125,12.5,normal,0.01,8e-05,1,0,10,,-31.0,0,1
POS000011,ETH,long,41,cross,1389.0,33.88,0.0244,0.0122,1.22,volatile,0.018,0.00016,0,0,4,4.0,-100.0,1,0
POS000012,BTC,short,56,isolated,6812.0,121.64,0.0179,0.0089,0.893,normal,0.008,0.0001,1,0,2,,-3.9,0,1
POS000013,SOL,short,44,cross,22532.0,512.09,0.0227,0.0114,1.136,calm,0.009,0.00047,1,1,55,4.0,-100.0,1,0
POS000014,DOGE,short,27,isolated,11049.0,409.22,0.037,0.0185,1.852,volatile,0.0396,0.00045,1,1,26,,-61.0,0,1
POS000015,HYPE,short,37,isolated,9764.0,263.89,0.027,0.0135,1.351,normal,0.02,0.00057,0,0,11,,215.0,0,1
POS000016,BTC,long,22,cross,12580.0,571.82,0.0455,0.0227,2.273,normal,0.008,-0.00019,0,0,6,3.0,-100.0,1,0
POS000017,ETH,short,9,isolated,8385.0,931.67,0.1111,0.0556,5.556,normal,0.01,-0.00072,0,1,18,,59.8,0,1
POS000018,altcoin_smallcap,short,13,cross,4475.0,344.23,0.0769,0.0385,3.846,normal,0.03,-0.00068,0,1,10,,-39.4,0,1
POS000019,BTC,long,48,isolated,3178.0,66.21,0.0208,0.0104,1.042,volatile,0.0144,0.00036,1,1,26,3.0,-100.0,1,0
POS000020,altcoin_smallcap,long,17,cross,1009.0,59.35,0.0588,0.0294,2.941,normal,0.03,0.00019,0,0,49,,76.2,0,1
POS000021,ETH,short,54,cross,12342.0,228.56,0.0185,0.0093,0.926,normal,0.01,0.00029,0,1,16,,-61.8,0,1
POS000022,ETH,short,8,cross,2951.0,368.88,0.125,0.0625,6.25,volatile,0.018,0.00052,1,0,56,,86.1,0,1
POS000023,altcoin_smallcap,long,40,cross,12763.0,319.08,0.025,0.0125,1.25,calm,0.018,-0.00034,0,0,2,,186.2,0,1
POS000024,HYPE,long,41,cross,13101.0,319.54,0.0244,0.0122,1.22,normal,0.02,0.00013,0,0,6,,284.4,0,1
POS000025,altcoin_smallcap,long,70,isolated,4542.0,64.89,0.0143,0.0071,0.714,normal,0.03,-2e-05,1,1,11,,629.1,0,1
POS000026,HYPE,long,18,cross,5175.0,287.5,0.0556,0.0278,2.778,volatile,0.036,0.00024,0,1,9,3.0,-100.0,1,0
POS000027,BTC,long,16,cross,5224.0,326.5,0.0625,0.0312,3.125,normal,0.008,0.00057,1,0,22,,-33.7,0,1
POS000028,ETH,long,50,isolated,6008.0,120.16,0.02,0.01,1.0,normal,0.01,-0.00051,0,1,2,,37.8,0,1
POS000029,AVAX,long,42,cross,7302.0,173.86,0.0238,0.0119,1.19,crash,0.0512,0.00039,0,0,16,1.0,-100.0,1,0
POS000030,DOGE,short,21,isolated,11304.0,538.29,0.0476,0.0238,2.381,volatile,0.0396,0.00062,0,1,73,,-100.0,0,1
POS000031,ETH,short,21,isolated,5517.0,262.71,0.0476,0.0238,2.381,normal,0.01,0.00013,0,1,18,,57.9,0,1
POS000032,SOL,short,44,cross,5499.0,124.98,0.0227,0.0114,1.136,volatile,0.027,-9e-05,1,1,3,,15.3,0,1
POS000033,altcoin_smallcap,short,35,cross,602.0,17.2,0.0286,0.0143,1.429,normal,0.03,-0.00045,0,1,3,,-100.0,0,1
POS000034,SOL,long,75,isolated,17615.0,234.87,0.0133,0.0067,0.667,normal,0.015,0.00043,0,1,15,,-100.0,0,1
POS000035,altcoin_smallcap,long,60,cross,20157.0,335.95,0.0167,0.0083,0.833,calm,0.018,0.00014,0,0,24,1.0,-100.0,1,0
POS000036,DOGE,long,97,isolated,6547.0,67.49,0.0103,0.0052,0.515,crash,0.0704,0.00117,0,1,17,1.0,-100.0,1,0
POS000037,ETH,short,84,isolated,1685.0,20.06,0.0119,0.006,0.595,calm,0.006,0.00052,0,0,24,,48.4,0,1
POS000038,ETH,long,38,cross,8614.0,226.68,0.0263,0.0132,1.316,calm,0.006,-0.00058,1,1,11,,7.0,0,1
POS000039,altcoin_smallcap,long,44,isolated,1830.0,41.59,0.0227,0.0114,1.136,normal,0.03,-0.0002,0,0,4,1.0,-100.0,1,0
POS000040,altcoin_smallcap,short,68,isolated,16040.0,235.88,0.0147,0.0074,0.735,volatile,0.054,0.00102,0,0,78,,2000.0,0,1
POS000041,BTC,long,28,isolated,7337.0,262.04,0.0357,0.0179,1.786,normal,0.008,-0.0007,0,0,11,4.0,-100.0,1,0
POS000042,HYPE,short,40,cross,6503.0,162.57,0.025,0.0125,1.25,normal,0.02,0.00016,0,0,7,4.0,-100.0,1,0
POS000043,DOGE,long,43,isolated,5144.0,119.63,0.0233,0.0116,1.163,volatile,0.0396,6e-05,0,1,27,,-100.0,0,1
POS000044,SOL,short,57,cross,6642.0,116.53,0.0175,0.0088,0.877,normal,0.015,6e-05,0,1,14,3.0,-100.0,1,0
POS000045,SOL,long,43,isolated,1718.0,39.95,0.0233,0.0116,1.163,volatile,0.027,0.00081,0,1,6,3.0,-100.0,1,0
POS000046,altcoin_smallcap,long,32,cross,10273.0,321.03,0.0312,0.0156,1.562,normal,0.03,-0.00014,1,0,11,2.0,-100.0,1,0
POS000047,AVAX,long,58,cross,8673.0,149.53,0.0172,0.0086,0.862,normal,0.016,-0.0001,0,1,13,,-100.0,0,1
POS000048,DOGE,short,18,isolated,7210.0,400.56,0.0556,0.0278,2.778,normal,0.022,0.0,1,0,10,9.0,-100.0,1,0
POS000049,BTC,short,60,cross,7960.0,132.67,0.0167,0.0083,0.833,normal,0.008,0.00019,0,0,9,,155.9,0,1
POS000050,SOL,long,93,isolated,4544.0,48.86,0.0108,0.0054,0.538,normal,0.015,0.00039,1,1,24,,-100.0,0,1
POS000051,SOL,long,32,isolated,6701.0,209.41,0.0312,0.0156,1.562,normal,0.015,0.00034,0,1,7,,3.9,0,1
POS000052,BTC,short,33,isolated,561.0,17.0,0.0303,0.0152,1.515,crash,0.0256,0.00057,1,0,1,,-28.2,0,1
POS000053,SOL,short,18,cross,10052.0,558.44,0.0556,0.0278,2.778,calm,0.009,0.00031,0,0,25,,78.0,0,1
POS000054,ETH,long,11,isolated,2645.0,240.45,0.0909,0.0455,4.545,calm,0.006,0.00075,0,1,78,26.0,-100.0,1,0
POS000055,DOGE,long,38,cross,336.0,8.84,0.0263,0.0132,1.316,volatile,0.0396,5e-05,0,1,7,2.0,-100.0,1,0
POS000056,BTC,short,19,isolated,10214.0,537.58,0.0526,0.0263,2.632,normal,0.008,-0.00036,0,1,2,,-9.3,0,1
POS000057,ETH,short,31,isolated,1469.0,47.39,0.0323,0.0161,1.613,volatile,0.018,-0.00051,0,0,4,2.0,-100.0,1,0
POS000058,SOL,short,106,cross,1267.0,11.95,0.0094,0.0047,0.472,normal,0.015,9e-05,0,1,33,,-100.0,0,1
POS000059,HYPE,long,20,cross,9431.0,471.55,0.05,0.025,2.5,normal,0.02,0.00012,0,0,10,2.0,-100.0,1,0
POS000060,BTC,long,56,isolated,8768.0,156.57,0.0179,0.0089,0.893,volatile,0.0144,0.00037,0,1,9,,-80.5,0,1
POS000061,BTC,long,52,isolated,7186.0,138.19,0.0192,0.0096,0.962,normal,0.008,6e-05,0,0,5,,145.6,0,1
POS000062,BTC,long,18,isolated,21224.0,1179.11,0.0556,0.0278,2.778,crash,0.0256,0.00073,0,1,24,4.0,-100.0,1,0
POS000063,BTC,short,21,cross,7011.0,333.86,0.0476,0.0238,2.381,normal,0.008,-0.00039,0,0,40,,228.3,0,1
POS000064,altcoin_smallcap,long,15,isolated,12705.0,847.0,0.0667,0.0333,3.333,normal,0.03,0.00053,0,1,30,,-97.4,0,1
POS000065,ETH,short,45,cross,33015.0,733.67,0.0222,0.0111,1.111,calm,0.006,0.00086,0,1,68,5.0,-100.0,1,0
POS000066,AVAX,long,74,isolated,541.0,7.31,0.0135,0.0068,0.676,normal,0.016,0.00088,1,0,12,1.0,-100.0,1,0
POS000067,ETH,short,17,isolated,29546.0,1738.0,0.0588,0.0294,2.941,calm,0.006,0.00046,0,1,9,,16.8,0,1
POS000068,SOL,short,42,cross,1648.0,39.24,0.0238,0.0119,1.19,calm,0.009,-0.0002,0,0,6,,92.7,0,1
POS000069,DOGE,long,31,cross,3032.0,97.81,0.0323,0.0161,1.613,calm,0.0132,0.00055,0,0,21,4.0,-100.0,1,0
POS000070,altcoin_smallcap,short,11,cross,6682.0,607.45,0.0909,0.0455,4.545,normal,0.03,-0.00028,1,0,13,,64.6,0,1
POS000071,DOGE,short,20,cross,9654.0,482.7,0.05,0.025,2.5,normal,0.022,2e-05,1,1,5,,17.4,0,1
POS000072,SOL,short,87,cross,4709.0,54.13,0.0115,0.0057,0.575,normal,0.015,-0.00019,0,1,10,,-100.0,0,1
POS000073,DOGE,short,21,cross,8487.0,404.14,0.0476,0.0238,2.381,normal,0.022,0.00039,0,0,1,,49.7,0,1
POS000074,DOGE,short,27,cross,5629.0,208.48,0.037,0.0185,1.852,volatile,0.0396,0.00109,1,0,26,15.0,-100.0,1,0
POS000075,altcoin_smallcap,short,95,isolated,19067.0,200.71,0.0105,0.0053,0.526,volatile,0.054,0.00109,1,0,7,1.0,-100.0,1,0
POS000076,DOGE,long,33,isolated,1422.0,43.09,0.0303,0.0152,1.515,calm,0.0132,5e-05,0,1,1,,49.0,0,1
POS000077,AVAX,short,43,isolated,288.0,6.7,0.0233,0.0116,1.163,normal,0.016,0.00016,0,0,21,,115.6,0,1
POS000078,BTC,long,58,cross,13089.0,225.67,0.0172,0.0086,0.862,volatile,0.0144,0.00044,1,1,34,,-100.0,0,1
