date,country,oil_price,oil_change_pct,shipping_pressure,fuel_price,inflation_pct,export_change_pct,import_change_pct,trade_pct_gdp,energy_dependency,oil_import_exposure,shipping_exposure,stock_index,stock_return_pct,market_volatility,shock_intensity,shock_period
01-01-2022,China,68.22,-2.27,116.16,1.17,2.15,-2.58,10,53.67,16.77,0.38,135.64,3264.68,-0.76,10.53,8.91,Baseline
01-01-2022,Germany,83.8,5.69,116.44,2.09,3.24,-1.11,7.49,49,61.66,3.51,188.24,16052.95,0.91,13.04,11.12,Baseline
01-01-2022,Germany,90.21,2.52,81.79,1.96,2.14,4.77,-0.34,54.12,57.85,1.46,129.11,15864.47,-0.86,11.99,10.07,Baseline
01-01-2022,India,80.23,-2.4,82.2,1.29,4.75,-4.54,6.39,44.73,39.48,0.95,114.65,17813.5,1.45,11.88,9.86,Baseline
01-01-2022,Iraq,76.74,2.04,109.81,0.63,3.79,0.2,5.58,72.7,-63.46,1.29,179.5,986.74,-2.63,15.52,8.41,Baseline
01-01-2022,Iraq,65.58,-0.73,80.55,0.72,3.45,-0.42,-6.19,49.68,-60.46,0.44,129.25,593.36,-1.69,12.27,9.81,Baseline
01-01-2022,Japan,93.9,-2.9,74.03,1.66,2.47,-6.54,3.22,44.51,85.72,2.49,137.49,27909.56,-1.26,14.3,13.24,Baseline
01-01-2022,Saudi Arabia,70.77,-0.31,102.32,2.21,2.59,-12.37,2.71,59.15,-79.8,0.25,183.97,11647.1,2.81,14.01,5.02,Baseline
01-01-2022,Saudi Arabia,77.62,2.94,133.35,2.2,3.25,-13.43,-5.73,82.07,-81.55,2.4,242.1,11773.26,0.92,14.09,15.41,Baseline
01-01-2022,UAE,68.3,2.97,107.41,3.03,2.82,-3.57,-3.89,47.61,-71.5,2.12,184.21,4633.33,1.45,9.88,6.37,Baseline
01-01-2022,UAE,56.94,6.1,62.82,3.18,2.6,-0.32,4.89,53.07,-66.94,4.08,104.87,4308.78,0.18,13.36,17.6,Baseline
01-01-2022,UAE,97.32,1.13,106.11,2.82,3.52,7.05,12.4,66.72,-72.4,0.82,182.93,4691.62,0.65,13.11,6.22,Baseline
01-01-2022,UAE,63.3,2.79,50,3.1,1.55,-3.59,2.15,3.5,-74.52,2.08,87.26,4451.05,2.64,12.18,19.77,Baseline
01-01-2022,USA,107.21,-0.08,61.7,3.6,2.56,2.82,-1.3,55.99,-9.3,0.01,67.44,4996.27,-0.28,9.05,14.24,Baseline
01-01-2022,USA,101.8,-2.97,89.04,3.44,2.04,1.24,5.21,28.17,-13.23,0.39,100.82,5090.82,-1.32,12.06,8.09,Baseline
02-01-2022,China,126,-3.26,94.82,1.13,1.61,-3.72,1.38,76.45,17.5,0.57,111.41,3467.1,-0.9,10.48,6,Baseline
02-01-2022,China,88.46,-7.31,75.5,1.07,2.15,-2.13,3.11,85.02,21.41,1.57,91.66,3216.31,0.84,10.47,13.42,Baseline
02-01-2022,China,101.23,-0.61,107.49,1.23,1.18,1.84,-0.41,53.54,26,0.16,135.44,3405.39,-0.74,13.13,6.43,Baseline
02-01-2022,Germany,93.51,-0.23,153.85,1.92,3.36,3.43,-3.04,29.52,58.58,0.13,243.98,16269.98,2.37,17.68,21.55,Baseline
02-01-2022,Saudi Arabia,85.46,3.3,68.84,2.27,1.8,4.48,-0.49,38.76,-79.3,2.62,123.43,11666.08,0.75,10.89,13.93,Baseline
02-01-2022,UK,71.88,7.14,102.84,1.87,4.31,4.37,9.09,98.78,39.3,2.81,143.26,8338.85,-1.86,15.4,8.33,Baseline
02-01-2022,UK,75.12,-5.16,141.1,1.67,3.16,2.98,0.3,66.47,31.59,1.63,185.67,8277.99,0.13,10.56,17.56,Baseline
02-01-2022,USA,96.55,-0.01,124.98,3.67,4.19,-10.54,-0.7,54.64,-11.05,0,138.79,5254.94,-2.62,14.53,11.86,Baseline
