Company_ID,Industry,Company_Size,Primary_AI_Agent_Role,Autonomous_Agents_Deployed,Avg_Agent_Cost_Per_Month_USD,Human_Roles_Replaced,Human_Roles_Augmented,Productivity_Gain_Percent,Cybersecurity_Incidents_YTD,Employee_Sentiment_Score_1_to_10,Months_To_Positive_ROI,Has_Strict_AI_Governance
COMP-2026-0001,Education,Medium (51-500),HR & Recruitment,5,1062.55,1,16,35.16,0,6.3,3.6,True
COMP-2026-0002,Manufacturing,Small (1-50),Legal & Compliance,2,746.74,0,14,27.03,1,7.2,31.3,False
COMP-2026-0003,Retail,Small (1-50),Sales & Marketing,2,611.48,0,10,13.85,1,3.0,7.8,True
COMP-2026-0004,Education,Enterprise (5000+),Data Analytics,145,220.6,14,646,23.78,3,6.9,14.2,True
COMP-2026-0005,Finance,Enterprise (5000+),Supply Chain Optimization,180,637.92,53,445,28.06,1,5.8,4.4,False
COMP-2026-0006,Retail,Small (1-50),Data Analytics,2,1011.77,0,8,46.63,0,3.0,6.7,True
COMP-2026-0007,Retail,Enterprise (5000+),Software Engineering,368,795.27,74,1218,14.11,2,6.9,24.6,True
COMP-2026-0008,Education,Medium (51-500),Data Analytics,5,1023.77,1,38,36.84,0,4.7,25.5,True
COMP-2026-0009,Healthcare,Large (501-5000),Customer Support,57,668.71,21,413,60.03,0,5.9,25.0,False
COMP-2026-0010,Finance,Medium (51-500),HR & Recruitment,16,274.38,3,32,30.33,0,6.3,20.8,True
COMP-2026-0011,Education,Medium (51-500),HR & Recruitment,22,164.32,4,106,29.97,0,3.5,34.4,True
COMP-2026-0012,Finance,Medium (51-500),Sales & Marketing,23,468.38,5,68,41.43,0,3.7,19.2,True
COMP-2026-0013,Finance,Large (501-5000),Legal & Compliance,149,882.89,43,621,38.98,0,7.4,17.3,True
COMP-2026-0014,Retail,Small (1-50),Customer Support,1,979.77,0,7,50.08,0,5.7,10.4,False
COMP-2026-0015,Manufacturing,Small (1-50),Software Engineering,1,460.54,0,4,30.43,1,6.1,5.4,True
COMP-2026-0016,Finance,Medium (51-500),Customer Support,18,670.44,3,66,41.21,0,6.9,20.6,False
COMP-2026-0017,Logistics,Large (501-5000),Data Analytics,75,592.17,5,213,41.4,0,3.6,12.7,True
COMP-2026-0018,Retail,Small (1-50),Customer Support,0,581.05,0,0,28.34,0,6.1,19.8,True
COMP-2026-0019,Healthcare,Large (501-5000),Customer Support,147,392.92,26,817,31.09,0,6.4,9.0,True
COMP-2026-0020,Manufacturing,Enterprise (5000+),Sales & Marketing,526,293.19,44,2389,32.36,4,9.6,30.5,True
COMP-2026-0021,Logistics,Small (1-50),Software Engineering,1,356.52,0,2,17.15,2,5.1,36.0,True
COMP-2026-0022,Logistics,Large (501-5000),Data Analytics,100,208.1,35,367,27.68,0,7.9,13.0,False
COMP-2026-0023,Healthcare,Medium (51-500),Supply Chain Optimization,10,358.04,3,77,51.05,0,6.8,30.6,False
COMP-2026-0024,Manufacturing,Large (501-5000),Sales & Marketing,92,159.66,35,449,45.37,0,4.5,31.7,True
COMP-2026-0025,Retail,Small (1-50),Supply Chain Optimization,2,808.62,0,8,25.31,0,5.7,35.9,False
COMP-2026-0026,Technology,Large (501-5000),Sales & Marketing,89,482.19,4,435,32.3,0,8.4,13.7,False
COMP-2026-0027,Manufacturing,Large (501-5000),HR & Recruitment,148,1171.8,27,971,44.55,0,8.0,27.7,True
COMP-2026-0028,Healthcare,Enterprise (5000+),Sales & Marketing,405,353.4,136,1502,38.0,1,4.7,9.8,True
COMP-2026-0029,Logistics,Large (501-5000),Legal & Compliance,71,513.12,12,188,42.42,0,7.3,23.2,False
COMP-2026-0030,Retail,Medium (51-500),Customer Support,24,525.73,6,127,39.12,1,4.8,26.0,True
COMP-2026-0031,Manufacturing,Medium (51-500),HR & Recruitment,9,158.87,2,52,35.17,1,6.5,27.2,False
