item_name,item_category,item_subcategory,brand_name,brand_tier,country,city,city_tier,price_usd_normalized,serving_size_g,calories,protein_g,total_fat_g,total_carbs_g,sodium_mg,sugars_g,avg_rating,is_bestseller
Veggie Sub,Sandwich,Veg,Five Guys,mid,UK,London,metro,8.66,224.9,438.3,23.4,27.8,46.0,744.4,12.1,4.3,0
Waffles with Syrup,Dessert,Veg,KFC,budget,USA,Austin,tier-2,2.78,151.7,338.5,1.3,0.0,77.3,304.5,25.8,4.4,0
Grilled Chicken Salad,Salad,Non-Veg,Domino's,budget,Canada,Toronto,metro,5.77,294.1,105.4,9.2,13.7,9.5,585.1,5.6,3.8,0
Waffles with Syrup,Dessert,Veg,Five Guys,mid,USA,Chicago,metro,8.47,87.7,404.3,5.3,7.3,79.4,461.5,58.4,4.0,0
Chocolate Brownie,Dessert,Veg,Subway,budget,USA,Chicago,metro,2.79,125.4,365.5,0.0,11.2,56.1,323.8,48.2,3.6,0
Paneer Tikka Pizza,Pizza,Veg,Five Guys,mid,Canada,Windsor,tier-3,8.89,183.4,336.8,14.2,14.4,42.8,612.9,4.0,3.5,0
Tiramisu,Dessert,Non-Veg,Domino's,budget,UK,Birmingham,tier-2,6.89,85.7,310.4,7.4,27.5,58.9,340.3,46.3,3.7,0
Meat Lovers Pizza,Pizza,Non-Veg,Taco Bell,budget,UK,Exeter,tier-3,4.9,211.9,265.1,12.8,6.3,43.3,835.5,5.0,4.5,0
Fish Fillet Burger,Burger,Non-Veg,Pizza Hut,budget,USA,Portland,tier-2,8.15,197.7,504.8,32.4,31.6,41.6,1022.7,9.3,4.5,0
Teriyaki Chicken Bowl,Rice/Bowl,Non-Veg,Subway,budget,Canada,Toronto,metro,4.71,335.3,677.8,20.7,0.7,71.2,730.9,5.1,3.6,1
Churros,Dessert,Veg,KFC,budget,USA,Houston,metro,2.81,140.3,388.2,0.0,16.0,63.9,436.3,41.8,3.4,0
Chicken Sub,Sandwich,Non-Veg,McDonald's,budget,UK,Manchester,metro,8.72,235.1,374.8,32.7,28.8,59.9,683.9,7.2,3.9,0
Side Salad,Sides,Vegan,Domino's,budget,Australia,Adelaide,tier-2,5.97,63.0,266.4,0.0,14.5,31.1,581.0,1.7,3.3,0
Chocolate Brownie,Dessert,Veg,Taco Bell,budget,USA,Austin,tier-2,3.96,80.8,532.0,11.7,13.9,59.9,124.0,56.904999999999994,3.9,0
Classic Beef Burger,Burger,Non-Veg,Nando's,mid,USA,New York,metro,17.97,202.8,630.3,28.1,23.3,70.4,1014.8,5.4,3.5,0
Garden Fresh Pizza,Pizza,Veg,Burger King,budget,USA,Denver,tier-2,4.42,140.4,303.2,14.4,7.3,37.9,438.5,3.7,3.7,0
Pepsi,Drink,Veg,Ruth's Chris Steakhouse,premium,UK,Manchester,metro,36.59,421.3,395.3,1.1,10.0,57.9,20.3,18.5,4.2,0
Veggie Burger,Burger,Veg,McDonald's,budget,India,Delhi,metro,1.98,258.6,501.5,26.5,22.5,59.7,1055.5,8.4,4.5,0
Spicy Chicken Pizza,Pizza,Non-Veg,Nobu,premium,USA,Houston,metro,31.98,138.5,350.8,13.2,7.4,37.9,784.1,7.2,4.0,0
Caprese Salad,Salad,Veg,Wendy's,budget,Canada,Toronto,metro,6.39,320.8,237.1,16.8,20.3,22.1,735.4,12.4,3.3,0
Pepsi,Drink,Veg,TGI Fridays,mid,UK,Birmingham,tier-2,6.45,371.5,204.4,6.3,0.0,59.2,0.0,29.3,4.5,0
Vegan Veggie Pizza,Pizza,Vegan,Wendy's,budget,USA,Houston,metro,5.0,185.4,429.9,16.7,14.8,44.4,597.3,6.4,3.1,0
Vegan Burrito Bowl,Rice/Bowl,Vegan,Five Guys,mid,USA,Boise,tier-3,18.97,385.3,585.8,7.0,9.2,64.2,557.8,11.9,2.9,0
