Company_ID,Domain,Founding_Year,Country,City,Funding_Stage,Total_Funding_USD_Millions,Valuation_USD_Millions,Revenue_ARR_Millions,Monthly_Burn_Rate_Millions,Runway_Months_2024,Peak_Headcount_2023,Layoffs_2024_2025,Current_Headcount_2026,Investor_Tier,AI_Adoption_Level,Acquisition_Status
768C785F,Generative AI,2021,Canada,Montreal,Seed,3.11,30.23,1.05,0.36,6.8,28,0,28,Corporate VC (e.g. Google Ventures),Medium,Independent
D60CFE95,FinTech,2023,Canada,Montreal,Series B,12.74,93.49,13.08,0.68,16.3,53,14,39,Tier 2 (Mid-size VC),Medium,Independent
389B61BD,Autonomous Vehicles,2020,USA,New York,Seed,2.24,29.97,3.21,0.69,2.8,48,0,48,Tier 2 (Mid-size VC),Medium,Independent
56FF5F43,Cybersecurity,2020,USA,Austin,Seed,1.57,20.11,0.68,0.41,3.1,35,0,35,Tier 2 (Mid-size VC),High,Independent
A025EA58,ClimateTech,2020,China,Shanghai,Seed,1.05,27.3,2.07,0.15,4.2,13,0,13,Corporate VC (e.g. Google Ventures),High,Independent
801F8A4C,SpaceTech,2018,China,Beijing,Series B,48.63,272.73,32.99,3.96,12.0,213,54,159,Tier 3 (Angel/Seed),Low,Closed
16141DE5,Generative AI,2019,India,Hyderabad,Series B,70.29,810.86,34.41,4.53,15.2,289,85,204,Tier 3 (Angel/Seed),Medium,Independent
EC673F68,Generative AI,2016,China,Beijing,Series A,58.2,304.16,12.68,1.88,29.4,184,0,184,Tier 3 (Angel/Seed),Low,Independent
77BC141B,FinTech,2020,USA,New York,Seed,0.56,13.17,1.35,0.4,1.1,23,0,23,Tier 3 (Angel/Seed),None,Acquired
89EAAE53,Robotics,2023,USA,Seattle,Series B,2.64,17.17,0.93,0.82,2.9,46,0,46,Tier 2 (Mid-size VC),Low,Independent
9AEA8B4E,Web3/Crypto,2021,USA,Austin,Seed,1.54,28.27,1.63,0.6,2.2,50,38,12,Tier 3 (Angel/Seed),Medium,Acquired (Fire Sale)
47AF4F0D,ClimateTech,2020,USA,Seattle,Series A,5.5,56.16,4.37,0.34,12.5,18,5,13,Tier 3 (Angel/Seed),Medium,Independent
DE04CD6C,Generative AI,2016,USA,Seattle,Post-IPO,1012.62,6520.06,389.4,27.98,36.1,2627,0,2627,Corporate VC (e.g. Google Ventures),None,Independent
85066AB3,ClimateTech,2020,Germany,Munich,Post-IPO,714.78,4831.87,598.75,48.7,14.6,3750,0,3750,"Tier 1 (e.g. Sequoia, a16z)",Medium,Closed
B50331DA,Cybersecurity,2025,USA,Austin,Seed,2.08,31.24,4.28,0.54,3.2,39,15,24,Tier 3 (Angel/Seed),Medium,Acquired
63C99624,Generative AI,2019,Israel,Tel Aviv,Series C+,121.29,895.94,94.95,7.64,15.7,413,0,413,Corporate VC (e.g. Google Ventures),None,Independent
23EC6769,Web3/Crypto,2019,USA,Seattle,Pre-IPO,91.36,563.89,34.56,2.95,30.0,207,0,207,Tier 2 (Mid-size VC),Low,Independent
179CE5D3,ClimateTech,2020,China,Shanghai,Series B,7.36,58.85,8.15,0.87,7.6,62,0,62,"Tier 1 (e.g. Sequoia, a16z)",Medium,Independent
912DDEF9,SpaceTech,2020,USA,Austin,Series B,10.86,138.44,9.43,0.78,12.3,49,0,49,Corporate VC (e.g. Google Ventures),High,Independent
7145E5C0,Generative AI,2014,USA,Austin,Seed,3.65,21.52,1.68,0.73,4.4,52,0,52,Corporate VC (e.g. Google Ventures),High,Closed
CFE32FF2,HealthTech,2021,Canada,Toronto,Series B,11.85,92.02,7.62,0.67,15.4,49,0,49,"Tier 1 (e.g. Sequoia, a16z)",High,Independent
688EB1BA,Web3/Crypto,2021,USA,New York,Series B,38.81,477.54,16.51,1.85,19.9,151,92,59,Tier 3 (Angel/Seed),Medium,Closed
FABD7AD7,FinTech,2020,UK,Cambridge,Series B,13.09,62.58,3.03,1.36,9.0,69,0,69,Tier 2 (Mid-size VC),Medium,Independent
517731F1,FinTech,2020,France,Lyon,Series B,38.91,462.64,22.31,1.88,19.7,154,0,154,Corporate VC (e.g. Google Ventures),High,Independent
2FEF38A5,FinTech,2021,USA,New York,Seed,0.64,13.08,0.84,0.22,2.0,21,11,10,Tier 3 (Angel/Seed),Medium,Closed
5C9CE41F,Web3/Crypto,2020,USA,San Francisco,Series B,36.53,328.14,14.99,1.68,20.5,87,56,31,"Tier 1 (e.g. Sequoia, a16z)",None,Acquired (Fire Sale)
CF84B370,Cybersecurity,2015,USA,Miami,Seed,1.39,30.7,4.77,0.41,2.7,36,23,13,Tier 2 (Mid-size VC),High,Closed
0161F900,EdTech,2019,India,Bengaluru,Series A,6.77,37.43,1.88,0.33,15.7,22,6,16,Tier 3 (Angel/Seed),Low,Independent
1BB89A0A,Generative AI,2021,USA,Boston,Pre-IPO,534.45,4247.41,242.37,28.07,19.0,1592,0,1592,Tier 2 (Mid-size VC),Medium,Independent
42ECF0D7,Generative AI,2020,Israel,Jerusalem,Series B,52.35,212.34,7.28,2.23,22.5,177,0,177,Tier 2 (Mid-size VC),None,Independent
8895B41A,SpaceTech,2020,USA,Boston,Pre-IPO,674.09,8040.17,312.77,62.15,10.8,3373,0,3373,Corporate VC (e.g. Google Ventures),Medium,Independent
6B465BFC,Generative AI,2016,USA,New York,Series A,29.49,307.46,11.83,3.98,7.2,214,117,97,Corporate VC (e.g. Google Ventures),Medium,Acquired (Fire Sale)
B376AD48,SpaceTech,2023,Singapore,Singapore,Seed,4.78,61.7,4.81,0.25,13.7,14,0,14,Tier 3 (Angel/Seed),High,Closed
922C56CE,Cybersecurity,2023,USA,Boston,Pre-IPO,67.29,677.67,91.98,1.75,36.4,174,0,174,Tier 3 (Angel/Seed),Medium,Acquired
B3B47516,Robotics,2019,Germany,Munich,Series B,15.52,103.91,13.75,0.56,23.5,55,0,55,"Tier 1 (e.g. Sequoia, a16z)",High,Closed
32E1EAF0,Robotics,2017,USA,Seattle,Seed,1.04,14.02,1.53,0.21,3.4,16,0,16,Tier 3 (Angel/Seed),High,Independent
8AF2A833,FinTech,2020,USA,Miami,Series A,3.81,40.85,6.69,0.69,4.8,43,0,43,Tier 3 (Angel/Seed),High,Independent
F426726F,Generative AI,2018,USA,Boston,Series C+,291.41,2977.41,194.92,13.21,21.9,1098,251,847,Tier 3 (Angel/Seed),Medium,Independent
5A1805C9,Robotics,2021,USA,San Francisco,Series B,28.96,155.41,25.12,2.08,13.3,164,60,104,Tier 3 (Angel/Seed),Medium,Independent
C6A889F2,FinTech,2019,USA,Austin,Series B,17.03,84.59,4.95,0.59,24.7,36,0,36,Tier 2 (Mid-size VC),High,Independent
D0D18D0A,Autonomous Vehicles,2024,Canada,Toronto,Series A,10.29,127.31,6.16,0.42,19.8,38,0,38,Tier 3 (Angel/Seed),Medium,Independent
4EB34893,EdTech,2020,USA,Miami,Seed,2.06,19.33,1.08,0.67,2.7,45,0,45,Tier 2 (Mid-size VC),High,Closed
B50E537B,ClimateTech,2018,India,Bengaluru,Series A,1.71,15.15,0.61,0.47,3.0,27,0,27,Corporate VC (e.g. Google Ventures),Medium,Independent
BFE4C764,HealthTech,2021,USA,New York,Seed,3.3,37.94,1.55,0.46,5.9,28,0,28,Tier 3 (Angel/Seed),High,Closed
E173D7D8,FinTech,2021,USA,Austin,Series B,7.31,44.41,2.15,0.37,15.6,24,0,24,Tier 3 (Angel/Seed),High,Independent
0546C3DD,ClimateTech,2014,UK,London,Seed,1.0,26.75,0.93,0.36,2.2,18,7,11,Corporate VC (e.g. Google Ventures),Low,Independent
AA5DB277,FinTech,2015,Singapore,Singapore,Series C+,14.37,142.11,20.06,1.01,12.9,68,0,68,Tier 2 (Mid-size VC),Medium,Acquired
F1440C41,Autonomous Vehicles,2021,Canada,Vancouver,Seed,1.9,15.08,0.96,0.38,4.0,20,0,20,Tier 2 (Mid-size VC),High,Acquired
AE2739C5,FinTech,2022,India,Hyderabad,Seed,1.78,24.29,1.99,0.67,2.3,35,0,35,"Tier 1 (e.g. Sequoia, a16z)",High,Closed
B6AD5D84,FinTech,2021,Canada,Toronto,Seed,1.48,28.79,3.35,0.38,3.1,34,0,34,Tier 3 (Angel/Seed),Medium,Independent
15491F3A,FinTech,2021,China,Shanghai,Series B,22.18,276.59,10.46,1.47,14.1,93,0,93,Tier 3 (Angel/Seed),High,Closed
