Order_ID,Date,Region,Salesperson,Category,Product,Quantity,Unit_Price,Sales,Profit
ORD00001,2025-07-19,West,Sneha,Electronics,Laptop,12,50000,600000,83914
ORD00002,2025-08-13,West,Sneha,Furniture,Table,14,8000,112000,19810
ORD00003,2025-08-25,North,Amit,Electronics,Laptop,14,50000,700000,137261
ORD00004,2025-01-30,East,Arun,Electronics,Laptop,3,50000,150000,17069
ORD00005,2025-03-09,West,Rahul,Electronics,Laptop,17,50000,850000,248242
ORD00006,2025-08-13,West,Sneha,Electronics,Laptop,13,50000,650000,148476
ORD00007,2025-07-29,West,Rahul,Furniture,Table,10,8000,80000,13420
ORD00008,2025-12-10,North,Vikram,Furniture,Chair,11,3000,33000,7561
ORD00009,2025-11-12,East,Suresh,Furniture,Table,14,8000,112000,26227
ORD00010,2025-12-27,South,Priya,Electronics,Mobile,7,20000,140000,30460
ORD00011,2025-06-02,East,Arun,Electronics,Monitor,3,12000,36000,8199
ORD00012,2025-05-22,North,Amit,Furniture,Table,6,8000,48000,11774
ORD00013,2025-07-20,West,Meena,Furniture,Sofa,5,25000,125000,23143
ORD00014,2025-02-28,North,Amit,Electronics,Laptop,9,50000,450000,58205
ORD00015,2025-08-14,West,Sneha,Electronics,Laptop,16,50000,800000,132690
ORD00016,2025-03-29,East,Suresh,Furniture,Table,6,8000,48000,9197
ORD00017,2025-02-11,East,Arun,Furniture,Chair,6,3000,18000,3176
ORD00018,2025-11-23,North,Vikram,Electronics,Monitor,20,12000,240000,65556
ORD00019,2025-02-28,North,Vikram,Electronics,Mobile,13,20000,260000,47241
ORD00020,2025-10-31,South,Karthik,Electronics,Monitor,9,12000,108000,23356
ORD00021,2025-07-24,South,Anita,Electronics,Laptop,13,50000,650000,147195
ORD00022,2025-04-26,South,Priya,Furniture,Table,1,8000,8000,1494
ORD00023,2025-02-13,South,Priya,Furniture,Chair,18,3000,54000,11277
ORD00024,2025-10-20,South,Anita,Electronics,Monitor,20,12000,240000,42710
ORD00025,2025-06-30,North,Amit,Electronics,Laptop,10,50000,500000,123959
ORD00026,2025-10-28,East,Suresh,Furniture,Chair,9,3000,27000,6871
