learner_id,fsi_category,related_language,prior_languages,age_started,total_study_hours,active_use_share,immersion_months,speaking_practice,feedback_quality,comprehensible_input_hours,uses_srs,motivation,consistency,accent_nativelike,cefr_level,reached_fluency,dropped_out
LNR000000,2,0,0,14,590,0.276,0.0,0.61,1.27,430,0,4.96,7.29,6.66,A2,0,0
LNR000001,1,1,1,28,960,0.294,0.0,4.5,7.63,600,0,4.2,6.31,3.9,C1,1,0
LNR000002,2,0,0,14,270,0.132,0.0,8.53,0.0,120,1,1.93,6.8,7.57,A1,0,1
LNR000003,4,0,0,33,70,0.266,6.5,8.52,5.59,40,0,6.6,9.17,3.84,A0,0,0
LNR000004,2,0,0,35,780,0.746,0.0,5.8,4.74,470,1,1.9,6.48,5.97,C1,1,0
LNR000005,1,1,0,13,390,0.138,0.0,7.79,7.51,190,0,0.53,7.03,6.97,B2,1,0
LNR000006,4,0,1,31,680,0.184,0.2,6.18,5.04,490,1,8.44,4.67,5.8,A1,0,1
LNR000007,3,0,0,39,970,0.613,4.4,5.09,4.13,500,0,5.72,7.97,6.31,B2,1,0
LNR000008,1,0,1,38,1010,0.402,0.0,7.41,2.65,760,1,3.41,4.68,4.76,C2,1,0
LNR000009,3,0,0,16,180,0.465,1.8,9.34,8.35,110,1,4.03,6.85,6.87,A1,0,0
LNR000010,4,0,1,13,640,0.453,0.0,6.76,7.5,470,0,10.0,6.34,6.75,B2,1,0
LNR000011,2,0,1,6,970,0.424,1.2,6.85,0.25,760,0,6.97,9.79,8.1,B2,1,0
LNR000012,1,1,1,18,970,0.808,0.0,5.02,6.33,750,0,3.49,8.36,6.64,C2,1,0
LNR000013,2,0,1,33,200,0.238,0.0,6.35,4.07,120,0,6.5,2.14,4.97,A0,0,1
LNR000014,1,0,1,41,360,0.17,0.0,9.07,10.0,250,0,5.86,5.88,4.9,A2,0,1
LNR000015,1,0,1,34,140,0.544,5.6,5.79,8.87,70,1,6.29,8.97,4.36,B1,0,1
LNR000016,2,0,1,6,230,0.583,6.8,5.81,4.78,110,0,3.72,3.62,7.15,B2,1,0
LNR000017,3,0,1,24,110,0.351,4.3,10.0,6.07,70,1,2.48,1.88,8.37,A0,0,1
LNR000018,4,0,0,34,140,0.223,6.2,2.73,5.08,100,0,9.88,7.17,5.93,A0,0,0
LNR000019,3,0,0,32,450,0.559,1.4,2.44,6.65,330,1,5.9,6.0,4.69,B1,0,1
LNR000020,2,0,1,42,90,0.389,0.0,4.83,3.71,40,1,4.02,7.12,3.2,A0,0,1
LNR000021,4,1,1,40,1050,0.25,0.5,5.26,4.01,690,0,4.18,6.99,4.07,B1,0,1
LNR000022,4,0,1,31,480,0.534,0.0,1.23,4.72,220,0,3.06,5.0,4.32,A1,0,1
LNR000023,1,1,1,6,270,0.195,6.9,2.22,6.48,180,0,3.8,4.71,8.76,B1,0,1
LNR000024,3,0,1,34,540,0.075,0.6,7.08,4.8,420,0,5.64,6.88,5.59,A2,0,0
LNR000025,4,0,1,22,700,0.55,0.0,7.71,4.8,400,1,6.94,8.19,8.24,B1,0,0
LNR000026,1,0,2,31,370,0.108,0.0,6.38,4.54,160,1,5.84,3.37,7.51,A2,0,1
LNR000027,1,1,0,45,630,0.368,0.0,7.39,8.01,410,1,3.51,5.41,4.01,B2,1,0
LNR000028,1,0,1,19,900,0.819,0.0,3.11,3.62,290,0,6.05,8.57,5.34,C1,1,0
LNR000029,3,1,0,40,140,0.529,0.0,7.08,8.47,50,0,4.77,7.87,4.37,A1,0,1
LNR000030,1,0,0,51,460,0.345,0.0,8.44,6.96,360,0,1.06,6.16,2.75,B2,1,0
LNR000031,1,0,0,26,890,0.113,0.0,6.99,6.69,340,0,9.37,10.0,5.19,B2,1,0
LNR000032,4,0,0,24,520,0.479,0.0,8.21,4.42,180,0,5.57,6.76,7.11,A1,0,1
