Gender,Age,Married,Education,Job,Employment Years,Annual Income (USD),Interest Rate,Down Payment (USD),Credit Score,Existing Monthly Debt (USD),Area,Loans Repaid,Max Loan Amount (USD)
Male,36,Yes,PhD,Software Engineer,13,134183.86,0.08,101706.78,682,2045.8,Urban,3,498842.67
Female,63,No,High School,Freelancer,37,68884.95,0.03,46324.29,823,804.73,Suburban,10,536232.53
Female,33,Yes,PhD,Nurse,11,76396.27,0.03,13045.79,813,1050.54,Urban,0,518884.47
Female,51,Yes,Bachelor's,Business Owner,29,115968.8,0.05,60388.4,752,904.08,Rural,2,757940.14
Male,53,Yes,Bachelor's,Nurse,27,99977.38,0.06,54838.14,728,2285.76,Rural,1,283110.21
Male,61,Yes,Bachelor's,Accountant,32,102002.3,0.05,70258.9,785,859.09,Urban,11,661229.63
Male,28,No,High School,Banker,5,112868.81,0.06,106147.3,733,2182.27,Suburban,3,435179.05
Female,50,No,PhD,Software Engineer,23,144807.01,0.03,100740.16,793,1334.05,Urban,4,1150599.33
Female,44,No,Master's,Teacher,15,118687.41,0.07,48558.69,724,1927.44,Rural,1,396090.64
Female,63,Yes,Bachelor's,Retired,42,112409.65,0.05,34373.76,779,1046.53,Rural,12,687279.0
Male,64,Yes,PhD,Accountant,44,215926.92,0.04,5000.0,765,3627.27,Urban,6,1043249.42
Female,77,No,PhD,Software Engineer,50,200772.94,0.05,93441.26,757,2332.05,Rural,12,1207406.04
Female,85,Yes,Master's,Nurse,50,127471.44,0.03,50233.89,850,1529.31,Urban,5,947283.3
Male,72,Yes,Master's,Software Engineer,50,117426.04,0.03,78003.8,803,1610.38,Urban,7,811282.69
Male,47,Yes,Master's,Lawyer,22,138084.12,0.06,89485.92,734,2806.82,Rural,7,452545.02
Male,86,No,Bachelor's,Retired,50,116426.28,0.03,28316.79,850,2112.58,Urban,15,677863.23
Male,86,Yes,High School,Retired,50,90279.11,0.06,30555.08,728,1658.46,Urban,14,294155.86
Female,53,Yes,Bachelor's,Retired,30,145908.44,0.03,177267.99,850,1956.01,Urban,6,1155318.23
Male,38,No,Bachelor's,Teacher,14,108081.94,0.05,33655.89,757,1554.18,Urban,4,530948.28
Male,82,No,Bachelor's,Lawyer,50,146532.58,0.03,47818.91,850,1850.8,Urban,7,1056994.06
Female,47,No,High School,Doctor,18,107418.72,0.04,95141.36,794,1579.66,Suburban,9,684051.71
Male,86,No,Master's,Software Engineer,50,81548.23,0.03,8390.18,850,806.49,Urban,14,623030.53
Male,28,No,Bachelor's,Nurse,4,25000.0,0.08,32089.78,672,20.85,Rural,3,145335.84
Male,71,No,Bachelor's,Doctor,47,168099.86,0.03,129319.87,850,3324.74,Urban,4,1002039.34
Male,40,No,Bachelor's,Doctor,18,177149.87,0.05,52077.11,789,3096.72,Urban,2,836819.61
Female,85,Yes,Master's,Doctor,50,193822.19,0.03,93595.34,798,2632.66,Rural,8,1238390.41
Male,63,No,Master's,Retired,42,59445.99,0.05,37233.34,755,750.22,Urban,5,345740.65
Female,86,No,Master's,Business Owner,50,180726.85,0.03,172955.44,843,3891.85,Suburban,10,1035951.47
Female,71,No,Bachelor's,Accountant,48,68131.87,0.03,27792.02,794,1137.18,Urban,10,398506.26
Male,65,Yes,PhD,Retired,37,163444.65,0.03,27656.72,798,2309.62,Urban,5,1043793.1
Female,40,No,Bachelor's,Freelancer,16,100132.8,0.03,45708.96,790,1076.9,Urban,1,718647.89
Male,41,Yes,Bachelor's,Accountant,22,146551.67,0.04,31663.5,779,1376.82,Urban,6,1007723.58
Male,39,Yes,Bachelor's,Freelancer,20,59856.74,0.07,5000.0,690,364.8,Urban,2,265347.05
Female,80,No,High School,Lawyer,50,142640.15,0.03,120754.58,812,1802.01,Urban,7,1052371.54
Female,79,No,Bachelor's,Banker,50,137297.83,0.04,62739.83,796,1529.24,Suburban,8,903420.28
Female,61,No,Bachelor's,Doctor,41,184062.48,0.03,157147.22,781,2639.99,Suburban,6,1237355.59
Male,85,Yes,Master's,Freelancer,50,125755.19,0.03,8259.84,850,696.57,Rural,8,1085864.6
Male,54,Yes,Master's,Teacher,30,142694.1,0.03,25128.29,850,1226.54,Urban,5,1144435.32
Female,81,Yes,PhD,Retired,50,109228.52,0.03,12587.96,814,1398.56,Urban,9,720428.64
Male,39,No,Master's,Lawyer,17,174594.9,0.1,12912.38,609,2755.32,Urban,1,280201.07
Male,65,Yes,Bachelor's,Accountant,46,106309.37,0.07,93126.78,694,1816.96,Urban,5,398141.32
Female,81,Yes,Bachelor's,Nurse,50,141339.57,0.06,124886.7,748,1240.02,Urban,9,862929.45
Male,63,No,Bachelor's,Engineer,36,84495.7,0.03,78454.19,850,433.31,Rural,7,810738.08
Female,83,No,Master's,Freelancer,50,102776.54,0.03,64561.05,813,2139.81,Rural,10,537521.87
Male,28,Yes,PhD,Nurse,4,92356.82,0.09,18359.13,636,1618.96,Urban,1,212081.07
Female,53,No,High School,Banker,33,85934.24,0.06,12272.47,725,1470.33,Urban,4,289489.88
Male,67,No,High School,Nurse,41,82097.91,0.03,5000.0,849,1418.05,Urban,9,480016.2
Female,67,No,Bachelor's,Nurse,45,128190.51,0.03,58222.01,850,1249.27,Suburban,10,1028800.07
Female,48,Yes,Master's,Engineer,21,51450.15,0.05,39775.08,761,1087.71,Urban,2,227963.28
Male,59,Yes,Bachelor's,Banker,33,135124.14,0.03,74077.64,822,1552.68,Suburban,9,944833.61
Female,52,Yes,PhD,Software Engineer,33,99351.64,0.06,76423.52,723,1752.56,Urban,4,404343.38
Female,39,Yes,Master's,Retired,20,80816.65,0.09,43896.9,640,1523.86,Suburban,2,212365.84
Female,52,No,High School,Freelancer,28,100058.51,0.06,81407.63,729,2014.1,Urban,4,360723.89
Female,53,Yes,Bachelor's,Doctor,30,166674.28,0.07,105698.23,676,2703.84,Suburban,4,557712.39
Female,63,Yes,PhD,Teacher,42,140983.03,0.03,47166.88,850,1309.64,Suburban,10,1129852.51
Female,43,Yes,Bachelor's,Lawyer,20,94780.61,0.06,77618.42,739,723.03,Urban,2,510364.32
Male,41,No,Bachelor's,Retired,15,122028.28,0.03,70838.08,839,1512.94,Urban,7,917975.4
Male,73,No,Bachelor's,Business Owner,50,160273.81,0.03,79314.53,847,2497.32,Urban,9,1070945.33
Male,61,No,PhD,Lawyer,36,170616.97,0.03,163504.9,850,1858.07,Urban,9,1408977.95
Male,76,No,Bachelor's,Accountant,49,146881.52,0.04,52664.36,796,2731.22,Suburban,12,757713.35
Male,51,Yes,Bachelor's,Accountant,28,25000.0,0.07,6248.79,695,207.17,Suburban,3,108988.98
Male,35,Yes,PhD,Lawyer,8,120483.3,0.03,89324.99,802,1424.07,Urban,6,847781.35
Female,54,No,Master's,Sales Manager,30,130980.69,0.04,124069.68,781,1589.73,Urban,7,880337.1
Male,66,No,High School,Lawyer,38,158897.9,0.03,126593.53,833,3240.05,Urban,5,928458.71
Male,40,No,PhD,Nurse,17,115639.99,0.04,82805.01,771,1851.79,Rural,1,640661.56
Female,56,No,Master's,Sales Manager,33,136105.18,0.03,68586.53,850,2727.0,Suburban,6,766882.72
Male,58,Yes,Bachelor's,Freelancer,36,81762.61,0.05,28816.36,759,1283.44,Urban,5,405179.06
Female,70,No,PhD,Business Owner,47,202998.16,0.03,117251.81,818,2480.29,Rural,12,1474817.5
Male,46,Yes,Master's,Nurse,22,132667.8,0.03,25641.83,826,781.34,Suburban,6,1151455.53
Female,78,No,PhD,Retired,50,129861.59,0.03,39452.68,822,2700.09,Urban,8,682426.99
Female,37,Yes,Bachelor's,Business Owner,12,149897.91,0.07,67899.71,702,3053.49,Urban,2,417865.67
Male,83,Yes,Master's,Lawyer,50,164926.45,0.07,38443.14,697,1448.67,Rural,7,711219.55
Male,70,No,PhD,Retired,50,159424.15,0.04,26898.43,779,2642.72,Rural,6,796420.4
Female,75,Yes,Bachelor's,Business Owner,46,180760.31,0.03,69942.23,850,1770.98,Urban,10,1436316.92
Female,67,No,Bachelor's,Teacher,44,90739.5,0.03,58346.74,822,1535.33,Suburban,8,564994.32
Female,61,Yes,High School,Doctor,42,117364.23,0.07,27609.64,732,2531.79,Suburban,2,292496.9
Female,73,No,Master's,Accountant,50,134663.67,0.04,106280.86,791,1341.46,Urban,13,975945.61
Male,76,No,High School,Software Engineer,50,135465.08,0.07,172793.54,730,2016.84,Urban,4,625880.49
Male,76,Yes,Master's,Doctor,50,131537.85,0.03,148435.14,789,2758.02,Urban,11,732292.9
Male,70,Yes,Bachelor's,Accountant,50,97865.41,0.04,48130.98,774,1692.34,Suburban,4,531906.11
Female,28,No,Master's,Software Engineer,2,185404.37,0.07,141977.13,690,1420.46,Urban,2,899986.23
Female,46,Yes,High School,Software Engineer,21,101249.64,0.08,67075.9,702,1627.78,Urban,5,362402.47
Male,28,No,Bachelor's,Nurse,4,71366.5,0.07,27608.36,692,529.84,Rural,1,325744.09
Male,83,No,Master's,Software Engineer,50,117834.61,0.03,71579.92,850,1973.1,Urban,9,768127.64
Male,51,Yes,PhD,Business Owner,25,125954.99,0.03,36402.09,820,1697.22,Rural,10,878637.14
Male,52,Yes,Master's,Lawyer,21,103675.24,0.07,31885.65,689,1309.34,Suburban,7,388897.4
Female,31,Yes,Master's,Nurse,5,37621.87,0.06,5000.0,729,517.11,Suburban,1,144635.51
Female,51,Yes,Master's,Doctor,30,218991.73,0.03,107235.51,773,3592.97,Urban,5,1290003.05
Female,66,No,Master's,Doctor,39,158713.27,0.03,166137.9,831,2435.95,Rural,9,1142741.35
Male,47,Yes,Bachelor's,Nurse,22,41592.16,0.07,29662.41,692,941.78,Suburban,2,114955.41
Male,60,Yes,Master's,Teacher,40,155163.14,0.03,127011.66,788,2454.95,Suburban,4,997171.68
Female,55,Yes,Master's,Software Engineer,34,156246.87,0.03,46991.12,813,3024.16,Urban,5,837391.03
Female,70,Yes,Bachelor's,Nurse,45,106067.93,0.03,28576.38,807,1661.93,Suburban,8,645850.55
Female,72,Yes,Master's,Nurse,49,94887.8,0.04,30418.37,790,1754.93,Urban,11,452484.05
Female,62,No,Bachelor's,Teacher,40,95810.59,0.07,36812.59,700,1073.14,Urban,10,396383.3
Female,51,Yes,High School,Doctor,28,94045.15,0.07,21774.81,686,939.81,Urban,3,376874.64
Female,67,Yes,Bachelor's,Sales Manager,45,118566.61,0.04,49204.33,782,1566.21,Urban,7,744245.07
Male,71,No,Master's,Retired,49,168381.09,0.05,153680.22,732,1710.1,Urban,7,924528.19
Male,29,No,Bachelor's,Lawyer,5,67187.26,0.08,13147.33,676,1493.74,Rural,1,130809.71
Male,50,Yes,PhD,Retired,27,102140.99,0.05,74349.28,747,2391.8,Suburban,3,390155.94
Male,60,Yes,High School,Retired,37,73988.6,0.07,9999.63,687,1404.04,Rural,3,197555.36
Female,79,Yes,Master's,Software Engineer,49,176518.54,0.03,145527.74,850,1710.88,Urban,6,1484237.89
Male,41,No,Bachelor's,Doctor,20,130606.82,0.06,74988.83,737,1131.74,Urban,4,683908.14
Female,42,Yes,Bachelor's,Nurse,17,131972.88,0.06,42644.33,730,2871.02,Urban,6,383526.65
Female,59,Yes,Bachelor's,Software Engineer,37,124760.3,0.03,101845.49,816,1938.59,Urban,6,852299.99
Male,50,Yes,Master's,Sales Manager,30,190938.87,0.04,85955.74,772,1779.07,Urban,6,1284438.0
Male,31,Yes,Bachelor's,Retired,8,110130.53,0.06,88019.08,727,1876.79,Urban,1,430440.45
Female,47,No,Bachelor's,Software Engineer,27,104912.33,0.09,52892.66,660,1020.87,Urban,2,388267.63
Male,58,No,PhD,Business Owner,38,197694.75,0.03,97968.26,850,2060.76,Urban,8,1562973.15
Male,86,No,Master's,Sales Manager,50,133067.09,0.03,18812.93,813,2641.68,Urban,11,686639.67
Male,34,No,Bachelor's,Business Owner,14,135272.12,0.06,131278.1,721,2258.93,Urban,2,578155.99
Male,28,Yes,Master's,Lawyer,7,154038.39,0.07,145145.65,714,3072.06,Urban,3,542472.9
Female,32,Yes,High School,Banker,4,79938.24,0.08,43427.19,693,459.41,Rural,1,383310.26
Female,41,Yes,PhD,Lawyer,20,160558.57,0.05,122980.55,728,2170.15,Urban,1,774831.37
Female,57,No,Bachelor's,Sales Manager,29,129433.63,0.03,5989.04,850,1807.53,Suburban,9,856439.5
Female,65,No,Bachelor's,Freelancer,43,154640.35,0.03,127623.21,840,2185.18,Rural,5,1137614.76
Female,50,Yes,Master's,Freelancer,28,56040.71,0.04,5000.0,758,610.61,Rural,5,342676.12
Male,34,Yes,Master's,Doctor,9,53205.78,0.06,33902.87,726,629.89,Urban,1,241056.71
Female,71,No,Bachelor's,Banker,50,180056.31,0.06,97391.27,721,1680.03,Urban,11,876406.84
Female,66,Yes,Master's,Banker,46,118062.31,0.06,18064.24,741,2390.28,Urban,7,401587.6
Female,77,Yes,High School,Doctor,50,181793.6,0.05,59779.94,762,3286.25,Suburban,4,824612.76
Female,81,Yes,PhD,Banker,50,122166.23,0.03,29682.19,850,1635.11,Urban,12,849206.27
Male,43,Yes,PhD,Retired,18,72740.63,0.07,5000.0,709,86.17,Suburban,4,398702.5
Male,36,Yes,Bachelor's,Lawyer,13,154032.29,0.06,109919.66,716,1373.84,Suburban,4,801017.92
Male,66,No,Master's,Business Owner,46,135179.82,0.06,39827.67,729,2126.86,Rural,7,512750.08
Male,82,No,Master's,Freelancer,50,132962.37,0.03,86587.68,827,1932.97,Suburban,15,942158.89
Female,73,No,PhD,Freelancer,50,115074.84,0.07,71399.16,692,710.23,Urban,5,572018.62
Female,61,Yes,Bachelor's,Software Engineer,34,144687.17,0.03,22192.33,850,3113.57,Urban,7,713613.6
Male,58,Yes,PhD,Doctor,39,195752.27,0.03,103594.68,850,3600.29,Urban,4,1184240.8
Female,72,Yes,Bachelor's,Banker,49,174442.68,0.07,114986.55,683,1833.84,Urban,4,773982.82
Male,34,Yes,High School,Nurse,10,83700.64,0.08,49579.46,695,1380.56,Urban,3,286513.28
Male,84,No,High School,Business Owner,50,160938.52,0.03,79771.0,850,3178.32,Rural,11,916444.7
Male,78,No,Bachelor's,Software Engineer,49,63265.64,0.03,36128.89,848,1103.26,Urban,7,399693.37
Male,29,No,Bachelor's,Teacher,6,25000.0,0.03,5402.43,817,12.61,Suburban,5,249482.93
Female,33,Yes,Master's,Nurse,14,111389.59,0.04,49586.09,767,2676.68,Suburban,4,444991.92
Male,71,No,Bachelor's,Accountant,48,122956.24,0.03,67185.21,783,994.62,Suburban,5,999590.0
Female,61,Yes,PhD,Business Owner,37,174805.84,0.03,85180.28,850,3246.09,Rural,6,1042828.24
Female,44,No,PhD,Banker,17,147250.32,0.04,44247.38,771,1597.53,Urban,7,947921.43
Male,53,Yes,Bachelor's,Business Owner,31,175216.14,0.06,27128.47,708,1303.42,Urban,4,895075.12
Female,39,Yes,Master's,Banker,11,81262.76,0.05,16830.79,758,1269.32,Urban,5,384566.32
Female,47,Yes,High School,Teacher,21,83234.0,0.06,66930.64,750,797.6,Suburban,2,505916.6
Male,68,No,High School,Lawyer,42,93772.07,0.07,12103.29,712,682.46,Suburban,4,406675.81
Female,85,Yes,Master's,Doctor,50,172655.38,0.03,152197.09,816,3544.46,Urban,5,1017822.7
Male,73,Yes,PhD,Sales Manager,50,116031.44,0.04,40201.88,781,1199.43,Urban,7,740344.63
Male,62,Yes,Bachelor's,Nurse,39,112407.72,0.05,16402.99,774,1163.97,Urban,6,663654.25
Male,62,Yes,Bachelor's,Software Engineer,46,126862.61,0.04,35490.44,803,2578.01,Urban,6,591107.44
Female,81,No,Master's,Business Owner,50,187093.71,0.03,101207.29,808,3288.77,Suburban,6,1068479.02
Female,56,No,Master's,Nurse,31,106222.65,0.04,62748.33,789,1757.37,Suburban,5,592541.32
Male,75,Yes,Master's,Accountant,50,95504.24,0.07,21197.43,702,2102.15,Urban,7,223539.82
Male,65,Yes,Bachelor's,Banker,43,160383.55,0.03,8540.11,802,1528.7,Urban,6,1113021.31
Female,58,Yes,High School,Teacher,33,87561.4,0.12,33049.74,584,1710.51,Urban,3,122133.42
Male,67,No,PhD,Software Engineer,45,174970.16,0.03,169040.59,850,2238.18,Urban,8,1367376.88
Male,40,Yes,Master's,Teacher,18,118831.79,0.07,76977.3,697,2661.77,Urban,1,325951.29
Female,53,Yes,Bachelor's,Engineer,30,84033.56,0.05,36960.09,758,537.86,Suburban,3,541848.42
Female,49,No,High School,Business Owner,23,162528.87,0.07,148126.59,701,1838.13,Urban,4,756951.26
Male,35,Yes,Master's,Sales Manager,14,80534.38,0.06,27804.44,723,1229.93,Urban,1,317181.26
Female,67,Yes,Bachelor's,Freelancer,48,172286.53,0.03,25902.63,793,2828.38,Rural,7,947998.13
Female,34,Yes,Master's,Doctor,9,115110.22,0.08,63300.72,658,934.0,Urban,5,463843.61
Male,32,Yes,Bachelor's,Business Owner,10,176436.03,0.1,62787.94,626,2946.53,Urban,3,430045.35
Female,79,Yes,Bachelor's,Doctor,50,118840.74,0.05,125360.95,743,2010.78,Suburban,7,661330.22
Male,28,No,Master's,Accountant,2,74609.35,0.07,29418.01,696,401.41,Suburban,0,374476.03
Female,72,No,Bachelor's,Business Owner,43,139051.28,0.03,130525.4,819,2426.78,Urban,9,929146.17
Female,81,Yes,Bachelor's,Freelancer,50,156949.02,0.03,63813.6,809,2705.46,Urban,9,973215.1
Female,67,Yes,Bachelor's,Accountant,39,93220.76,0.03,74929.36,815,527.99,Suburban,7,870984.17
Male,38,Yes,High School,Doctor,16,122836.25,0.04,71776.66,804,1705.84,Suburban,5,784452.7
Female,79,No,High School,Engineer,50,92060.51,0.04,13070.77,802,2192.55,Urban,6,336623.65
Male,59,Yes,Bachelor's,Lawyer,37,129234.25,0.06,67593.28,727,2252.68,Urban,6,471585.6
Male,34,Yes,Bachelor's,Engineer,10,57520.66,0.09,26373.76,661,265.89,Urban,2,242644.78
Male,78,No,PhD,Retired,50,141326.21,0.03,91051.66,802,2811.8,Suburban,8,764510.26
Female,56,Yes,Master's,Banker,34,209064.62,0.03,130854.77,850,1836.05,Urban,10,1761524.64
Female,57,Yes,Master's,Doctor,33,131425.33,0.09,41148.84,650,2056.41,Urban,5,344482.69
Male,48,No,High School,Banker,23,125865.2,0.03,87136.78,825,1887.76,Urban,5,883289.95
Female,66,Yes,High School,Doctor,43,179250.57,0.07,114851.32,707,1404.67,Rural,10,888232.2
Male,75,No,Master's,Nurse,49,161032.91,0.06,99231.38,733,2208.8,Urban,8,676911.74
Female,71,No,PhD,Lawyer,49,131417.08,0.08,43203.87,661,2734.85,Urban,6,290299.17
Male,70,Yes,Master's,Engineer,49,142063.87,0.04,34614.62,749,2180.65,Urban,9,752947.91
Female,84,Yes,High School,Business Owner,50,163702.17,0.03,83914.43,850,1375.28,Rural,17,1375562.8
Male,68,Yes,Bachelor's,Doctor,40,129601.41,0.05,16799.26,748,830.58,Urban,5,856504.05
Female,66,No,Master's,Business Owner,42,190037.69,0.04,76770.07,782,2979.74,Urban,4,1048164.84
Male,47,No,Master's,Freelancer,28,178050.87,0.05,80419.46,764,2018.66,Rural,6,999266.38
Male,49,Yes,Master's,Software Engineer,29,133960.2,0.07,25573.82,726,2419.08,Suburban,6,410172.63
Male,56,Yes,Bachelor's,Retired,35,93026.83,0.07,35351.1,694,1012.74,Urban,7,399427.99
Female,73,Yes,Master's,Business Owner,48,162552.3,0.03,68875.52,850,1232.55,Urban,11,1383012.65
Female,31,No,Master's,Business Owner,8,186426.18,0.07,122463.25,737,1887.42,Urban,3,883456.11
