listener_id,age,country,platform,subscription,top_genre,top_artist,daily_listening_minutes,songs_per_day,playlists_count,skip_rate_pct,discover_weekly_user,top_mood,uses_offline_mode,podcasts_too
1,24,Australia,Apple Music,Free,R&B,Kendrick Lamar,191,54,9,39.3,False,Sleep,False,True
2,21,Germany,Spotify,Free,Classical,Drake,249,68,10,18.3,True,Workout,True,True
3,32,Japan,Amazon Music,Free,Hip-Hop,Olivia Rodrigo,49,11,11,22.7,True,Sad,False,True
4,39,Japan,Apple Music,Free,Pop,Burna Boy,96,22,8,29.4,True,Sad,True,False
5,23,India,Spotify,Family,Country,Olivia Rodrigo,100,24,13,37.7,True,Workout,True,True
6,41,Australia,Tidal,Free,Rock,Olivia Rodrigo,64,19,10,12.0,True,Energetic,False,True
7,13,Australia,Spotify,Free,EDM,Burna Boy,193,53,7,20.3,True,Sleep,False,False
8,22,India,SoundCloud,Premium,Hip-Hop,Bad Bunny,142,44,7,33.3,False,Workout,False,False
9,40,Australia,Spotify,Free,Hip-Hop,Bad Bunny,120,38,7,15.4,True,Happy,False,True
10,27,Nigeria,Spotify,Student,Hip-Hop,Burna Boy,127,33,8,48.7,True,Happy,False,True
11,31,Germany,Apple Music,Free,Rock,SZA,255,73,9,42.2,False,Workout,False,False
12,30,Canada,SoundCloud,Student,R&B,Taylor Swift,481,135,11,35.8,False,Workout,True,True
13,50,Japan,Apple Music,Free,Jazz,Burna Boy,330,97,5,21.7,True,Sleep,False,True
14,24,Japan,YouTube Music,Free,Jazz,Bad Bunny,107,36,12,24.9,True,Party,True,True
15,13,USA,Apple Music,Free,Pop,Olivia Rodrigo,54,15,14,10.0,False,Energetic,False,True
16,13,India,YouTube Music,Premium,Pop,Travis Scott,75,18,8,37.9,True,Sad,True,False
17,28,Australia,Tidal,Free,R&B,Taylor Swift,288,81,9,25.5,False,Chill,False,False
18,37,Canada,Spotify,Free,Lo-fi,Burna Boy,39,9,4,31.8,True,Party,True,True
19,20,USA,Spotify,Family,EDM,Travis Scott,58,11,10,42.9,True,Happy,False,True
20,32,UK,YouTube Music,Free,Hip-Hop,Billie Eilish,121,33,12,16.4,False,Chill,False,False
21,21,Brazil,Amazon Music,Free,Pop,Travis Scott,222,59,6,7.3,True,Chill,True,True
22,15,Canada,Apple Music,Free,K-Pop,The Weeknd,140,44,7,34.3,True,Chill,False,False
23,23,Australia,Amazon Music,Student,Afrobeats,Billie Eilish,171,58,7,25.0,False,Chill,False,False
24,26,Canada,Spotify,Free,Pop,BTS,212,62,5,21.4,True,Sleep,False,True
25,38,Australia,Tidal,Free,R&B,Olivia Rodrigo,41,13,6,21.9,False,Chill,True,True
26,34,UK,YouTube Music,Premium,Jazz,Bad Bunny,50,13,8,41.0,True,Sleep,False,False
27,25,Germany,Apple Music,Premium,EDM,BTS,49,17,16,44.8,True,Chill,False,True
28,27,India,Spotify,Free,Afrobeats,Billie Eilish,45,9,14,36.9,True,Chill,True,False
29,27,USA,YouTube Music,Free,R&B,Bad Bunny,107,31,10,15.7,True,Energetic,False,True
30,13,Canada,Amazon Music,Free,Hip-Hop,The Weeknd,40,9,10,13.2,True,Happy,True,True
31,13,Brazil,Spotify,Free,Pop,Olivia Rodrigo,25,4,6,38.8,False,Focus,False,True
32,24,Australia,Spotify,Family,Hip-Hop,Billie Eilish,134,39,11,7.0,True,Sleep,False,False
33,21,UK,YouTube Music,Premium,Hip-Hop,The Weeknd,225,75,8,16.4,False,Focus,False,True
34,40,USA,Spotify,Premium,Country,Dua Lipa,214,61,7,29.7,False,Sad,False,True
35,20,UK,Apple Music,Premium,Indie,Billie Eilish,270,78,3,12.4,True,Workout,False,False
36,16,France,Spotify,Free,Country,Kendrick Lamar,170,44,11,33.3,True,Sleep,False,True
37,37,Canada,Spotify,Premium,Rock,The Weeknd,233,63,15,38.8,True,Happy,False,False
38,13,Japan,Apple Music,Family,Jazz,SZA,129,43,8,40.9,True,Sad,False,False
39,40,India,Spotify,Premium,Hip-Hop,The Weeknd,112,38,10,13.6,False,Focus,False,True
40,17,Canada,Amazon Music,Student,Classical,Burna Boy,155,32,11,10.9,False,Sleep,False,True
41,24,India,Spotify,Family,Country,The Weeknd,256,75,8,54.3,False,Sad,False,True
42,27,Brazil,Apple Music,Family,Afrobeats,The Weeknd,88,28,6,26.2,True,Workout,False,False
43,23,Canada,Spotify,Premium,EDM,Burna Boy,154,41,12,37.7,True,Sleep,False,True
44,30,Japan,Spotify,Family,Hip-Hop,Tyler the Creator,17,1,9,39.2,True,Workout,True,False
45,22,Brazil,Spotify,Premium,R&B,Dua Lipa,100,24,4,36.6,False,Focus,True,True
46,37,India,YouTube Music,Premium,Classical,Drake,80,19,8,0.0,True,Sad,True,True
47,28,France,Apple Music,Family,Pop,Dua Lipa,282,84,10,23.2,True,Happy,True,False
48,35,Germany,Apple Music,Premium,Classical,Bad Bunny,123,49,9,32.2,True,Sad,False,False
49,23,France,YouTube Music,Premium,Rock,The Weeknd,141,36,4,44.4,True,Party,False,True
50,26,Nigeria,Spotify,Family,Hip-Hop,Olivia Rodrigo,182,48,7,5.4,False,Chill,True,False
51,32,Australia,Spotify,Student,Country,Olivia Rodrigo,77,21,8,23.9,False,Focus,True,True
52,27,India,Spotify,Free,Pop,Dua Lipa,99,31,11,43.2,True,Happy,False,True
