date,location,river,basin,latitude,longitude,elevation_m,DHM Station ,precipitation_mm,soil_moisture_0_100cm_m3m3,rain_mm,temperature_mean_c,dew_point_mean_c,precipitation_hours,relative_humidity_mean_pct,wind_speed_max_kmh,wind_gusts_max_kmh,wind_direction_dominant_deg,river_discharge_m3s
01-01-2023,Bahrabise,Bhote Koshi,Koshi,27.786773,85.899324,1870,610,0,0,0,0.291,12.3,6.8,71,7.8,24.1,106,1.05
01-01-2023,Belsot,Kamala,Kamala,26.912863,86.24833,188,595.5,0,0,0,0.223,15.2,11.3,79,7.1,16.6,9,12.09
01-01-2023,Bhada Bridge,Babai,Babai,28.188822,81.36565,157,291,0,0,0,0.258,12.4,10.2,87,11.1,12.2,300,0.31
01-01-2023,Chameliya/Nayalbadi,Chamelia,Mahakali,29.67442,80.56268,685,120,0,0,0,0.409,12,6,69,5.8,15.1,120,19.28
01-01-2023,Chatara,Saptakoshi,Koshi,26.855192,87.152283,153,695,0.3,0.3,3,0.217,15.8,10.7,73,8,18.7,1,0.26
01-01-2023,Chisapani,Karnali,Karnali,28.653056,81.286944,2215,280,0,0,0,0.28,12.8,9.5,82,6.6,22.7,33,0.31
01-01-2023,Devghat,Narayani,Narayani/Gandak,27.71,84.43,603,450,0,0,0,0.241,15.2,9.5,70,5.9,11.5,357,0.91
01-01-2023,Khokana,Bagmati,Bagmati,27.632222,85.293333,1315,550.05,0,0,0,0.214,10.3,6.7,80,9.7,27.7,338,0.01
01-01-2023,Kusum,West Rapti,Rapti,28.0075,82.093889,6367,375,0,0,0,0.139,13.5,9.5,79,8.9,23.4,1,22.39
01-01-2023,Rasuwagadhi,Bhote Koshi,Narayani,28.271297,85.377649,1749,446.22,0,0,0,0.315,12.2,-2.6,37,13.9,68,187,0.22
02-01-2023,Bahrabise,Bhote Koshi,Koshi,27.786773,85.899324,1870,610,0,0,0,0.303,11.3,6.1,73,7.3,25.2,80,1.05
02-01-2023,Belsot,Kamala,Kamala,26.912863,86.24833,188,595.5,0,0,0,0.225,15.7,10.1,71,8.4,18.7,298,12.09
02-01-2023,Bhada Bridge,Babai,Babai,28.188822,81.36565,157,291,0,0,0,0.261,12,9.4,86,10.1,14,301,0.3
02-01-2023,Chameliya/Nayalbadi,Chamelia,Mahakali,29.67442,80.56268,685,120,0,0,0,0.409,11.8,6.3,70,4.5,15.5,53,19.04
02-01-2023,Chatara,Saptakoshi,Koshi,26.855192,87.152283,153,695,0,0,0,0.218,15.2,9.3,70,6.6,16.2,351,0.26
02-01-2023,Chisapani,Karnali,Karnali,28.653056,81.286944,2215,280,0,0,0,0.285,12.3,8,77,8.2,21.6,40,0.31
02-01-2023,Devghat,Narayani,Narayani/Gandak,27.71,84.43,603,450,0,0,0,0.243,13.7,8.3,72,8.2,17.6,335,0.9
02-01-2023,Khokana,Bagmati,Bagmati,27.632222,85.293333,1315,550.05,0,0,0,0.212,9,4.5,77,8.6,26.6,242,0.01
02-01-2023,Kusum,West Rapti,Rapti,28.0075,82.093889,6367,375,0,0,0,0.129,13.2,8.8,78,8.9,24.1,349,22.33
02-01-2023,Rasuwagadhi,Bhote Koshi,Narayani,28.271297,85.377649,1749,446.22,0,0,0,0.315,11.1,-4.8,34,13.4,69.8,191,0.21
03-01-2023,Bahrabise,Bhote Koshi,Koshi,27.786773,85.899324,1870,610,0,0,0,0.306,10.6,3.6,65,7.9,24.1,89,1.01
03-01-2023,Belsot,Kamala,Kamala,26.912863,86.24833,188,595.5,0,0,0,0.225,15,9.9,73,7.9,21.2,277,12.06
03-01-2023,Bhada Bridge,Babai,Babai,28.188822,81.36565,157,291,0,0,0,0.261,11.2,8.6,85,9.2,16.6,297,0.3
03-01-2023,Chameliya/Nayalbadi,Chamelia,Mahakali,29.67442,80.56268,685,120,0,0,0,0.413,11.4,2.5,56,5.7,19.1,32,18.82
03-01-2023,Chatara,Saptakoshi,Koshi,26.855192,87.152283,153,695,0,0,0,0.223,15,9.1,70,7.9,21.2,341,0.26
03-01-2023,Chisapani,Karnali,Karnali,28.653056,81.286944,2215,280,0,0,0,0.282,11.8,7.4,77,9.2,24.1,34,0.31
03-01-2023,Devghat,Narayani,Narayani/Gandak,27.71,84.43,603,450,0,0,0,0.241,13.7,8.5,73,10.9,14.8,288,0.9
03-01-2023,Khokana,Bagmati,Bagmati,27.632222,85.293333,1315,550.05,0,0,0,0.207,8.9,3.4,72,9,27.7,225,0.01
03-01-2023,Kusum,West Rapti,Rapti,28.0075,82.093889,6367,375,0,0,0,0.122,12.8,8.7,79,8.4,23,342,22.28
03-01-2023,Rasuwagadhi,Bhote Koshi,Narayani,28.271297,85.377649,1749,446.22,0,0,0,0.314,11.5,-10.3,22,14.5,72,183,0.21
04-01-2023,Bahrabise,Bhote Koshi,Koshi,27.786773,85.899324,1870,610,0,0,0,0.308,10,2.2,61,8,22.3,77,0.99
04-01-2023,Belsot,Kamala,Kamala,26.912863,86.24833,188,595.5,0,0,0,0.227,13.1,9.9,83,8.7,21.2,263,12.06
04-01-2023,Bhada Bridge,Babai,Babai,28.188822,81.36565,157,291,0,0,0,0.267,11,8.3,85,9.2,19.8,291,0.3
04-01-2023,Chameliya/Nayalbadi,Chamelia,Mahakali,29.67442,80.56268,685,120,0,0,0,0.416,11.2,0.6,49,5.4,14,77,18.59
04-01-2023,Chatara,Saptakoshi,Koshi,26.855192,87.152283,153,695,0,0,0,0.234,14,9,73,6.3,17.6,353,0.25
04-01-2023,Chisapani,Karnali,Karnali,28.653056,81.286944,2215,280,0,0,0,0.287,11,7.1,79,8.1,24.8,42,0.31
04-01-2023,Devghat,Narayani,Narayani/Gandak,27.71,84.43,603,450,0,0,0,0.241,12.3,7.8,76,8.6,16.6,294,0.89
04-01-2023,Khokana,Bagmati,Bagmati,27.632222,85.293333,1315,550.05,0.7,0.7,1,0.2,9.5,2.5,64,8.4,20.9,202,0
04-01-2023,Kusum,West Rapti,Rapti,28.0075,82.093889,6367,375,0,0,0,0.115,12.3,8.1,78,8.2,24.8,326,22.23
04-01-2023,Rasuwagadhi,Bhote Koshi,Narayani,28.271297,85.377649,1749,446.22,0,0,0,0.314,9.6,-8.9,29,11.2,67.7,187,0.2
05-01-2023,Bahrabise,Bhote Koshi,Koshi,27.786773,85.899324,1870,610,0,0,0,0.308,11.3,1.9,55,5.9,21.6,67,0.97
05-01-2023,Belsot,Kamala,Kamala,26.912863,86.24833,188,595.5,0,0,0,0.224,12.4,9.7,85,8.6,20.9,256,12.03
05-01-2023,Bhada Bridge,Babai,Babai,28.188822,81.36565,157,291,0,0,0,0.27,10.3,8.4,89,9.5,19.8,293,0.3
05-01-2023,Chameliya/Nayalbadi,Chamelia,Mahakali,29.67442,80.56268,685,120,0,0,0,0.419,11.3,-1.1,42,8,13.7,89,18.41
05-01-2023,Chatara,Saptakoshi,Koshi,26.855192,87.152283,153,695,0,0,0,0.235,14.2,8.2,68,6.5,17.6,329,0.25
05-01-2023,Chisapani,Karnali,Karnali,28.653056,81.286944,2215,280,0,0,0,0.288,10.6,7.4,82,9.4,21.6,41,0.3
05-01-2023,Devghat,Narayani,Narayani/Gandak,27.71,84.43,603,450,0,0,0,0.241,11.9,6.1,70,8.3,16.9,277,0.89
05-01-2023,Khokana,Bagmati,Bagmati,27.632222,85.293333,1315,550.05,0,0,0,0.203,10.2,0.3,53,8.3,24.1,212,0
