AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,year,at_phase,ap_phase,ah_phase,afdp_phase,gtep_phase,in_pocket,target_real,target
4.5878,1018.7,83.675,3.5758,23.979,1086.2,549.83,134.67,11.898,2011,-2.95418,1.97647,0.531102,-1.08294,-1.05797,0,0,0
4.2932,1018.3,84.235,3.5709,23.951,1086.1,550.05,134.67,11.892,2011,-3.00261,1.90739,0.660032,-1.08968,-1.08917,0,0,0
3.9045,1018.4,84.858,3.5828,23.99,1086.5,550.19,135.1,12.042,2011,-3.00462,1.91708,0.742413,-1.06492,-1.03783,0,0,0
3.7436,1018.3,85.434,3.5808,23.911,1086.5,550.17,135.03,11.99,2011,-3.01248,1.87879,0.836349,-1.09033,-1.13437,0,0,0
3.7516,1017.8,85.182,3.5781,23.917,1085.9,550,134.67,11.91,2011,-3.06237,1.79132,0.775166,-1.0556,-1.10065,0,0,0
3.8858,1017.7,83.946,3.5824,23.903,1086,549.98,134.67,11.868,2011,-3.01987,1.71422,0.570968,-1.04848,-1.11349,0,0,0
3.6697,1018,84.114,3.5804,23.889,1085.9,550.04,134.68,11.877,2011,-3.06161,1.81966,0.591763,-1.07002,-1.10617,0,0,0
3.5892,1018.2,83.867,3.5777,23.876,1086,549.88,134.66,11.893,2011,-3.05246,1.87013,0.586259,-1.07321,-1.14399,0,0,0
3.7108,1018.5,84.948,3.6027,23.957,1086.3,549.98,134.65,11.87,2011,-3.02623,1.93123,0.733251,-0.997239,-1.04326,0,0,0
4.8281,1018.5,85.346,3.5158,23.422,1083.1,549.8,132.67,11.694,2011,-2.96326,1.94561,0.83027,-1.23088,-1.41358,0,0,0
6.0334,1018.4,86.054,3.5748,23.989,1085.8,550.04,135.24,11.804,2011,-2.77869,1.88442,0.962108,-1.05633,-1.04171,0,0,0
7.9896,1017.9,87.541,4.3905,30.128,1094.5,534.81,152.6,13.333,2011,-2.46452,1.80325,1.242,1.64554,1.84991,0,0,0
9.8712,1017.2,84.249,4.6983,32.341,1100.2,530.58,159.99,13.929,2011,-2.06291,1.60989,0.637826,2.26662,2.64448,0,0,0
10.722,1016.5,80.263,4.7526,32.739,1100.2,528.93,160.6,14.049,2011,-1.85537,1.43153,-0.00685829,2.32735,2.76658,0,0,0
11.017,1016.3,78.128,4.744,32.672,1100.1,529.06,160.4,14.018,2011,-1.75965,1.32393,-0.35735,2.34127,2.78623,0,0,0
10.946,1016.2,77.96,4.6919,32.424,1100.3,530.67,160.09,13.945,2011,-1.77659,1.33312,-0.379064,2.27834,2.7163,0,0,0
10.755,1015.9,79.267,4.7117,32.632,1100.2,529.35,160.66,14.025,2011,-1.84992,1.21625,-0.179393,2.30505,2.74449,0,0,0
10.175,1015.8,81.423,4.6407,32.286,1099.8,530.67,160.64,13.826,2011,-2.01108,1.20961,0.144902,2.24065,2.65031,0,0,0
9.5069,1015.7,82.518,4.6187,32.218,1099.8,530.75,160.84,13.913,2011,-2.15332,1.18865,0.330514,2.20484,2.61662,0,0,0
5.388,1014.3,90.459,3.63,24.064,1084.8,549.11,134.26,11.814,2011,-2.85753,0.650343,1.77303,-0.967527,-1.01552,0,0,0
5.4906,1013.9,88.626,3.2829,21.254,1069.3,549.65,121.95,11.132,2011,-2.8628,0.523888,1.43754,-1.70341,-1.99397,0,0,0
5.4522,1013.6,87.772,3.6333,23.994,1085.1,549.71,133.51,11.792,2011,-2.87432,0.406589,1.2823,-0.928567,-1.03709,0,0,0
5.4774,1013.4,87.768,3.5139,23.013,1079.7,550.13,129.19,11.605,2011,-2.84523,0.348564,1.25091,-1.22528,-1.60101,0,0,0
5.3784,1013.1,86.562,3.5598,23.419,1082.2,550.1,131.08,11.667,2011,-2.89182,0.219181,1.03873,-1.09204,-1.45127,0,0,0
5.2236,1012.8,87.093,3.5058,22.94,1079.4,550.09,129.06,11.686,2011,-2.88862,0.0725072,1.1452,-1.28041,-1.64692,0,0,0
