Pokedex_Number,Pokemon_Name,Generation,Type_1,Type_2,Ability_1,Ability_2,Hidden_Ability,HP,Attack,Defense,Special_Attack,Special_Defense,Speed,BST,Sub_Class,Stage
1,Bulbasaur,1,Grass,Poison,Overgrow,,Chlorophyll,45,49,49,65,65,45,318,Starter,1
2,Ivysaur,1,Grass,Poison,Overgrow,,Chlorophyll,60,62,63,80,80,60,405,Starter,2
3,Venusaur,1,Grass,Poison,Overgrow,,Chlorophyll,80,82,83,100,100,80,525,Starter,3
4,Mega_Venusaur,6,Grass,Poison,Thick_Fat,,,80,100,123,122,120,80,625,Starter_Mega_Evolution,3
5,Charmander,1,Fire,,Blaze,,Solar_Power,39,52,43,60,50,65,309,Starter,1
6,Charmeleon,1,Fire,,Blaze,,Solar_Power,58,64,58,80,65,80,405,Starter,2
7,Charizard,1,Fire,Flying,Blaze,,Solar_Power,78,84,78,109,85,100,534,Starter,3
8,Mega_Charizard_X,6,Fire,Dragon,Tough_Claws,,,78,130,111,130,85,100,634,Starter_Mega_Evolution,3
9,Mega_Charizard_Y,6,Fire,Flying,Drought,,,78,104,78,159,115,100,634,Starter_Mega_Evolution,3
10,Squirtle,1,Water,,Torrent,,Rain_Dish,44,48,65,50,64,43,314,Starter,1
11,Wartortle,1,Water,,Torrent,,Rain_Dish,59,63,80,65,80,58,405,Starter,2
12,Blastoise,1,Water,,Torrent,,Rain_Dish,79,83,100,85,105,78,530,Starter,3
13,Mega_Blastoise,1,Water,,Mega_Launcher,,,79,103,120,135,115,78,630,Starter_Mega_Evolution,3
14,Caterpie,1,Bug,,Shield_Dust,,Run_Away,45,30,35,20,20,45,195,Basic,1
15,Metapod,1,Bug,,Shed_Skin,,,50,20,55,25,25,30,205,Basic,2
16,Butterfree,1,Bug,Flying,Compound_Eyes,,Tinted_Lens,60,45,50,90,80,70,395,Basic,3
17,Weedle,1,Bug,Poison,Shield_Dust,,Run_Away,40,35,30,20,20,50,195,Basic,1
18,Kakuna,1,Bug,Poison,Shed_Skin,,,45,25,50,25,25,35,205,Basic,2
19,Beedrill,1,Bug,Poison,Swarm,,Sniper,65,90,40,45,80,75,395,Basic,3
20,Mega_Beedrill,6,Bug,Poison,Adaptability,,,65,150,40,15,80,145,495,Mega_Evolution,3
21,Pidgey,1,Normal,Flying,Keen_Eye,Tangled_Feet,Big Pecks,40,45,40,35,35,56,251,Basic,1
22,Pidgeotto,1,Normal,Flying,Keen_Eye,Tangled_Feet,Big Pecks,63,60,55,50,50,71,349,Basic,2
23,Pidgeot,1,Normal,Flying,Keen_Eye,Tangled_Feet,Big Pecks,83,80,75,70,70,101,479,Basic,3
24,Mega_Pidgeot,6,Normal,Flying,No_Guard,,,83,80,80,135,80,121,579,Mega_Evolution,3
25,Rattata,1,Normal,,Run_Away,Guts,Hustle,30,56,35,25,35,72,253,Basic,1
26,Raticate,1,Normal,,Run_Away,Guts,Hustle,55,81,60,50,70,97,413,Basic,2
27,Alolan_Rattata,7,Dark,Normal,Gluttony,Hustle,Thick_Fat,30,56,35,25,35,72,253,Regional_Variant,1
28,Alolan_Raticate,7,Dark,Normal,Gluttony,Hustle,Thick_Fat,75,71,70,40,80,77,413,Regional_Variant,2
29,Spearow,1,Normal,Flying,Keen_Eye,,Sniper,40,60,30,31,31,70,262,Basic,1
30,Fearow,1,Normal,Flying,Keen_Eye,,Sniper,65,90,65,61,61,100,442,Basic,2
31,Ekans,1,Poison,,Intimidate,Shed_Skin,Unnerve,35,60,44,40,54,55,288,Basic,1
32,Arbok,1,Poison,,Intimidate,Shed_Skin,Unnerve,60,95,69,65,79,80,448,Basic,2
33,Pichu,2,Electric,,Static,,Lightning_Rod,20,40,15,35,35,60,205,Baby,1
34,Pikachu,1,Electric,,Static,,Lightning_Rod,35,55,40,50,50,90,320,Basic,2
35,Raichu,1,Electric,,Static,,Lightning_Rod,60,90,55,90,80,110,485,Basic,3
36,Partner_Pikachu,7,Electric,,,,,45,80,50,75,60,120,430,Special,1
37,Alolan_Raichu,7,Electric,Psychic,Surge_Surfer,,,60,85,50,95,85,110,485,Basic,3
38,Mega_Raichu_X,9,Electric,,Electric_Surge,,,60,135,95,90,95,110,585,Mega_Evolution,3
39,Mega_Raichu_Y,9,Electric,,No_Guard,,,60,100,55,160,80,130,585,Mega_Evolution,3
40,Sandshrew,1,Ground,,Sand_Veil,,Sand_Rush,50,75,85,20,30,40,300,Basic,1
41,Sandslash,1,Ground,,Sand_Veil,,Sand_Rush,75,100,110,45,55,65,450,Basic,2
42,Alolan_Sandshrew,7,Ice,Steel,Snow_Cloak,,Slush_Rush,50,75,90,10,35,40,300,Regional_Variant,1
43,Alolan_Sandslash,7,Ice,Steel,Snow_Cloak,,Slush_Rush,75,100,120,25,65,65,450,Regional_Variant,2
44,Nidoran_F,1,Poison,,Poison_Point,Rivalry,Hustle,55,47,52,40,40,41,275,Basic,1
45,Nidorina,1,Poison,,Poison_Point,Rivalry,Hustle,70,62,67,55,55,56,365,Basic,2
46,Nidoqueen,1,Poison,Ground,Poison_Point,Rivalry,Sheer_Force,90,92,87,75,85,76,505,Basic,3
47,Nidoran_M,1,Poison,,Poison_Point,Rivalry,Hustle,46,57,40,40,40,50,273,Basic,1
48,Nidorino,1,Poison,,Poison_Point,Rivalry,Hustle,61,72,57,55,55,65,365,Basic,2
49,Nidoking,1,Poison,Ground,Poison_Point,Rivalry,Sheer_Force,81,102,77,85,75,85,505,Basic,3
50,Cleffa,2,Fairy,,Cute_Charm,Magic_Guard,Friend_Guard,50,25,28,45,55,15,218,Baby,1
51,Clefairy,1,Fairy,,Cute_Charm,Magic_Guard,Friend_Guard,70,45,48,60,65,35,323,Basic,2
52,Clefable,1,Fairy,,Cute_Charm,Magic_Guard,Unaware,95,70,73,95,90,60,483,Basic,3
53,Mega_Clefable,9,Fairy,Flying,Magic_Bounce,,,95,80,93,135,110,70,583,Mega_Evolution,3
54,Vulpix,1,Fire,,Flash_Fire,,Drought,38,41,40,50,65,65,299,Basic,1
55,Ninetails,1,Fire,,Flash_Fire,,Drought,73,76,75,81,100,100,505,Basic,2
56,Alolan_Vulpix,7,Ice,,Snow_Cloak,,Snow_Warning,38,41,40,50,65,65,299,Regional_Variant,1
57,Alolan_Ninetails,7,Ice,Fairy,Snow_Cloak,,Snow_Warning,73,67,75,81,100,109,505,Regional_Variant,2
58,Igglybuff,2,Normal,Fairy,Cute_Charm,Competitive,Friend_Guard,90,30,15,40,20,15,210,Baby,1
59,Jigglypuff,1,Normal,Fairy,Cute_Charm,Competitive,Friend_Guard,115,45,20,45,25,20,270,Basic,2
60,Wigglytuff,1,Normal,Fairy,Cute_Charm,Competitive,Frisk,140,70,45,85,50,45,435,Basic,3
61,Zubat,1,Poison,Flying,Inner_Focus,,Infiltrator,40,45,35,30,40,55,245,Basic,1
62,Golbat,1,Poison,Flying,Inner_Focus,,Infiltrator,75,80,70,65,75,90,455,Basic,2
63,Crobat,2,Poison,Flying,Inner_Focus,,Infiltrator,85,90,80,70,80,130,535,Basic,3
64,Oddish,1,Grass,Poison,Chlorophyll,,Run_Away,45,50,55,75,65,30,320,Basic,1
65,Gloom,1,Grass,Poison,Chlorophyll,,Stench,60,65,70,85,75,40,395,Basic,2
66,Vileplume,1,Grass,Poison,Chlorophyll,,Effect_Spore,75,80,85,110,90,50,490,Basic,3
67,Bellossom,2,Grass,,Chlorophyll,,Healer,75,80,95,90,100,50,490,Basic,3
68,Paras,1,Bug,Grass,Effect_Spore,Dry_Skin,Damp,35,70,55,45,55,25,285,Basic,1
69,Parasect,1,Bug,Grass,Effect_Spore,Dry_Skin,Damp,60,95,60,80,60,30,385,Basic,2
70,Venonat,1,Bug,Poison,Compound_Eyes,Tinted_Lens,Run_Away,60,55,50,40,55,45,305,Basic,1
71,Venomoth,1,Bug,Poison,Shield_Dust,Tinted_Lens,Wonder_Skin,70,65,60,90,75,90,450,Basic,2
72,Diglett,1,Ground,,Sand_Veil,Arena_Trap,Sand_Force,10,55,25,35,45,95,265,Basic,1
73,Dugtrio,1,Ground,,Sand_Veil,Arena_Trap,Sand_Force,35,100,50,50,70,120,425,Basic,2
74,Alolan_Diglett,7,Ground,Steel,Sand_Veil,Tangling_Hair,Sand_Force,10,55,30,35,45,90,265,Regional_Variant,1
75,Alolan_Dugtrio,7,Ground,Steel,Sand_Veil,Tangling_Hair,Sand_Force,35,100,60,50,70,110,425,Regional_Variant,2
76,Meowth,1,Normal,,Pickup,Technician,Unnerve,40,45,35,40,40,90,290,Basic,1
77,Persian,1,Normal,,Limber,Technician,Unnerve,65,70,60,65,65,115,440,Basic,2
78,Alolan_Meowth,7,Dark,,Pickup,Technician,Rattled,40,35,35,50,40,90,290,Regional_Variant,1
79,Alolan_Persian,7,Dark,,Fur_Coat,Technician,Rattled,65,60,60,75,65,115,440,Regional_Variant,2
80,Galarian_Meowth,8,Steel,,Pickup,Tough_Claws,Unnerve,50,65,55,40,40,40,290,Regional_Variant,1
81,Perrserker,8,Steel,,Battle_Armor,Tough_Claws,Steely_Spirit,70,110,100,50,60,50,440,Regional_Variant_Evolution,2
82,Psyduck,1,Water,,Damp,Cloud_Nine,Swift_Swim,50,52,48,65,50,55,320,Basic,1
83,Golduck,1,Water,,Damp,Cloud_Nine,Swift_Swim,80,82,78,95,80,85,500,Basic,2
84,Mankey,1,Fighting,,Vital_Spirit,Anger_Point,Defiant,40,80,35,35,45,70,305,Basic,1
85,Primeape,1,Fighting,,Vital_Spirit,Anger_Point,Defiant,65,105,60,60,70,95,455,Basic,2
86,Annihilape,9,Fighting,Ghost,Vital_Spirit,Inner_Focus,Defiant,110,115,80,50,90,90,535,Basic,3
87,Growlithe,1,Fire,,Intimidate,Flash_Fire,Justified,55,70,45,70,50,60,350,Basic,1
88,Arcanine,1,Fire,,Intimidate,Flash_Fire,Justified,90,110,80,100,80,95,555,Basic,2
89,Hisuian_Growlithe,8,Fire,Rock,Intimidate,Flash_Fire,Rock_Head,60,75,45,65,50,55,350,Regional_Variant,1
90,Hisuian_Arcanine,8,Fire,Rock,Intimidate,Flash_Fire,Rock_Head,95,115,80,95,80,90,555,Regional_Variant,2
91,Poliwag,1,Water,,Water_Absorb,Damp,Swift_Swim,40,50,40,40,40,90,300,Basic,1
92,Poliwhirl,1,Water,,Water_Absorb,Damp,Swift_Swim,65,65,65,50,50,90,385,Basic,2
93,Poliwrath,1,Water,Fighting,Water_Absorb,Damp,Swift_Swim,90,95,95,70,90,70,510,Basic,3
94,Politoed,2,Water,,Water_Absorb,Damp,Drizzle,90,75,75,90,100,70,500,Basic,3
95,Abra,1,Psychic,,Synchronize,Inner_Focus,Magic_Guard,25,20,15,105,55,90,310,Basic,1
96,Kadabra,1,Psychic,,Synchronize,Inner_Focus,Magic_Guard,40,35,30,120,70,105,400,Basic,2
97,Alakazam,1,Psychic,,Synchronize,Inner_Focus,Magic_Guard,55,50,45,135,95,120,500,Basic,3
98,Mega_Alakazam,6,Psychic,,Trace,,,55,50,65,175,105,150,600,Mega_Evolution,3
