call_failure,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,age_group,tariff_plan,status,age,customer_value,seconds_of_use_phase,frequency_of_use_phase,frequency_of_sms_phase,distinct_called_numbers_phase,customer_value_phase,in_pocket,target_real,target
8,0,38,0,4370,71,5,17,3,1,1,30,197.64,0.856732,0.69912,-1.62814,-0.577315,-0.351178,0,0,0
0,0,39,0,318,5,7,4,2,1,2,25,46.035,-2.68171,-2.73049,-1.13908,-2.51813,-2.4449,0,0,0
10,0,37,0,2453,60,359,24,3,1,1,30,1536.52,-0.565663,0.321297,2.8435,0.457118,2.76701,0,0,0
10,0,38,0,4198,66,1,35,1,1,1,15,240.02,0.778859,0.500704,-1.90907,1.66242,0.102865,0,0,0
3,0,38,0,2393,58,2,33,1,1,1,15,145.805,-0.658172,0.175815,-1.84149,1.55827,-1.11687,0,0,0
11,0,38,1,3775,82,32,28,3,1,1,30,282.28,0.511882,1.05371,0.598595,0.913583,0.521876,0,0,0
4,0,38,0,2360,39,285,18,3,1,1,30,1235.96,-0.68186,-0.866262,2.65627,-0.483925,2.49759,0,0,0
13,0,37,2,9115,121,144,43,3,1,1,30,945.44,2.26873,2.05285,1.89367,2.38292,2.06523,1,0,0
7,0,38,0,13773,169,0,44,3,1,1,30,557.68,2.70597,2.63124,-2.28346,2.49984,1.20702,1,0,0
7,0,38,1,4515,83,2,25,3,1,1,30,191.92,0.91353,1.1711,-1.81176,0.520743,-0.371889,0,0,0
6,0,38,0,5918,95,7,12,3,1,1,30,268.52,1.31676,1.54083,-1.17037,-1.3578,0.402138,0,0,0
9,0,38,0,2238,54,8,17,3,1,2,30,123.68,-0.741321,0.00565097,-1.04682,-0.63246,-1.42274,0,0,0
25,0,38,3,15140,225,54,32,3,1,1,30,830.6,2.85942,2.94782,1.27215,1.36953,1.68487,1,0,1
4,0,38,1,3095,27,483,8,3,1,1,30,2056.88,0.0688812,-1.58673,3.10366,-1.92439,3.05888,0,0,0
9,0,37,0,15485,182,150,30,2,1,1,25,1380.02,2.95207,2.76764,1.9086,1.20981,2.63316,1,0,0
3,0,37,1,6500,86,186,26,3,1,1,30,1007.44,1.60653,1.21918,2.2097,0.72205,2.24754,0,0,0
0,0,37,0,875,14,0,11,2,1,2,25,40.005,-2.17377,-2.28896,-2.23794,-1.41164,-2.54614,0,1,1
2,0,38,0,710,14,13,8,3,1,2,30,80.96,-2.32113,-2.26517,-0.660129,-1.88258,-1.99656,0,0,0
0,0,37,0,0,0,0,0,2,1,2,25,0,-2.87778,-2.84399,-2.2478,-2.82235,-2.97515,0,1,1
3,0,37,0,7508,127,384,43,2,1,1,25,2071.57,2.06717,2.12742,2.95205,2.40072,3.04404,1,0,1
7,0,37,1,11465,154,11,47,4,1,1,45,317.975,2.56802,2.43643,-0.835474,2.74666,0.688479,1,0,1
