Order_ID,Order_Date,Year,Month,Quarter,Product_Name,Category,Region,Customer_Type,Payment_Method,Quantity,Unit_Price,Total_Sales
1001,2023-08-06,2023,8,3,Laptop,Electronics,Chennai,Premimum,Card,2,50353,100706
1002,2022-06-06,2022,6,2,Headphones,Electronics,Delhi,New,UPI,2,2008,4016
1004,2023-06-20,2023,6,2,Watch,Other,Pune,Premimum,Card,2,10072,20144
1005,2024-11-03,2024,11,4,Mobile Case,Other,Pune,New,UPI,2,920,1840
1005,2023-01-13,2023,1,1,Mobile Case,Other,Pune,New,UPI,2,920,1840
1005,2023-04-06,2023,4,2,Mobile Case,Other,Pune,New,UPI,2,920,1840
1006,2022-06-23,2022,6,2,Tablet,Electronics,Delhi,Returning,COD,1,13225,13225
1006,2023-03-11,2023,3,1,Tablet,Electronics,Delhi,Returning,COD,1,13225,13225
1006,2024-10-13,2024,10,4,Tablet,Electronics,Delhi,Returning,COD,1,13225,13225
1006,2023-12-18,2023,12,4,Tablet,Electronics,Delhi,Returning,COD,1,13225,13225
1007,2023-01-21,2023,1,1,Book,Books,Hyderabad,Premimum,UPI,3,621,1863
1008,2023-08-06,2023,8,3,Backpack,Fashion,Bangalore,New,COD,2,905,1810
1008,2023-05-29,2023,5,2,Backpack,Fashion,Bangalore,New,COD,2,905,1810
1008,2023-12-14,2023,12,4,Backpack,Fashion,Bangalore,New,COD,2,905,1810
1008,2024-10-16,2024,10,4,Backpack,Fashion,Bangalore,New,COD,2,905,1810
1009,2022-05-05,2022,5,2,Smartwatch,Electronics,Hyderabad,Returning,Card,1,8563,8563
1009,2023-01-18,2023,1,1,Smartwatch,Electronics,Hyderabad,Returning,Card,1,8563,8563
1009,2022-12-19,2022,12,4,Smartwatch,Electronics,Hyderabad,Returning,Card,1,8563,8563
1010,2023-07-23,2023,7,3,Water Bottle,Other,Chennai,New,UPI,1,268,268
1010,2023-08-31,2023,8,3,Water Bottle,Other,Chennai,New,UPI,1,268,268
1010,2023-04-22,2023,4,2,Water Bottle,Other,Chennai,New,UPI,1,268,268
1010,2023-08-13,2023,8,3,Water Bottle,Other,Chennai,New,UPI,1,268,268
1011,2022-08-23,2022,8,3,Laptop,Electronics,Hyderabad,Returning,Card,2,54018,108036
1011,2022-04-21,2022,4,2,Laptop,Electronics,Hyderabad,Returning,Card,2,54018,108036
1011,2023-03-05,2023,3,1,Laptop,Electronics,Hyderabad,Returning,Card,2,54018,108036
1011,2022-04-03,2022,4,2,Laptop,Electronics,Hyderabad,Returning,Card,2,54018,108036
1012,2022-07-30,2022,7,3,Headphones,Electronics,Delhi,Returning,UPI,3,4762,14286
1013,2023-09-02,2023,9,3,Shoes,Fashion,Pune,Returning,COD,2,4880,9760
1013,2023-09-03,2023,9,3,Shoes,Fashion,Pune,Returning,COD,2,4880,9760
1013,2023-03-11,2023,3,1,Shoes,Fashion,Pune,Returning,COD,2,4880,9760
1014,2022-09-04,2022,9,3,Watch,Other,Chennai,Returning,Card,1,8508,8508
1014,2024-12-02,2024,12,4,Watch,Other,Chennai,Returning,Card,1,8508,8508
1014,2023-02-22,2023,2,1,Watch,Other,Chennai,Returning,Card,1,8508,8508
1015,2022-11-14,2022,11,4,Mobile Case,Other,Chennai,New,UPI,4,119,476
1015,2023-12-09,2023,12,4,Mobile Case,Other,Chennai,New,UPI,4,119,476
1015,2022-05-28,2022,5,2,Mobile Case,Other,Chennai,New,UPI,4,119,476
1015,2024-06-14,2024,6,2,Mobile Case,Other,Chennai,New,UPI,4,119,476
1016,2022-04-18,2022,4,2,Tablet,Electronics,Mumbai,New,COD,1,37589,37589
1016,2024-01-05,2024,1,1,Tablet,Electronics,Mumbai,New,COD,1,37589,37589
1016,2024-06-25,2024,6,2,Tablet,Electronics,Mumbai,New,COD,1,37589,37589
1017,2023-03-25,2023,3,1,Book,Books,Delhi,Premimum,UPI,1,781,781
1018,2024-06-15,2024,6,2,Backpack,Fashion,Mumbai,Premimum,UPI,5,809,4045
1018,2023-11-17,2023,11,4,Backpack,Fashion,Mumbai,Premimum,UPI,5,809,4045
1018,2023-04-15,2023,4,2,Backpack,Fashion,Mumbai,Premimum,UPI,5,809,4045
1018,2023-06-23,2023,6,2,Backpack,Fashion,Mumbai,Premimum,UPI,5,809,4045
1019,2023-10-23,2023,10,4,Smartwatch,Electronics,Pune,Premimum,UPI,2,4129,8258
1019,2024-08-20,2024,8,3,Smartwatch,Electronics,Pune,Premimum,UPI,2,4129,8258
1019,2022-09-04,2022,9,3,Smartwatch,Electronics,Pune,Premimum,UPI,2,4129,8258
1019,2024-03-01,2024,3,1,Smartwatch,Electronics,Pune,Premimum,UPI,2,4129,8258
1019,2022-05-22,2022,5,2,Smartwatch,Electronics,Pune,Premimum,UPI,2,4129,8258
1021,2023-09-26,2023,9,3,Laptop,Electronics,Pune,Premimum,COD,2,68516,137032
1021,2024-05-08,2024,5,2,Laptop,Electronics,Pune,Premimum,COD,2,68516,137032
1021,2024-10-30,2024,10,4,Laptop,Electronics,Pune,Premimum,COD,2,68516,137032
1021,2023-01-22,2023,1,1,Laptop,Electronics,Pune,Premimum,COD,2,68516,137032
1022,2023-08-04,2023,8,3,Headphones,Electronics,Mumbai,New,Card,1,3985,3985
1022,2023-01-18,2023,1,1,Headphones,Electronics,Mumbai,New,Card,1,3985,3985
1023,2024-07-24,2024,7,3,Shoes,Fashion,Mumbai,Returning,UPI,1,2380,2380
1023,2023-09-20,2023,9,3,Shoes,Fashion,Mumbai,Returning,UPI,1,2380,2380
1024,2022-03-27,2022,3,1,Watch,Other,Bangalore,New,UPI,3,13522,40566
1024,2022-12-19,2022,12,4,Watch,Other,Bangalore,New,UPI,3,13522,40566
1024,2024-02-17,2024,2,1,Watch,Other,Bangalore,New,UPI,3,13522,40566
1024,2022-07-15,2022,7,3,Watch,Other,Bangalore,New,UPI,3,13522,40566
1024,2023-11-15,2023,11,4,Watch,Other,Bangalore,New,UPI,3,13522,40566
1024,2024-04-12,2024,4,2,Watch,Other,Bangalore,New,UPI,3,13522,40566
1024,2023-10-08,2023,10,4,Watch,Other,Bangalore,New,UPI,3,13522,40566
1024,2023-04-30,2023,4,2,Watch,Other,Bangalore,New,UPI,3,13522,40566
1025,2023-09-24,2023,9,3,Mobile Case,Other,Pune,Premimum,COD,1,340,340
1025,2022-02-28,2022,2,1,Mobile Case,Other,Pune,Premimum,COD,1,340,340
1025,2023-05-24,2023,5,2,Mobile Case,Other,Pune,Premimum,COD,1,340,340
1025,2024-11-12,2024,11,4,Mobile Case,Other,Pune,Premimum,COD,1,340,340
1025,2023-08-02,2023,8,3,Mobile Case,Other,Pune,Premimum,COD,1,340,340
1026,2023-11-13,2023,11,4,Tablet,Electronics,Bangalore,Returning,UPI,1,34153,34153
1026,2022-10-26,2022,10,4,Tablet,Electronics,Bangalore,Returning,UPI,1,34153,34153
1027,2022-05-10,2022,5,2,Book,Books,Delhi,Returning,UPI,1,884,884
1027,2023-10-20,2023,10,4,Book,Books,Delhi,Returning,UPI,1,884,884
1027,2022-09-29,2022,9,3,Book,Books,Delhi,Returning,UPI,1,884,884
1028,2023-01-16,2023,1,1,Backpack,Fashion,Pune,New,COD,1,1961,1961
