Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Overall_Impact,Age_Group,Usage_to_Sleep_Ratio,Wellbeing_Index,Is_Heavy_User,Sleep_Deficit
232,21,Male,Undergraduate,Other,4.1,Facebook,No,6.7,6.7,Neutral,Young Adult,0.61,6.14,No,Yes
564,23,Female,Undergraduate,Other,1.6,LinkedIn,No,8.7,7.6,Positive,Adult,0.18,8.43,No,No
788,22,Male,Graduate,Canada,4.7,Instagram,No,6.9,7.2,Neutral,Young Adult,0.68,6.36,No,Yes
686,18,Male,Undergraduate,Other,7.2,Snapchat,Yes,5.4,5.2,Negative,Teen,1.33,3.66,Yes,Yes
608,24,Female,High School,Other,7.5,Facebook,Yes,4.9,4.3,Negative,Adult,1.53,2.78,Yes,Yes
370,19,Female,High School,Other,4.1,Twitter,Yes,6.9,6.8,Neutral,Young Adult,0.59,6.3,No,Yes
862,22,Female,Graduate,Other,8.2,Instagram,Yes,5.2,5.4,Negative,Young Adult,1.58,3.38,Yes,Yes
520,21,Female,Graduate,Other,6.1,Facebook,Yes,5.5,4.7,Negative,Young Adult,1.11,3.74,Yes,Yes
703,24,Male,Undergraduate,USA,4.6,YouTube,No,7.1,6.1,Neutral,Adult,0.65,5.83,No,No
33,19,Male,High School,Other,3.7,TikTok,No,8.0,8.5,Positive,Young Adult,0.46,7.99,No,No
519,18,Male,Graduate,Other,4.0,LinkedIn,No,7.3,6.7,Neutral,Teen,0.55,6.47,No,No
738,18,Male,High School,Other,7.5,Snapchat,Yes,5.3,5.5,Negative,Teen,1.42,3.7,Yes,Yes
119,20,Male,Undergraduate,Other,2.4,Facebook,No,8.8,8.5,Positive,Young Adult,0.27,8.78,No,No
287,23,Female,Undergraduate,Other,5.9,LinkedIn,No,5.4,5.4,Negative,Adult,1.09,4.17,Yes,Yes
610,24,Male,Graduate,India,2.4,Instagram,No,8.6,7.6,Positive,Adult,0.28,8.14,No,No
383,18,Female,Graduate,Other,5.1,Twitter,Yes,7.1,6.4,Neutral,Teen,0.72,5.86,Yes,No
699,22,Female,Graduate,USA,6.3,YouTube,Yes,5.4,5.0,Negative,Young Adult,1.17,3.81,Yes,Yes
302,21,Male,High School,Australia,6.8,YouTube,Yes,5.8,5.1,Negative,Young Adult,1.17,3.92,Yes,Yes
277,21,Male,Graduate,Canada,6.8,Facebook,Yes,6.0,5.0,Negative,Young Adult,1.13,3.96,Yes,Yes
631,20,Male,Undergraduate,Other,5.3,Instagram,No,6.7,6.9,Neutral,Young Adult,0.79,5.9,Yes,Yes
567,23,Female,High School,Other,2.2,Facebook,No,8.0,7.1,Positive,Adult,0.28,7.6,No,No
110,19,Female,Undergraduate,Other,5.1,Snapchat,Yes,7.0,6.6,Neutral,Young Adult,0.73,5.93,Yes,No
261,24,Male,Undergraduate,Other,2.0,Facebook,Yes,7.9,8.6,Positive,Adult,0.25,8.51,No,No
691,23,Male,Undergraduate,India,1.8,TikTok,No,7.2,8.6,Positive,Adult,0.25,8.22,No,No
109,23,Female,Graduate,Other,7.0,LinkedIn,Yes,5.6,5.3,Negative,Adult,1.25,3.88,Yes,Yes
537,21,Male,Undergraduate,Other,6.2,Instagram,Yes,4.7,5.8,Negative,Young Adult,1.32,3.97,Yes,Yes
824,20,Female,Undergraduate,Other,2.6,LinkedIn,No,8.3,8.3,Positive,Young Adult,0.31,8.35,No,No
270,21,Female,High School,Other,7.5,TikTok,Yes,4.6,4.6,Negative,Young Adult,1.63,2.81,Yes,Yes
932,20,Female,Graduate,USA,5.5,TikTok,Yes,5.7,5.0,Negative,Young Adult,0.96,4.2,Yes,Yes
2,23,Female,Undergraduate,USA,2.7,YouTube,No,7.9,7.7,Positive,Adult,0.34,7.76,No,No
808,20,Male,High School,Australia,7.2,YouTube,No,5.8,5.7,Negative,Young Adult,1.24,4.16,Yes,Yes
143,24,Male,Graduate,Other,2.6,Snapchat,No,8.1,8.0,Positive,Adult,0.32,8.07,No,No
671,19,Male,High School,India,5.6,LinkedIn,No,6.8,6.6,Neutral,Young Adult,0.82,5.68,Yes,Yes
363,22,Female,Graduate,India,7.3,Facebook,Yes,5.3,4.2,Negative,Young Adult,1.38,2.98,Yes,Yes
725,24,Male,High School,UK,6.0,TikTok,No,6.1,5.0,Negative,Adult,0.98,4.25,Yes,Yes
120,18,Male,Undergraduate,UK,6.6,Instagram,Yes,5.5,4.1,Negative,Teen,1.2,3.23,Yes,Yes
925,23,Male,High School,Other,6.7,Snapchat,Yes,5.5,5.0,Negative,Adult,1.22,3.74,Yes,Yes
223,22,Male,Graduate,Other,4.2,Instagram,No,6.1,6.5,Neutral,Young Adult,0.69,5.69,No,Yes
305,22,Male,Graduate,USA,5.5,LinkedIn,Yes,6.9,6.3,Neutral,Young Adult,0.8,5.58,Yes,Yes
70,19,Female,Undergraduate,Other,2.3,Facebook,No,7.9,8.5,Positive,Young Adult,0.29,8.36,No,No
890,24,Male,Undergraduate,Other,8.4,Twitter,Yes,5.5,4.3,Negative,Adult,1.53,2.81,Yes,Yes
84,21,Female,Undergraduate,Other,6.5,Twitter,Yes,5.8,4.1,Negative,Young Adult,1.12,3.41,Yes,Yes
246,22,Female,Graduate,Other,6.9,Twitter,Yes,5.4,4.5,Negative,Young Adult,1.28,3.33,Yes,Yes
64,20,Male,Undergraduate,Other,8.1,TikTok,No,4.5,5.6,Negative,Young Adult,1.8,3.18,Yes,Yes
851,20,Female,High School,Other,7.0,Instagram,No,4.9,3.9,Negative,Young Adult,1.43,2.69,Yes,Yes
827,20,Male,Graduate,Other,4.0,Twitter,Yes,6.3,6.9,Neutral,Young Adult,0.63,6.09,No,Yes
104,18,Male,Graduate,Other,7.1,LinkedIn,Yes,4.6,6.0,Negative,Teen,1.54,3.77,Yes,Yes
103,19,Female,High School,Other,5.4,Twitter,No,7.4,6.4,Neutral,Young Adult,0.73,5.92,Yes,No
577,20,Male,High School,UK,7.5,Instagram,Yes,5.0,5.0,Negative,Young Adult,1.5,3.25,Yes,Yes
692,21,Male,High School,Germany,3.3,Instagram,No,7.2,8.4,Positive,Young Adult,0.46,7.65,No,No
124,22,Female,High School,Other,8.0,YouTube,Yes,5.5,4.9,Negative,Young Adult,1.45,3.29,Yes,Yes
78,19,Female,Undergraduate,Other,7.8,Twitter,No,5.0,5.1,Negative,Young Adult,1.56,3.22,Yes,Yes
315,21,Female,Undergraduate,India,6.7,YouTube,Yes,5.4,4.6,Negative,Young Adult,1.24,3.45,Yes,Yes
