student_id,age,gender,study_hours_per_day,sleep_hours_per_day,social_media_hours,exercise_hours_per_week,attendance_percentage,internet_access,part_time_job,stress_level,assignment_completion_rate,exam_score,cgpa,academic_performance
1,17,Male,2.7,,3.5,2.4,85.7,Yes,Yes,Medium,100.0,63.8,2.87,Average
2,23,Male,3.2,5.9,2.1,7.5,65.0,Yes,No,Medium,100.0,59.8,2.44,Average
3,22,Male,3.6,6.1,1.3,1.3,87.0,Yes,No,Medium,100.0,74.5,2.85,Average
4,20,Male,4.4,6.1,0.9,7.2,73.8,Yes,No,High,100.0,75.2,2.5,Average
5,20,Female,5.1,7.6,0.0,2.0,94.8,Yes,No,Medium,,86.5,3.76,Good
6,24,Male,3.1,,2.6,4.0,78.5,Yes,No,Medium,97.8,77.0,3.49,Good
7,17,Male,2.8,6.8,0.4,3.0,70.8,Yes,Yes,Medium,,60.6,2.19,Poor
8,23,Female,4.2,7.7,1.2,3.3,82.8,Yes,No,High,100.0,80.2,2.94,Average
9,18,Male,4.4,6.8,2.3,5.6,72.8,Yes,No,Medium,100.0,65.8,3.07,Average
10,17,Male,2.8,6.7,0.6,7.0,94.7,No,No,Medium,84.8,75.3,2.79,Average
11,21,Female,4.7,7.6,3.7,6.4,82.0,Yes,No,Medium,100.0,71.4,3.48,Good
12,25,Male,5.0,7.8,4.3,3.2,80.5,Yes,No,Medium,100.0,72.0,2.84,Average
13,23,Male,5.4,6.8,2.0,4.4,87.9,Yes,Yes,High,100.0,90.4,3.48,Good
14,23,Male,6.2,7.1,2.2,2.4,72.0,Yes,No,Medium,100.0,99.7,4.0,Good
15,23,Female,2.2,6.1,4.0,2.0,69.1,Yes,Yes,Medium,72.2,59.4,2.24,Average
16,24,Male,3.5,6.0,1.7,1.7,86.1,Yes,No,Medium,100.0,79.8,3.59,Good
17,21,Male,3.5,7.9,1.6,3.1,71.0,Yes,No,Medium,98.0,69.6,3.09,Average
18,18,Male,3.4,7.5,5.2,4.5,71.0,Yes,No,Medium,87.1,61.3,2.83,Average
19,24,Male,2.5,7.5,4.6,0.2,90.4,Yes,No,High,90.4,71.3,2.92,Average
20,21,Female,1.3,7.3,4.1,3.9,87.3,Yes,No,Medium,91.5,50.1,1.84,Poor
21,21,Male,3.6,7.1,4.7,7.0,69.5,No,No,Low,95.9,73.1,2.92,Average
