iter	Accuracy	Logloss
0	0.7862974796	0.6628104951
1	0.7889598864	0.6389906704
2	0.791799787	0.6135178641
3	0.7942847	0.5919234682
4	0.7937522187	0.5726201393
5	0.7933972311	0.5575426777
6	0.7925097622	0.542380214
7	0.791799787	0.5287187894
8	0.7957046503	0.5156087913
9	0.7973020944	0.5041891672
10	0.7983670572	0.4944261266
11	0.7997870075	0.4869577163
12	0.8022719205	0.4806181146
13	0.8020944267	0.4737274412
14	0.8026269081	0.4673741115
15	0.8024494143	0.4615448912
16	0.8036918708	0.4567914507
17	0.8033368832	0.4521842173
18	0.8049343273	0.4484516446
19	0.80599929	0.4444417057
20	0.8056443024	0.4410481107
21	0.8072417465	0.4383291237
22	0.8074192403	0.4355802261
23	0.806886759	0.43322251
24	0.8074192403	0.4307065812
25	0.806886759	0.4289976395
26	0.8074192403	0.4268860384
27	0.8081292155	0.4245035122
28	0.8074192403	0.4226294954
29	0.8084842031	0.4211429842
30	0.8091941782	0.4193612452
31	0.8095491658	0.4178695129
32	0.8083067093	0.4163412803
33	0.8086616968	0.414834585
34	0.8090166844	0.4133012175
35	0.8090166844	0.4122423674
36	0.8102591409	0.4113178462
37	0.8100816471	0.410311293
38	0.8109691161	0.4092567945
39	0.8116790912	0.4083251622
40	0.811856585	0.4079325876
41	0.8111466099	0.4073994262
42	0.8116790912	0.4066986402
43	0.8115015974	0.4063168321
44	0.8109691161	0.405677183
45	0.8125665602	0.4048977932
46	0.8129215477	0.4043438215
47	0.8141640043	0.4035916136
48	0.8141640043	0.4030708427
49	0.8136315229	0.4029170639
50	0.8146964856	0.4024383233
51	0.8148739794	0.4022226414
52	0.814341498	0.4014698757
53	0.8154064608	0.4009531096
54	0.8155839546	0.4005881413
55	0.815228967	0.4001589012
56	0.8157614483	0.3996702352
57	0.8159389421	0.3994119682
58	0.8161164359	0.3990833192
59	0.8166489173	0.3985154569
60	0.8171813987	0.3977533685
61	0.8171813987	0.3974039337
62	0.8171813987	0.3969844944
63	0.81771388	0.3964557326
64	0.8173588924	0.3961932084
65	0.8178913738	0.3956894774
66	0.8171813987	0.3951276542
67	0.8182463614	0.3947038475
68	0.8184238552	0.3946471134
69	0.8182463614	0.3945215688
70	0.8182463614	0.3941830052
71	0.8187788427	0.3939601643
72	0.8187788427	0.3936910891
73	0.8193113241	0.3932388951
74	0.8194888179	0.3928905454
75	0.8193113241	0.3927011493
76	0.8193113241	0.3926685877
77	0.8193113241	0.3923103696
78	0.8194888179	0.3921217563
79	0.8198438055	0.3920042441
80	0.8198438055	0.3916155482
81	0.8198438055	0.3913703643
82	0.8194888179	0.3912728805
83	0.8198438055	0.3911756113
84	0.8198438055	0.3911755968
85	0.820198793	0.3910215183
86	0.8203762868	0.3910164026
87	0.8203762868	0.3904411297
88	0.8203762868	0.3898206973
89	0.8207312744	0.3897530213
90	0.8205537806	0.3896302965
91	0.8203762868	0.389571975
92	0.8207312744	0.3894587559
93	0.8209087682	0.3893590162
94	0.8216187433	0.3888100985
95	0.8216187433	0.3885800831
96	0.8214412496	0.3883975382
97	0.8212637558	0.3882137636
98	0.821086262	0.3879984598
99	0.8216187433	0.3879617411
100	0.821086262	0.3879557895
101	0.8212637558	0.387901247
102	0.8212637558	0.3877964928
103	0.8214412496	0.3874429043
104	0.8216187433	0.3873290653
105	0.8217962371	0.3870931566
106	0.8214412496	0.3870695534
107	0.8212637558	0.3869411925
108	0.8209087682	0.3867338348
109	0.8216187433	0.3865300247
110	0.8219737309	0.3863617267
111	0.8219737309	0.3861641958
112	0.8216187433	0.3855875327
113	0.8217962371	0.3854260204
114	0.8219737309	0.3852438983
115	0.8219737309	0.3844593479
116	0.8219737309	0.3843862218
117	0.8219737309	0.3843861819
118	0.8221512247	0.3838214904
119	0.8223287185	0.3834703695
120	0.8223287185	0.3834702696
121	0.8226837061	0.3831249686
122	0.8225062123	0.3830820891
123	0.8221512247	0.3829125266
124	0.8221512247	0.3827903293
125	0.8228611999	0.3825202376
126	0.8221512247	0.3824183949
127	0.8223287185	0.3823819234
128	0.8225062123	0.3820816718
129	0.8225062123	0.3818576673
130	0.8225062123	0.3818444367
131	0.8226837061	0.3816848804
132	0.8221512247	0.381478165
133	0.8226837061	0.3813877717
134	0.8232161874	0.3809669193
135	0.8233936812	0.3809046458
136	0.8233936812	0.3806987179
137	0.8232161874	0.3805562582
138	0.8230386936	0.3804377176
139	0.8228611999	0.380291247
140	0.8232161874	0.3802748408
141	0.8233936812	0.3801645855
142	0.8228611999	0.3800829731
143	0.8228611999	0.3800829536
144	0.8230386936	0.3799016528
145	0.8230386936	0.3797570018
146	0.8230386936	0.3797363945
147	0.8230386936	0.3794363792
148	0.8226837061	0.3793158172
149	0.8230386936	0.3791534277
150	0.8226837061	0.3790112036
151	0.823571175	0.3788547609
152	0.8237486688	0.378758761
153	0.823571175	0.3786556229
154	0.8241036564	0.3785579395
155	0.8244586439	0.3784293453
156	0.8241036564	0.3783113969
157	0.8237486688	0.3779488691
158	0.823571175	0.3774419774
159	0.823571175	0.3774219154
160	0.8241036564	0.3771373597
161	0.8241036564	0.3769934468
162	0.8242811502	0.3768554684
163	0.8242811502	0.3766106838
164	0.8242811502	0.3765645613
165	0.8244586439	0.376503107
166	0.8244586439	0.3763491189
167	0.8242811502	0.3762409234
168	0.8249911253	0.376044578
169	0.8248136315	0.3757768516
170	0.8248136315	0.3756662076
171	0.8248136315	0.3754403455
172	0.8248136315	0.3753189204
173	0.8251686191	0.375173911
174	0.8249911253	0.3750128446
175	0.8257011005	0.3747880201
176	0.8258785942	0.3745154341
177	0.8255236067	0.3743456049
178	0.8262335818	0.3738646561
179	0.826056088	0.3736081477
180	0.826056088	0.3735037022
181	0.8258785942	0.3734768968
182	0.8264110756	0.373332649
183	0.8272985446	0.3729397938
184	0.8272985446	0.3727877447
185	0.8272985446	0.3727315049
186	0.8274760383	0.3724400156
187	0.8274760383	0.3721998623
188	0.8276535321	0.3721262727
189	0.8280085197	0.3719826697
190	0.8278310259	0.3716144499
191	0.8278310259	0.3711598837
192	0.8274760383	0.3708700458
193	0.8274760383	0.3708124304
194	0.8278310259	0.3706796789
195	0.8280085197	0.3704799931
196	0.8280085197	0.3703666046
197	0.8285410011	0.369985868
198	0.8287184949	0.3699453327
199	0.8290734824	0.3698420375
200	0.8288959886	0.36962957
201	0.82942847	0.3693628251
202	0.8301384452	0.369223825
203	0.8304934327	0.3691532215
204	0.8301384452	0.368911372
205	0.8301384452	0.3686587746
206	0.8304934327	0.3684061897
207	0.8304934327	0.3683382257
208	0.8304934327	0.3682651314
209	0.8304934327	0.3682296695
210	0.8303159389	0.3680358436
211	0.8306709265	0.367890656
212	0.8306709265	0.3677720522
213	0.8310259141	0.3673947061
214	0.8313809017	0.367102529
215	0.8313809017	0.3670727718
216	0.8312034079	0.3669929843
217	0.8315583955	0.3667432116
218	0.8315583955	0.3666300661
219	0.8313809017	0.3663777091
220	0.8312034079	0.3662411609
221	0.8313809017	0.3661403896
222	0.8317358892	0.3659437015
223	0.8315583955	0.3658804344
224	0.8322683706	0.3655475294
225	0.8324458644	0.3653754043
226	0.8324458644	0.3652490684
227	0.8326233582	0.3651353771
228	0.8326233582	0.3650096007
229	0.8324458644	0.3647695476
230	0.8329783458	0.3644712362
231	0.8333333333	0.3644245176
232	0.8329783458	0.3643514156
233	0.8329783458	0.3641031394
234	0.8329783458	0.3637613394
235	0.8331558395	0.3635990984
236	0.8333333333	0.3634731496
237	0.8331558395	0.3632209737
238	0.8333333333	0.3631519809
239	0.8343982961	0.3629026624
240	0.8345757898	0.362542961
241	0.8343982961	0.3624762236
242	0.8335108271	0.3622697768
243	0.8340433085	0.3617744945
244	0.8338658147	0.3617029333
245	0.8340433085	0.3613406314
246	0.8342208023	0.3608860141
247	0.8343982961	0.3606910452
248	0.8343982961	0.3605139899
249	0.8349307774	0.3601750495
250	0.835285765	0.3599220681
251	0.835285765	0.3595896868
252	0.8356407526	0.359454628
253	0.8356407526	0.3592959169
254	0.835285765	0.3590899595
255	0.835285765	0.359010891
256	0.835285765	0.3587203251
257	0.8354632588	0.3585579154
258	0.8356407526	0.3584220717
259	0.8356407526	0.3582479655
260	0.8356407526	0.3581958865
261	0.8351082712	0.3580650414
262	0.835285765	0.357762308
263	0.835285765	0.3576414808
264	0.8351082712	0.3574703932
265	0.8356407526	0.3571016401
266	0.8367057153	0.3567772581
267	0.8363507277	0.3566554016
268	0.8368832091	0.356590862
269	0.8368832091	0.3564873074
270	0.8365282215	0.3564703495
271	0.8365282215	0.35614218
272	0.8361732339	0.35598415
273	0.8367057153	0.3555882931
274	0.8367057153	0.3555591568
275	0.8368832091	0.3553547947
276	0.8363507277	0.355312762
277	0.8367057153	0.3551888707
278	0.8368832091	0.3549840382
279	0.8370607029	0.3547052431
280	0.8370607029	0.3546668469
281	0.8372381967	0.3546378398
282	0.8372381967	0.3543872587
283	0.8368832091	0.3542973901
284	0.8368832091	0.3542931004
285	0.8368832091	0.3541977411
286	0.8375931842	0.3537918099
287	0.8381256656	0.3537604429
288	0.8375931842	0.3536040742
289	0.8384806532	0.3533735155
290	0.8384806532	0.353079154
291	0.8384806532	0.3529170217
292	0.8384806532	0.3528523246
293	0.838658147	0.3524883673
294	0.8395456159	0.3520427574
295	0.8391906283	0.3519622776
296	0.8391906283	0.3518949146
297	0.8393681221	0.3518659642
298	0.8391906283	0.3517847598
299	0.8395456159	0.3515143844
300	0.8395456159	0.3513974132
301	0.8395456159	0.3511906367
302	0.8397231097	0.350996525
303	0.8395456159	0.3507012176
304	0.8397231097	0.350378936
305	0.8390131345	0.3499528423
306	0.8397231097	0.3498040713
307	0.8404330848	0.3494569425
308	0.8400780973	0.3493740899
309	0.8404330848	0.3491263901
310	0.8399006035	0.3488976305
311	0.8400780973	0.348837778
312	0.8407880724	0.3485941706
313	0.8406105786	0.3485898459
314	0.8399006035	0.3483538752
315	0.8400780973	0.3480980203
316	0.8400780973	0.3480590021
317	0.8400780973	0.3478977606
318	0.8400780973	0.3478641034
319	0.8400780973	0.3478026157
320	0.8404330848	0.3475800446
321	0.8409655662	0.347346443
322	0.8409655662	0.3470115888
323	0.8413205538	0.346809762
324	0.8422080227	0.3466997939
325	0.8423855165	0.3466283799
326	0.8422080227	0.3463711118
327	0.8422080227	0.346143948
328	0.8427405041	0.3458160957
329	0.8425630103	0.3457348023
330	0.8422080227	0.3454108133
331	0.8427405041	0.3452829108
332	0.8427405041	0.3449618952
333	0.8429179979	0.3448099919
334	0.8429179979	0.3447543314
335	0.8432729854	0.3444246951
336	0.8434504792	0.3441810135
337	0.8441604544	0.3439670076
338	0.844515442	0.3436890229
339	0.8443379482	0.3436334844
340	0.8443379482	0.3435756593
341	0.844515442	0.3433773439
342	0.8443379482	0.3432275493
343	0.844515442	0.3431322532
344	0.8438054668	0.3429773413
345	0.8439829606	0.3426138784
346	0.8443379482	0.3424643119
347	0.8443379482	0.3424088775
348	0.8446929357	0.3421724537
