iter	Passed	Remaining
0	178	89257
1	223	55595
2	257	42655
3	301	37400
4	329	32662
5	352	29005
6	393	27700
7	422	25961
8	455	24855
9	485	23805
10	516	22938
11	546	22227
12	582	21819
13	611	21225
14	641	20751
15	672	20331
16	700	19893
17	727	19478
18	756	19145
19	792	19028
20	821	18733
21	858	18651
22	887	18399
23	916	18174
24	945	17973
25	970	17684
26	997	17471
27	1035	17457
28	1064	17294
29	1103	17283
30	1131	17124
31	1162	16996
32	1193	16883
33	1220	16731
34	1256	16688
35	1286	16576
36	1321	16530
37	1349	16406
38	1379	16305
39	1408	16198
40	1436	16086
41	1466	15997
42	1496	15906
43	1517	15723
44	1546	15640
45	1582	15615
46	1612	15543
47	1652	15556
48	1680	15472
49	1709	15386
50	1742	15338
51	1767	15229
52	1798	15168
53	1831	15123
54	1861	15063
55	1893	15013
56	1937	15057
57	1965	14978
58	1999	14948
59	2034	14920
60	2066	14870
61	2096	14812
62	2136	14821
63	2168	14775
64	2210	14796
65	2239	14728
66	2270	14675
67	2302	14626
68	2316	14472
69	2344	14398
70	2373	14341
71	2407	14309
72	2443	14293
73	2477	14262
74	2506	14201
75	2541	14178
76	2555	14040
77	2589	14009
78	2633	14032
79	2665	13991
80	2702	13980
81	2736	13950
82	2766	13898
83	2784	13789
84	2790	13625
85	2825	13603
86	2839	13480
87	2868	13429
88	2904	13411
89	2932	13357
90	2975	13375
91	3005	13327
92	3035	13282
93	3062	13228
94	3090	13177
95	3127	13161
96	3157	13118
97	3186	13069
98	3215	13023
99	3229	12919
100	3244	12815
101	3258	12715
102	3293	12695
103	3339	12714
104	3368	12670
105	3397	12627
106	3410	12524
107	3453	12534
108	3497	12544
109	3535	12535
110	3568	12506
111	3606	12495
112	3636	12453
113	3668	12421
114	3702	12394
115	3733	12360
116	3778	12367
117	3785	12254
118	3823	12240
119	3851	12197
120	3859	12087
121	3901	12087
122	3920	12016
123	3950	11979
124	3985	11955
125	4016	11922
126	4049	11894
127	4065	11816
128	4101	11794
129	4144	11796
130	4156	11707
131	4194	11693
132	4225	11659
133	4269	11662
134	4302	11633
135	4331	11593
136	4360	11553
137	4393	11523
138	4425	11492
139	4453	11451
140	4467	11373
141	4498	11341
142	4527	11304
143	4534	11211
144	4565	11177
145	4594	11141
146	4626	11110
147	4662	11090
148	4692	11054
149	4726	11028
150	4754	10989
151	4797	10983
152	4835	10965
153	4866	10934
154	4898	10903
155	4939	10891
156	4968	10854
157	5002	10828
158	5038	10806
159	5083	10801
160	5119	10779
161	5152	10749
162	5181	10712
163	5213	10681
164	5247	10654
165	5285	10635
166	5316	10602
167	5358	10588
168	5388	10554
169	5430	10542
170	5467	10519
171	5514	10515
172	5554	10498
173	5584	10463
174	5622	10440
175	5652	10405
176	5682	10368
177	5719	10347
178	5751	10314
179	5787	10289
180	5823	10263
181	5864	10246
182	5895	10212
183	5938	10197
184	5965	10158
185	5996	10122
186	6027	10088
187	6065	10066
188	6100	10038
189	6130	10001
190	6160	9966
191	6195	9937
192	6235	9918
193	6264	9881
194	6305	9862
195	6334	9824
196	6369	9796
197	6405	9769
198	6440	9741
199	6476	9714
200	6509	9683
201	6546	9657
202	6590	9641
203	6622	9609
204	6656	9578
205	6688	9545
206	6725	9518
207	6763	9494
208	6803	9473
209	6841	9447
210	6880	9424
211	6909	9385
212	6939	9349
213	6972	9317
214	7000	9280
215	7042	9259
216	7078	9232
217	7110	9197
218	7145	9168
219	7177	9134
220	7214	9108
221	7251	9080
222	7281	9044
223	7311	9009
