call_id,caller_age_days,calls_per_day,call_duration_sec,avg_call_duration_sec,unique_receivers_24h,receiver_block_rate,spam_reports_count,country_code_risk_score,night_call_ratio,sequential_dialing_score,graph_degree,previous_fraud_associations,reputation_score,fraud_label
CALL0000001,735,7,449,372.5,9,12.6,4,26.08,15.18,5.19,59,0,88.06,0
CALL0000002,63,4,29,26.3,8,52.01,2,41.33,33.81,87.34,57,23,23.5,1
CALL0000003,473,24,61,72.8,6,5.24,1,3.12,25.49,32.84,48,0,74.23,0
CALL0000004,91,1270,27,37.1,156,36.88,72,50.15,59.64,98.8,351,15,41.23,1
CALL0000005,14,1344,69,64.8,135,72.19,3,42.58,85.61,51.92,575,28,17.94,1
CALL0000006,474,8,221,235.7,10,2.71,1,18.87,10.99,21.3,114,1,78.44,0
CALL0000007,654,9,363,349.0,11,13.57,0,15.84,9.61,3.11,148,1,83.05,0
CALL0000008,221,16,158,85.6,8,5.05,1,9.04,13.99,21.39,46,0,65.18,0
CALL0000009,192,143,54,64.3,209,97.76,1,61.84,8.33,88.27,397,20,26.07,1
CALL0000010,431,143,38,41.5,241,24.24,76,80.4,46.99,89.15,429,22,38.57,1
CALL0000011,2900,5,449,337.9,6,3.98,1,49.7,13.87,3.04,74,0,82.96,0
CALL0000012,612,6,208,146.6,6,1.46,4,15.7,19.67,5.08,67,6,86.62,0
CALL0000013,376,28,138,153.1,10,6.73,0,45.19,23.6,4.09,83,1,95.36,0
CALL0000014,667,16,183,135.9,6,8.61,1,31.9,22.52,45.44,50,0,59.41,0
CALL0000015,1176,3,363,409.9,12,11.3,3,37.21,19.49,11.98,84,0,71.46,0
CALL0000016,1290,10,97,117.6,9,8.77,1,37.67,37.78,15.23,129,0,87.33,0
CALL0000017,108,482,14,18.5,170,65.85,2,62.46,74.91,90.3,113,33,22.12,1
CALL0000018,252,6,268,194.7,7,3.19,1,12.12,10.78,7.28,87,0,74.52,0
CALL0000019,500,11,115,113.2,10,12.68,0,20.56,16.52,31.1,58,0,65.37,0
CALL0000020,873,28,249,211.9,8,10.19,1,4.65,27.12,7.02,118,0,88.26,0
CALL0000021,991,4,279,231.6,8,5.5,0,14.47,6.5,32.07,89,0,83.69,0
CALL0000022,1455,6,473,741.5,6,5.94,1,36.76,11.73,26.2,216,1,87.63,0
CALL0000023,9,1409,18,20.7,145,80.51,88,49.06,76.01,64.36,259,1,37.09,1
CALL0000024,802,4,531,408.0,9,12.55,3,12.81,20.74,9.93,25,0,87.2,0
CALL0000025,603,6,380,466.8,8,14.88,0,45.35,27.74,44.04,83,0,86.34,0
CALL0000026,1004,14,246,276.3,13,5.44,1,32.16,29.22,15.01,59,0,89.32,0
CALL0000027,1969,3,260,334.7,4,5.76,1,12.08,2.58,6.94,22,0,84.55,0
CALL0000028,223,15,234,235.7,6,29.08,0,39.85,14.69,37.36,72,0,70.08,0
CALL0000029,40,19,30,23.1,12,87.11,83,82.66,35.94,60.96,14,1,68.62,1
CALL0000030,3008,12,212,270.9,9,17.86,2,33.14,26.79,22.39,34,0,55.42,0
CALL0000031,1160,4,274,392.8,8,7.93,5,18.94,23.71,5.34,33,1,72.51,0
CALL0000032,1335,5,323,364.7,7,4.99,1,10.23,11.54,21.15,75,0,90.27,0
CALL0000033,513,4,843,688.3,0,15.37,2,6.76,25.44,14.42,134,0,77.98,0
CALL0000034,1190,479,12,8.0,105,64.58,80,80.19,43.77,79.55,166,2,27.37,1
CALL0000035,213,23,177,283.1,14,2.27,0,13.93,23.64,15.79,116,0,55.84,0
CALL0000036,387,3,217,207.8,8,12.96,2,20.8,14.83,13.98,69,0,89.28,0
CALL0000037,764,14,315,313.6,7,12.14,1,36.37,22.11,20.85,214,0,87.89,0
CALL0000038,1583,6,110,126.3,8,4.62,2,21.3,18.63,5.99,36,0,70.97,0
CALL0000039,787,10,126,88.8,7,8.72,1,45.94,24.92,10.11,84,1,61.71,0
CALL0000040,452,13,467,428.2,7,9.67,0,13.05,27.23,6.21,136,3,76.54,0
CALL0000041,806,7,366,467.1,7,9.55,2,24.09,4.58,4.43,75,0,72.57,0
CALL0000042,123,15,54,48.9,2,56.13,93,82.08,70.9,55.05,15,17,38.0,1
CALL0000043,3,1381,28,37.8,213,51.45,91,66.49,32.12,77.42,312,14,50.56,1
CALL0000044,748,627,29,8.8,263,74.16,3,60.84,50.52,77.06,363,24,57.05,1
CALL0000045,980,5,238,235.9,8,4.95,2,24.66,24.72,21.38,41,0,74.45,0
CALL0000046,520,21,149,92.4,10,2.26,4,15.57,8.89,13.15,61,1,94.55,0
CALL0000047,40,1011,25,30.1,344,54.59,2,53.27,69.39,72.25,378,19,52.23,1
CALL0000048,150,1047,35,27.0,70,70.96,83,64.89,37.23,84.09,350,18,49.67,1
CALL0000049,1078,15,163,144.2,8,1.54,1,12.66,5.33,6.77,151,1,85.38,0
CALL0000050,641,4,219,289.3,6,7.34,0,37.73,9.95,30.56,95,0,74.19,0
CALL0000051,447,4,99,82.2,7,7.62,2,7.51,12.79,13.47,63,0,91.56,0
CALL0000052,2282,7,104,67.5,6,2.13,1,9.18,20.54,32.05,109,0,76.76,0
CALL0000053,330,235,224,229.8,60,3.11,0,57.93,20.06,11.09,263,0,81.09,0
CALL0000054,439,7,310,311.7,9,7.1,1,29.03,17.18,36.96,78,0,88.1,0
CALL0000055,866,40,185,175.0,10,3.13,3,24.09,16.86,17.48,132,2,92.73,0
CALL0000056,206,2,337,297.2,10,6.49,0,20.38,8.52,8.22,27,0,96.32,0
CALL0000057,692,8,237,237.0,5,7.47,2,7.98,7.13,28.66,17,1,76.7,0
CALL0000058,2062,7,402,443.2,8,4.54,1,25.88,6.6,20.28,151,0,88.35,0
CALL0000059,2388,4,359,327.6,14,12.69,4,4.3,0.5,25.21,178,2,82.78,0
CALL0000060,193,6,323,390.4,7,4.56,0,51.77,3.48,19.97,106,0,93.36,0
CALL0000061,141,732,220,283.6,92,56.55,79,89.65,94.17,94.71,134,34,20.03,1
CALL0000062,2129,2,146,139.5,4,4.21,2,38.84,10.99,19.23,85,0,77.05,0
CALL0000063,461,33,85,106.5,10,9.63,4,33.93,23.35,7.54,88,0,91.56,0
CALL0000064,2673,3,314,285.3,11,2.79,3,15.82,10.06,7.35,84,0,78.86,0
CALL0000065,295,2,145,133.3,6,13.15,3,31.63,10.85,41.42,77,1,72.59,0
CALL0000066,563,21,209,347.4,9,15.91,0,13.96,14.9,15.06,160,0,97.22,0
CALL0000067,2087,10,951,630.7,5,8.04,2,16.82,34.02,8.11,186,0,73.36,0
CALL0000068,777,161,232,293.5,79,2.42,3,59.88,14.13,15.04,313,0,81.35,0
CALL0000069,1437,1236,252,222.0,117,59.46,76,54.29,60.03,61.95,336,25,12.88,1
CALL0000070,219,11,188,284.6,10,7.87,2,29.6,19.89,6.99,203,0,81.4,0
CALL0000071,8,779,32,58.2,142,38.37,1,53.27,77.62,72.88,600,31,24.92,1
CALL0000072,323,13,216,222.2,10,11.71,1,19.97,12.02,41.11,45,0,95.16,0
CALL0000073,8,1047,19,16.0,143,69.54,95,55.57,56.6,83.88,477,25,28.45,1
CALL0000074,1011,9,183,158.2,5,15.63,5,19.19,33.42,40.29,158,0,90.82,0
CALL0000075,335,7,291,480.7,10,1.61,3,34.56,27.38,5.07,67,0,82.26,0
CALL0000076,1178,14,470,466.1,9,16.51,4,20.39,15.32,14.07,36,13,84.1,0
CALL0000077,1029,15,30,27.8,6,70.69,2,75.8,54.89,45.98,35,18,21.43,1
CALL0000078,1452,11,202,175.9,3,5.09,4,20.25,19.75,6.04,29,1,70.22,0
CALL0000079,11,207,39,20.7,74,35.07,75,43.72,24.57,37.38,711,14,48.17,1
CALL0000080,40,636,7,7.7,154,75.27,3,52.06,71.35,83.66,124,24,10.29,1
CALL0000081,1844,7,440,254.2,6,0.46,1,14.32,30.2,45.81,23,0,74.3,0
CALL0000082,495,8,310,284.4,10,10.32,3,30.02,27.19,10.99,73,1,90.78,0
CALL0000083,2897,15,476,642.2,2,7.83,6,11.78,19.06,15.23,109,0,93.72,0
CALL0000084,582,7,322,284.6,12,8.6,1,13.85,36.03,22.12,129,1,71.62,0
CALL0000085,1567,4,86,90.3,12,0.62,1,25.49,9.09,17.9,102,0,72.04,0
CALL0000086,683,10,408,569.5,10,16.17,4,15.22,57.69,13.99,40,0,83.95,0
CALL0000087,1107,1345,14,19.8,97,55.94,79,56.54,77.01,54.98,266,0,1.48,1
CALL0000088,28,1223,34,46.7,121,76.59,90,79.98,68.4,75.0,743,17,25.27,1
CALL0000089,1395,3,429,431.6,7,0.84,2,31.31,3.0,26.55,150,1,88.73,0
CALL0000090,912,12,319,263.9,7,14.78,1,24.21,41.6,19.16,64,0,58.0,0
CALL0000091,720,525,28,15.0,94,89.16,78,63.83,88.82,38.95,576,0,44.9,1
CALL0000092,53,5,27,28.8,4,66.37,81,81.45,42.01,59.14,6,26,20.52,1
CALL0000093,24,609,13,16.2,85,44.13,79,65.12,51.89,55.78,278,23,24.15,1
CALL0000094,67,843,54,69.3,284,41.69,76,64.51,61.86,92.4,136,18,50.89,1
CALL0000095,80,1007,10,2.4,180,73.18,5,82.51,57.54,70.26,440,25,47.82,1
CALL0000096,26,104,2,15.5,193,81.73,77,78.67,47.97,76.42,407,18,42.08,1
CALL0000097,15,1227,20,9.3,140,58.89,90,84.11,92.57,74.11,148,23,13.66,1
CALL0000098,496,11,579,592.2,12,0.94,1,24.39,29.97,16.49,38,0,80.58,0
CALL0000099,3165,333,103,107.1,66,11.78,0,32.07,11.42,23.61,148,0,90.62,0
CALL0000100,1431,6,246,220.7,7,6.63,0,64.91,30.06,3.0,27,1,80.7,0
CALL0000101,173,31,280,281.1,12,2.49,2,43.29,15.73,8.57,45,0,60.71,0
CALL0000102,753,7,282,256.1,6,11.11,3,10.68,23.56,9.18,23,0,70.88,0
CALL0000103,723,3,105,78.5,8,16.32,1,21.39,21.32,5.71,55,0,89.6,0
CALL0000104,670,4,187,186.1,7,3.17,2,36.01,8.91,9.7,133,0,73.46,0
CALL0000105,598,12,319,387.0,7,1.43,0,21.16,34.08,34.32,69,0,89.92,0
CALL0000106,30,684,328,210.6,124,61.34,68,70.56,43.22,81.71,165,24,12.81,1
CALL0000107,1109,20,315,424.1,11,9.3,0,25.84,15.64,11.46,86,0,89.11,0
CALL0000108,1006,21,219,226.3,8,5.48,2,8.2,23.16,14.01,102,0,88.38,0
CALL0000109,1080,7,280,368.9,7,6.54,2,35.11,21.24,19.57,53,0,80.44,0
CALL0000110,1241,431,329,278.1,129,50.73,66,38.99,47.57,74.68,398,20,21.44,1
CALL0000111,627,10,339,381.3,7,2.88,1,13.23,24.09,18.44,33,0,90.39,0
CALL0000112,11,1234,5,2.5,129,34.92,89,74.91,39.99,67.88,154,1,53.28,1
CALL0000113,569,7,286,339.3,8,2.09,1,47.76,15.45,7.5,97,0,93.86,0
CALL0000114,751,7,162,135.8,8,18.18,2,27.79,6.07,6.49,179,0,91.01,0
CALL0000115,1553,12,247,291.7,9,10.81,1,56.15,3.19,7.35,65,0,96.76,0
CALL0000116,30,527,22,21.1,156,69.52,3,67.88,46.47,74.76,253,0,39.86,1
CALL0000117,674,975,103,114.2,151,49.75,2,32.02,46.51,68.31,346,28,4.19,1
CALL0000118,1264,9,134,119.8,9,2.98,2,18.13,14.03,28.89,44,0,75.4,0
CALL0000119,21,561,51,32.6,152,71.75,86,62.31,70.91,93.38,226,23,23.21,1
CALL0000120,1336,397,92,59.4,198,92.84,1,71.82,22.65,70.26,379,1,14.07,1
CALL0000121,345,5,376,379.4,8,5.99,2,49.41,16.25,4.61,73,0,91.12,0
CALL0000122,1305,366,24,10.0,179,48.16,80,67.67,21.65,53.37,516,25,26.11,1
CALL0000123,500,6,77,75.8,7,6.36,1,55.96,9.41,21.12,33,0,92.26,0
CALL0000124,89,911,21,1.0,100,78.48,82,92.61,92.19,38.31,406,1,63.79,1
CALL0000125,360,6,130,107.3,10,4.32,0,41.91,13.35,8.47,78,0,80.52,0
CALL0000126,517,11,104,116.4,2,3.84,1,31.85,11.72,17.08,52,1,87.03,0
CALL0000127,215,152,178,225.5,62,13.74,3,5.91,27.32,40.86,194,0,78.46,0
CALL0000128,216,3,324,409.4,10,12.5,1,56.62,11.46,14.9,123,0,69.74,0
CALL0000129,10,286,4,1.0,133,67.03,74,67.24,82.94,64.75,477,26,30.37,1
CALL0000130,2194,7,111,107.6,7,0.96,1,17.84,38.81,41.46,262,0,70.01,0
CALL0000131,704,3,155,172.4,8,13.67,7,20.09,13.85,6.99,58,0,64.79,0
CALL0000132,2241,13,439,386.0,2,7.5,2,9.84,11.06,6.78,44,0,79.44,0
CALL0000133,1124,16,428,359.1,5,8.16,3,22.64,19.69,21.19,181,0,81.92,0
CALL0000134,35,1360,18,16.4,218,54.12,90,69.54,58.87,75.46,268,25,21.07,1
CALL0000135,384,5,112,77.6,3,31.04,6,67.87,65.57,89.84,104,20,20.23,1
CALL0000136,2179,3,199,183.1,7,13.88,3,15.27,6.8,17.75,48,0,87.85,0
CALL0000137,3585,9,361,363.1,3,9.69,1,20.07,25.6,16.84,73,0,96.95,0
CALL0000138,834,4,134,119.4,12,6.46,2,21.47,24.54,32.14,92,1,68.94,0
CALL0000139,30,646,5,3.6,157,58.76,74,66.32,79.65,74.34,525,27,46.65,1
CALL0000140,1043,6,148,96.2,9,5.06,0,8.36,12.09,7.26,81,0,70.76,0
CALL0000141,570,7,306,200.4,3,6.04,1,8.12,4.4,14.76,77,0,59.16,0
CALL0000142,15,3,33,37.8,5,77.75,1,40.57,53.34,80.2,40,20,28.44,1
CALL0000143,5,964,23,5.7,33,59.16,96,55.42,45.18,74.0,197,19,57.76,1
CALL0000144,22,1006,58,59.3,125,79.77,89,76.43,60.32,60.6,662,16,6.53,1
CALL0000145,2394,6,139,156.2,8,17.33,2,8.76,13.88,7.06,79,0,55.24,0
CALL0000146,2669,6,324,431.6,8,2.17,2,40.29,21.77,4.99,72,0,84.98,0
CALL0000147,25,597,120,116.6,126,82.58,67,73.13,27.32,49.62,159,1,24.93,1
CALL0000148,473,8,626,785.2,12,4.13,2,47.73,10.82,8.75,101,1,57.17,0
CALL0000149,1008,7,44,29.2,9,5.36,0,38.39,26.72,36.35,51,0,71.08,0
