video_category,channel_country,content_language,upload_day,video_length_bucket,traffic_source,device_type,viewer_age_group,subscriber_status,engagement_level
Gaming,USA,French,Tuesday,5-10 min,Suggested,Mobile,55+,Subscribed,Very High
Entertainment,USA,English,Monday,5-10 min,Suggested,Game Console,45-54,Subscribed,Very High
Technology,Japan,Portuguese,Tuesday,20-40 min,Notifications,Tablet,13-17,Subscribed,High
News,Germany,Spanish,Tuesday,10-20 min,Search,Mobile,35-44,Subscribed,Medium
News,UAE,French,Sunday,<5 min,Playlists,Smart TV,45-54,Subscribed,High
Gaming,Japan,French,Sunday,>40 min,Shorts Feed,Tablet,45-54,Subscribed,Very Low
Education,Canada,French,Monday,5-10 min,Shorts Feed,Mobile,35-44,Not Subscribed,High
News,UK,Urdu,Wednesday,5-10 min,Playlists,Tablet,55+,Subscribed,Very High
Music,Japan,German,Tuesday,20-40 min,External,Tablet,55+,Subscribed,Medium
Education,Canada,English,Sunday,10-20 min,External,Tablet,13-17,Subscribed,Very High
News,Canada,Japanese,Thursday,20-40 min,Suggested,Tablet,18-24,Subscribed,Very High
Lifestyle,Germany,Bengali,Thursday,>40 min,External,Tablet,18-24,Subscribed,Very High
Travel,India,English,Sunday,<5 min,Suggested,Desktop,55+,Not Subscribed,Very High
Gaming,Australia,Portuguese,Friday,20-40 min,Notifications,Tablet,45-54,Subscribed,Very Low
Lifestyle,Germany,Urdu,Monday,10-20 min,External,Desktop,35-44,Subscribed,Medium
Lifestyle,UK,Arabic,Monday,10-20 min,Shorts Feed,Game Console,45-54,Subscribed,Low
News,UK,Arabic,Sunday,>40 min,Search,Game Console,25-34,Not Subscribed,Very Low
Gaming,Pakistan,French,Tuesday,<5 min,Suggested,Game Console,13-17,Subscribed,High
Gaming,Japan,Spanish,Tuesday,20-40 min,Notifications,Desktop,25-34,Not Subscribed,Low
Lifestyle,Canada,French,Thursday,10-20 min,External,Game Console,35-44,Subscribed,Low
Technology,India,Urdu,Monday,>40 min,Notifications,Desktop,45-54,Subscribed,Very Low
Gaming,USA,German,Monday,<5 min,Shorts Feed,Tablet,13-17,Subscribed,Medium
Travel,Canada,Arabic,Tuesday,>40 min,Notifications,Smart TV,18-24,Not Subscribed,High
Technology,India,Hindi,Saturday,20-40 min,Browse,Smart TV,35-44,Not Subscribed,Very Low
Gaming,USA,Portuguese,Saturday,10-20 min,Shorts Feed,Mobile,18-24,Subscribed,Low
Lifestyle,Brazil,Spanish,Thursday,5-10 min,Browse,Smart TV,18-24,Subscribed,High
Lifestyle,India,English,Saturday,>40 min,Shorts Feed,Mobile,13-17,Subscribed,Low
Entertainment,Brazil,Japanese,Tuesday,20-40 min,Search,Desktop,35-44,Subscribed,High
Sports,Brazil,French,Thursday,>40 min,Playlists,Smart TV,18-24,Subscribed,Medium
Technology,USA,Bengali,Saturday,>40 min,Search,Tablet,13-17,Subscribed,Very High
Travel,Japan,Arabic,Tuesday,<5 min,Notifications,Mobile,18-24,Subscribed,Very High
Gaming,Canada,Portuguese,Monday,>40 min,Suggested,Game Console,45-54,Subscribed,Very High
Gaming,Australia,Bengali,Friday,>40 min,Browse,Tablet,18-24,Not Subscribed,Low
Sports,Australia,Spanish,Saturday,10-20 min,External,Tablet,13-17,Subscribed,High
Finance,UAE,Hindi,Monday,>40 min,Suggested,Game Console,25-34,Subscribed,Medium
Gaming,Canada,Urdu,Wednesday,5-10 min,External,Game Console,55+,Not Subscribed,Very High
Lifestyle,USA,Arabic,Wednesday,<5 min,Suggested,Tablet,13-17,Subscribed,Very High
Music,Germany,French,Friday,5-10 min,Playlists,Tablet,18-24,Not Subscribed,Very High
Travel,Germany,English,Monday,20-40 min,Shorts Feed,Tablet,13-17,Subscribed,Medium
Music,Germany,Spanish,Saturday,20-40 min,Notifications,Smart TV,45-54,Subscribed,Very Low
Gaming,UK,Arabic,Monday,10-20 min,Notifications,Game Console,18-24,Not Subscribed,Low
Education,Germany,Urdu,Sunday,<5 min,Browse,Desktop,55+,Subscribed,Very Low
News,Japan,Portuguese,Friday,5-10 min,Suggested,Desktop,18-24,Not Subscribed,Very Low
Music,Pakistan,Portuguese,Sunday,5-10 min,Browse,Desktop,55+,Subscribed,High
Education,Brazil,German,Tuesday,20-40 min,Browse,Tablet,18-24,Subscribed,Very Low
Technology,Australia,Urdu,Wednesday,<5 min,Shorts Feed,Tablet,25-34,Not Subscribed,Very High
News,USA,Hindi,Wednesday,5-10 min,Notifications,Tablet,13-17,Subscribed,Very High
Entertainment,Pakistan,Urdu,Thursday,>40 min,Notifications,Mobile,35-44,Subscribed,Medium
Education,Australia,English,Friday,>40 min,Playlists,Desktop,25-34,Not Subscribed,Very Low
News,UAE,Urdu,Saturday,<5 min,Playlists,Tablet,45-54,Not Subscribed,High
News,Australia,French,Friday,5-10 min,Suggested,Smart TV,55+,Not Subscribed,Low
Finance,UAE,French,Thursday,>40 min,Shorts Feed,Mobile,25-34,Not Subscribed,Low
Entertainment,UAE,Bengali,Saturday,10-20 min,External,Smart TV,35-44,Subscribed,Very High
Travel,UK,Hindi,Wednesday,>40 min,Playlists,Game Console,25-34,Subscribed,Low
Sports,Canada,German,Tuesday,<5 min,Search,Desktop,35-44,Subscribed,High
Entertainment,UAE,German,Saturday,20-40 min,External,Smart TV,18-24,Subscribed,Very Low
Gaming,Australia,German,Tuesday,>40 min,External,Mobile,45-54,Subscribed,Very Low
Travel,UK,Japanese,Saturday,>40 min,Notifications,Game Console,25-34,Not Subscribed,Very High
Lifestyle,Australia,Arabic,Thursday,5-10 min,Playlists,Smart TV,35-44,Not Subscribed,Low
Sports,Japan,Japanese,Saturday,5-10 min,Browse,Smart TV,13-17,Not Subscribed,Low
Sports,Pakistan,Urdu,Friday,<5 min,Suggested,Desktop,18-24,Not Subscribed,Low
Technology,India,Portuguese,Thursday,10-20 min,Notifications,Smart TV,35-44,Subscribed,Low
Entertainment,Australia,Bengali,Saturday,<5 min,Shorts Feed,Game Console,35-44,Not Subscribed,Very Low
News,Germany,Portuguese,Sunday,20-40 min,Notifications,Game Console,45-54,Subscribed,High
Technology,Germany,Portuguese,Thursday,<5 min,External,Tablet,55+,Not Subscribed,Low
Travel,UK,Bengali,Friday,<5 min,External,Game Console,45-54,Subscribed,Very Low
Entertainment,UK,Japanese,Tuesday,<5 min,Browse,Smart TV,25-34,Subscribed,High
News,Pakistan,Portuguese,Wednesday,20-40 min,Browse,Mobile,35-44,Subscribed,Very High
Education,Pakistan,German,Saturday,<5 min,Shorts Feed,Mobile,13-17,Subscribed,Low
Education,UAE,Spanish,Tuesday,5-10 min,External,Mobile,45-54,Subscribed,High
Sports,Pakistan,Spanish,Friday,>40 min,Playlists,Mobile,18-24,Not Subscribed,Very Low
Finance,USA,French,Friday,20-40 min,External,Desktop,13-17,Subscribed,Very Low
Sports,UAE,Hindi,Sunday,>40 min,Shorts Feed,Mobile,25-34,Not Subscribed,Medium
Gaming,Japan,Urdu,Monday,20-40 min,Shorts Feed,Smart TV,13-17,Not Subscribed,Medium
Travel,UK,Portuguese,Tuesday,>40 min,Playlists,Tablet,45-54,Not Subscribed,High
Entertainment,UAE,French,Wednesday,5-10 min,Shorts Feed,Mobile,25-34,Not Subscribed,Low
Travel,UAE,Bengali,Saturday,20-40 min,Browse,Mobile,35-44,Not Subscribed,Low
Travel,Canada,Urdu,Sunday,10-20 min,Browse,Tablet,45-54,Not Subscribed,Very High
Education,Japan,German,Monday,5-10 min,Playlists,Smart TV,35-44,Subscribed,High
Travel,Brazil,English,Monday,10-20 min,Suggested,Smart TV,55+,Subscribed,Medium
Finance,Pakistan,Japanese,Friday,>40 min,Browse,Smart TV,55+,Not Subscribed,Medium
Travel,Germany,French,Wednesday,5-10 min,Search,Desktop,25-34,Subscribed,Very High
Music,Canada,German,Saturday,20-40 min,Browse,Game Console,45-54,Not Subscribed,Very Low
